fullName,teamMarket,playerId,height,mpg,gp,drtgPlayer,ortgPlayer,ws,ows,dws,rapm,orapm,drapm,stl,blk,stlPg,blkPg,conf
Mya Glanton,Saint Louis,1374990,72,13.81,30,98.45,114.52,1.37,1.05,0.32,-0.13,1.36,-1.49,15,6,0.5,0.2,A10
Alyssa Jimenez,Richmond,1321025,72,17.57,29,89.52,112.23,1.77,0.89,0.88,0.62,-0.06,0.68,28,6,0.97,0.21,A10
Anna Camden,Richmond,1345938,75,12.99,35,85.23,94.26,1.54,0.54,0.99,3.87,2.61,1.26,14,24,0.4,0.69,A10
Rikki Harris,Dayton,1318045,70,26.75,31,86.91,90.71,2.31,0.65,1.66,0.1,-1.37,1.47,47,11,1.52,0.35,A10
Jolene Armendariz,La Salle,1317729,72,19.62,31,96.49,85.16,0.77,0.17,0.6,-1.95,-1.8,-0.15,20,4,0.65,0.13,A10
Mykel Parham,VCU,1317807,73,29.71,31,79.08,86.95,2.92,0.31,2.61,1.19,0.29,0.9,37,44,1.19,1.42,A10
Jennifer Ezeh,VCU,1354289,74,13.8,26,86.01,77.71,0.54,-0.21,0.75,0.61,-2.89,3.5,11,6,0.42,0.23,A10
Addie Budnik,Richmond,1579845,74,29.78,35,89.64,121.38,5.73,3.94,1.79,6.24,2.9,3.34,28,33,0.8,0.94,A10
Taylor Donaldson,Fordham,1581493,70,33.53,25,88.37,97.64,3.3,1.76,1.54,0.95,-0.16,1.12,54,4,2.16,0.16,A10
Gabby Hutcherson,Duquesne,1583035,74,21.11,30,87.42,89.22,1.74,0.5,1.23,-1.03,0.78,-1.82,16,32,0.53,1.07,A10
Sitori Tanin,Loyola Chicago,1589555,74,23.27,29,94.48,84.94,1.01,0.2,0.81,-4.4,-1.48,-2.91,24,29,0.83,1.0,A10
Bri Johns,Saint Louis,1599921,71,6.65,20,99.97,,,,0.08,1.07,1.35,-0.29,6,4,0.3,0.2,A10
Megan McConnell,Duquesne,1600046,67,36.97,33,81.37,113.37,8.07,4.92,3.15,2.12,1.26,0.86,132,9,4.0,0.27,A10
Kiandra Browne,Duquesne,1600087,74,19.12,33,89.89,88.16,1.45,0.39,1.06,-0.41,-0.94,0.52,21,9,0.64,0.27,A10
Dani Haskell,St. Bonaventure,1600121,65,32.28,30,105.4,93.21,1.4,1.35,0.05,-3.95,-0.84,-3.1,30,5,1.0,0.17,A10
Peyton Kennedy,Saint Louis,1604797,71,25.38,31,101.26,97.83,1.88,1.5,0.38,-2.48,-1.85,-0.63,33,14,1.06,0.45,A10
Thoranna Kika Hodge-Carr,Loyola Chicago,1605291,68,23.82,29,97.29,81.23,0.55,-0.07,0.62,-0.57,0.29,-0.86,28,1,0.97,0.03,A10
Irene Murua,Fordham,1605223,73,31.54,29,93.6,116.86,4.32,3.14,1.18,1.22,0.56,0.66,16,11,0.55,0.38,A10
Mariona Planes Fortuny,George Washington,1606105,75,22.63,11,91.16,104.82,0.95,0.56,0.39,1.46,-0.39,1.86,6,8,0.55,0.73,A10
Aleah Sorrentino,Massachusetts,1606353,75,9.29,24,89.8,93.09,0.63,0.25,0.38,-3.26,-0.89,-2.37,3,1,0.12,0.04,A10
Steph Ouderkirk,Richmond,1606615,73,6.68,29,92.76,99.86,0.56,0.29,0.27,0.99,1.62,-0.63,5,2,0.17,0.07,A10
Makayla Andrews,George Washington,1609152,70,29.54,29,95.76,86.44,1.39,0.48,0.92,-0.91,-0.55,-0.36,17,2,0.59,0.07,A10
Emma Boslet,Saint Joseph's,1609828,71,24.27,30,89.73,91.19,1.73,0.49,1.24,2.69,1.82,0.88,25,14,0.83,0.47,A10
Paula Maurina,Saint Joseph's,1611537,72,10.56,32,95.31,98.35,0.72,0.34,0.38,0.52,-0.3,0.82,3,1,0.09,0.03,A10
Faith Alston,Richmond,1612244,67,14.86,25,92.01,96.14,1.12,0.57,0.55,2.2,2.44,-0.24,8,1,0.32,0.04,A10
Mackenzie Daleba,La Salle,1612521,71,17.0,28,91.37,74.89,0.26,-0.47,0.73,-0.29,-1.06,0.77,30,7,1.07,0.25,A10
Paige Mott,George Washington,1614367,73,23.9,29,90.15,107.77,2.75,1.6,1.16,-0.19,0.82,-1.0,20,25,0.69,0.86,A10
Khamya McNeal,George Mason,1615270,68,6.52,25,81.83,92.63,0.62,0.21,0.42,-0.02,0.05,-0.07,12,1,0.48,0.04,A10
Jess Finney,Loyola Chicago,1622529,70,21.43,29,95.64,83.36,0.74,0.07,0.67,-4.59,-2.31,-2.28,24,7,0.83,0.24,A10
Stefanie Kulesza,Massachusetts,1636614,71,30.73,32,81.01,97.61,4.13,1.53,2.59,2.5,0.7,1.79,66,12,2.06,0.38,A10
Allie Palmieri,Massachusetts,1637265,70,32.87,32,87.78,89.78,2.95,0.93,2.02,0.47,0.71,-0.24,45,7,1.41,0.22,A10
Millie Prior,Davidson,1681970,74,23.67,27,84.04,87.92,1.84,0.37,1.47,3.14,-0.67,3.8,23,36,0.85,1.33,A10
Nafatoumata Haidara,Saint Louis,1687711,77,1.58,16,96.7,93.66,0.05,0.02,0.02,,,,0,3,0.0,0.19,A10
Shannon Wheeler,Dayton,1688555,72,18.85,29,93.29,89.26,0.99,0.27,0.73,2.68,-0.18,2.86,14,11,0.48,0.38,A10
Paula Suarez,George Mason,1687751,72,32.5,32,87.34,111.42,5.34,3.3,2.04,8.52,4.12,4.4,50,13,1.56,0.41,A10
Kaitlyn Ammons,Duquesne,1692370,75,9.88,6,91.26,,,,0.09,-0.28,0.53,-0.81,3,1,0.5,0.17,A10
Sophie Phillips,Rhode Island,1698315,72,29.9,33,92.53,97.03,2.77,1.38,1.39,3.14,0.97,2.17,29,22,0.88,0.67,A10
Ivy Wolf,Dayton,1692036,68,33.03,31,91.12,107.85,4.72,3.12,1.6,3.12,2.38,0.74,35,6,1.13,0.19,A10
Destiny Jackson,Loyola Chicago,1689135,70,4.08,6,103.31,137.33,0.09,0.08,0.01,,,,0,0,0.0,0.0,A10
Hawa Komara,Rhode Island,1698314,72,29.03,33,91.36,96.89,2.67,1.2,1.47,2.22,0.49,1.72,18,9,0.55,0.27,A10
Momo LaClair,Massachusetts,1694220,70,23.02,30,92.79,78.17,0.8,-0.16,0.96,-0.38,-0.96,0.58,15,5,0.5,0.17,A10
Tomisin Adenupe,Davidson,1700331,75,16.8,27,88.74,92.75,1.34,0.52,0.82,-0.7,-0.78,0.08,14,11,0.52,0.41,A10
Mallorie Haines,Davidson,1700328,70,22.1,31,91.54,122.69,2.67,1.64,1.03,3.72,3.67,0.05,12,5,0.39,0.16,A10
Issy Morgan,Davidson,1700333,70,24.17,26,92.69,94.08,1.88,1.01,0.87,3.71,2.67,1.04,16,4,0.62,0.15,A10
Maxine Engel,George Washington,1701829,72,22.29,27,95.72,91.65,1.07,0.42,0.65,-3.52,-0.84,-2.68,14,1,0.52,0.04,A10
Nicole Stephens,Dayton,1702432,67,28.76,30,92.28,86.13,1.52,0.29,1.24,-2.47,-0.8,-1.67,36,3,1.2,0.1,A10
Isabellah Middleton,St. Bonaventure,1717016,69,26.68,8,96.87,80.03,0.13,-0.07,0.2,-0.55,-1.47,0.92,17,1,2.12,0.12,A10
Kaylie Griffin,Saint Joseph's,1727371,67,8.5,26,90.93,,,,0.35,1.98,1.06,0.91,8,1,0.31,0.04,A10
Adebukola Akomolafe,VCU,1728962,70,3.85,23,89.55,111.91,0.33,0.18,0.15,0.68,0.69,-0.01,2,1,0.09,0.04,A10
Arianna Smith,Dayton,1729504,74,27.25,30,84.74,115.46,4.87,3.05,1.83,3.91,4.23,-0.31,29,17,0.97,0.57,A10
Isabel Tillett,Saint Louis,1727765,69,8.12,34,105.79,70.3,-0.15,-0.15,0.0,-3.85,-1.57,-2.28,7,2,0.21,0.06,A10
Harsimran Kaur,Rhode Island,1720431,76,28.27,33,85.57,101.33,4.29,2.29,2.0,3.18,2.96,0.22,14,29,0.42,0.88,A10
Talya Brugler,Saint Joseph's,1727370,73,32.94,27,91.01,116.39,4.6,3.21,1.39,2.96,2.81,0.15,21,10,0.78,0.37,A10
Julia Nystrom,Saint Joseph's,1727372,67,5.01,6,94.04,120.56,0.16,0.13,0.04,,,,0,0,0.0,0.0,A10
Mackenzie Smith,Saint Joseph's,1727375,70,31.46,33,90.04,105.09,4.56,2.82,1.73,6.54,4.41,2.13,31,13,0.94,0.39,A10
Kennedy Calhoun,Saint Louis,1727763,65,35.9,34,96.65,87.73,1.86,0.68,1.19,0.79,1.1,-0.31,109,8,3.21,0.24,A10
Katie Hill,Richmond,1716732,72,25.55,34,90.71,106.31,3.2,1.81,1.39,7.85,3.53,4.32,28,7,0.82,0.21,A10
Grace Hutson,VCU,1728960,70,27.66,30,90.67,96.74,2.19,0.86,1.33,0.84,1.0,-0.16,24,9,0.8,0.3,A10
Naelle Bernard,Loyola Chicago,1892361,65,26.91,29,99.65,92.37,1.4,0.89,0.51,1.68,1.49,0.2,28,8,0.97,0.28,A10
Payton Fields,St. Bonaventure,1904030,72,13.48,11,102.82,65.41,-0.21,-0.26,0.05,-0.3,0.88,-1.18,7,0,0.64,0.0,A10
Nadechka Laccen,St. Bonaventure,1904027,66,19.62,11,101.16,77.29,-0.05,-0.15,0.11,-1.65,0.25,-1.91,9,2,0.82,0.18,A10
Kira Chivers,Loyola Chicago,1908372,63,29.69,27,102.0,86.82,0.61,0.29,0.33,-3.09,-2.92,-0.17,31,0,1.15,0.0,A10
Nayo Lear,Dayton,1908411,70,15.63,30,89.07,77.79,0.58,-0.25,0.83,0.21,0.03,0.18,28,3,0.93,0.1,A10
Sam Dewey,Richmond,1909045,74,7.37,32,90.94,85.53,0.45,0.07,0.37,-1.41,-2.08,0.67,4,3,0.12,0.09,A10
Lilly Ferguson,Massachusetts,1909859,70,18.11,32,87.72,98.91,1.7,0.58,1.11,0.37,-0.03,0.4,16,1,0.5,0.03,A10
Charlise Dunn,Davidson,1911482,74,29.62,27,82.46,94.91,3.37,1.39,1.97,4.49,2.87,1.62,44,33,1.63,1.22,A10
Page Greenburg,George Mason,1911513,69,9.27,21,89.03,118.8,1.01,0.67,0.35,0.52,-0.13,0.65,9,2,0.43,0.1,A10
Megan Olbrys,Massachusetts,1911538,73,31.82,32,84.88,109.37,5.73,3.47,2.27,3.15,1.23,1.92,31,20,0.97,0.62,A10
Laura Ziegler,Saint Joseph's,1911517,74,35.04,33,82.43,105.36,6.9,4.04,2.86,6.57,4.45,2.12,25,31,0.76,0.94,A10
Caia Loving,George Washington,1912998,74,8.47,18,90.69,85.78,0.29,0.05,0.25,-1.03,-2.03,1.0,3,3,0.17,0.17,A10
Ashleigh Connor,La Salle,1913857,71,32.75,29,96.3,86.84,1.46,0.5,0.96,0.07,0.93,-0.86,44,9,1.52,0.31,A10
Alexis Black,VCU,1914051,69,9.5,2,97.68,58.39,-0.03,-0.05,0.02,,,,0,0,0.0,0.0,A10
Chaé Harris,Fordham,1914062,68,22.5,28,89.72,88.38,1.56,0.49,1.07,1.24,0.08,1.16,33,11,1.18,0.39,A10
Rose Nelson,Fordham,1917718,73,17.7,29,91.44,49.03,-0.21,-0.99,0.78,-2.95,-2.25,-0.7,11,25,0.38,0.86,A10
