fullName,teamMarket,playerId,height,mpg,gp,drtgPlayer,ortgPlayer,ws,ows,dws,rapm,orapm,drapm,stl,blk,stlPg,blkPg,conf
Sara Bershers,UAB,1314347,72,26.99,31,95.99,92.67,1.74,0.86,0.87,-1.0,0.11,-1.11,32,21,1.03,0.68,AAC
Rayne Tucker,UAB,1317738,73,20.92,16,91.92,99.13,1.12,0.63,0.49,1.34,1.1,0.24,18,14,1.12,0.88,AAC
Victoria Keenan,Tulane,1330745,67,32.78,30,88.87,104.31,3.31,1.56,1.75,1.75,0.78,0.97,48,1,1.6,0.03,AAC
Sammie Puisis,South Fla.,1356014,73,31.38,34,95.21,106.36,4.28,3.08,1.2,5.38,4.32,1.05,30,4,0.88,0.12,AAC
Anissa Rivera,Temple,1410484,73,23.74,31,81.3,97.07,3.03,1.11,1.91,-0.8,-1.09,0.3,52,37,1.68,1.19,AAC
Jada Moore,Fla. Atlantic,1581479,71,32.34,32,95.59,91.53,2.23,1.1,1.12,-1.24,-1.22,-0.02,33,8,1.03,0.25,AAC
Elauna Eaton,Memphis,1581201,72,22.59,30,108.04,100.22,1.02,1.18,-0.16,-3.09,0.46,-3.55,20,3,0.67,0.1,AAC
Emily Klaczek,Rice,1585702,68,18.74,34,90.89,95.16,1.73,0.72,1.01,2.35,2.14,0.2,27,7,0.79,0.21,AAC
Amaya Oliver,Temple,1589711,74,22.04,28,87.05,96.35,1.88,0.65,1.23,4.07,3.0,1.07,24,24,0.86,0.86,AAC
Tommisha Lampkin,North Texas,1591072,74,32.48,33,82.63,107.43,6.19,3.55,2.63,2.5,1.05,1.45,32,31,0.97,0.94,AAC
Nyayongah Gony,UTSA,1589785,76,10.65,12,84.57,72.16,0.18,-0.11,0.29,-1.97,-0.55,-1.42,4,5,0.33,0.42,AAC
Jaaucklyn Moore,North Texas,1591121,68,26.7,34,87.59,103.59,3.48,1.72,1.75,2.86,0.81,2.05,39,16,1.15,0.47,AAC
Romi Levy,South Fla.,1583815,74,19.3,32,90.21,86.35,1.36,0.34,1.02,0.63,2.38,-1.74,28,20,0.88,0.62,AAC
Maddie Walsh,UAB,1585704,74,36.64,31,99.36,92.08,1.8,1.02,0.78,-0.45,0.01,-0.46,21,37,0.68,1.19,AAC
Jordyn Jenkins,UTSA,1589712,74,30.26,30,80.87,117.08,6.94,4.54,2.4,8.64,3.67,4.97,40,34,1.33,1.13,AAC
Aicha Ndour,Wichita St.,1599902,78,11.71,28,88.37,70.02,0.17,-0.43,0.6,-4.95,-3.26,-1.7,7,32,0.25,1.14,AAC
Nina De Leon Negron,UTSA,1600256,66,31.85,30,83.98,102.71,4.14,1.93,2.21,4.51,2.36,2.16,46,3,1.53,0.1,AAC
Morgan Moseley,East Carolina,1601646,71,7.21,25,85.86,58.45,0.02,-0.36,0.38,0.24,-2.52,2.76,10,0,0.4,0.0,AAC
Synia Johnson,East Carolina,1601644,69,22.44,24,87.02,86.17,1.24,0.17,1.07,4.08,-0.06,4.14,35,2,1.46,0.08,AAC
Liz Martino,Memphis,1603849,72,6.07,12,108.17,,,,-0.02,-0.37,-0.12,-0.26,3,0,0.25,0.0,AAC
Jordan Peete,Charlotte,1603964,66,18.63,29,100.36,77.54,0.11,-0.21,0.31,-2.05,-1.05,-1.01,24,2,0.83,0.07,AAC
Taylor Jameson,Wichita St.,1604870,65,26.73,28,95.9,93.15,1.58,0.79,0.78,0.41,0.81,-0.4,34,1,1.21,0.04,AAC
Ta'Ziah Jenks,Fla. Atlantic,1608677,72,25.16,32,91.59,84.64,1.42,0.21,1.22,-3.22,-0.24,-2.98,40,10,1.25,0.31,AAC
Maya Bokunewicz,Rice,1609124,72,5.13,22,89.82,71.69,0.08,-0.11,0.19,-0.68,-1.4,0.72,4,0,0.18,0.0,AAC
Anzhane' Hutton,East Carolina,1609919,72,19.14,32,85.55,96.78,2.31,1.0,1.32,-1.02,0.04,-1.06,26,17,0.81,0.53,AAC
Kyren Whittington,Tulane,1611763,69,24.83,30,89.36,92.62,2.34,1.05,1.29,4.76,1.62,3.14,38,9,1.27,0.3,AAC
Tarriyonna Gary,Temple,1612038,70,31.04,31,91.84,102.9,3.47,2.05,1.43,1.69,1.28,0.41,36,5,1.16,0.16,AAC
Mama Dembele,South Fla.,1612092,66,30.47,34,88.03,89.14,2.65,0.7,1.95,2.72,1.16,1.56,82,2,2.41,0.06,AAC
Kay Kay Green,Charlotte,1612314,66,29.66,31,99.34,76.64,0.11,-0.52,0.63,-1.15,0.02,-1.18,47,4,1.52,0.13,AAC
Jayla Kelly,Charlotte,1612093,75,16.78,30,91.89,87.9,1.06,0.32,0.74,-4.22,-3.71,-0.51,14,35,0.47,1.17,AAC
Alasia Smith,Memphis,1614145,70,30.83,30,95.24,101.36,2.91,1.87,1.04,3.06,3.87,-0.81,70,38,2.33,1.27,AAC
Tilly Boler,Memphis,1615600,73,33.89,30,109.41,99.37,1.72,2.1,-0.38,3.63,4.22,-0.58,21,15,0.7,0.5,AAC
Paige Bradley,Tulsa,1681984,70,25.32,28,89.09,98.75,2.29,1.04,1.26,2.33,2.41,-0.08,38,3,1.36,0.11,AAC
Kimora Jenkins,East Carolina,1687470,73,5.89,10,94.11,75.6,0.04,-0.04,0.07,-0.12,0.34,-0.46,1,1,0.1,0.1,AAC
Sherese Pittman,Tulane,1685464,74,31.51,30,85.65,93.19,3.35,1.34,2.01,4.4,2.34,2.07,37,23,1.23,0.77,AAC
Hannah Riddick,Memphis,1687516,73,23.21,4,103.01,98.4,0.25,0.22,0.03,-0.2,0.86,-1.06,2,1,0.5,0.25,AAC
Quinzia Fulmore,Memphis,1687678,75,22.43,7,104.74,84.58,0.06,0.04,0.02,-1.25,-0.13,-1.12,2,4,0.29,0.57,AAC
DeeDee Hagemann,Memphis,1688307,68,35.05,14,107.88,93.92,0.56,0.67,-0.11,1.63,0.34,1.29,22,1,1.57,0.07,AAC
Delanie Crawford,Tulsa,1688375,71,31.87,32,88.86,97.04,4.04,2.2,1.84,0.52,-0.22,0.75,52,10,1.62,0.31,AAC
Lexie Foutch,Tulsa,1688379,75,10.39,32,90.7,79.64,0.49,-0.04,0.53,-0.46,-1.51,1.04,9,7,0.28,0.22,AAC
Ella Anciaux,Wichita St.,1687696,76,11.3,30,91.02,87.99,0.68,0.15,0.53,2.14,0.23,1.91,6,20,0.2,0.67,AAC
Malia Fisher,Rice,1688529,74,28.76,26,84.37,87.64,2.27,0.57,1.7,1.08,-0.29,1.37,39,28,1.5,1.08,AAC
Tracey Bershers,UAB,1688556,74,17.6,31,96.1,104.41,1.77,1.21,0.56,-1.69,-0.23,-1.45,11,12,0.35,0.39,AAC
Sussy Ngulefac,Rice,1688595,76,23.75,34,88.9,107.92,3.21,1.77,1.45,0.39,-0.48,0.87,17,40,0.5,1.18,AAC
Trinity Gooden,Rice,1688531,70,11.76,31,91.88,80.51,0.48,-0.06,0.54,0.08,-1.91,1.99,13,6,0.42,0.19,AAC
Taliyah Wyche,East Carolina,1689123,75,17.61,17,84.46,88.48,0.85,0.17,0.68,1.94,-0.53,2.47,16,15,0.94,0.88,AAC
Tatyana Wyche,East Carolina,1689124,74,19.26,27,87.26,97.43,1.67,0.65,1.02,0.11,-0.67,0.78,13,33,0.48,1.22,AAC
Timia Ware,East Carolina,1689152,66,9.76,24,90.06,65.78,-0.04,-0.43,0.39,-4.17,-1.78,-2.39,11,2,0.46,0.08,AAC
Kianni Westbrook,Tulane,1694120,75,3.14,14,80.85,60.25,0.02,-0.09,0.12,,,,2,1,0.14,0.07,AAC
Amaya Brannon,North Texas,1691357,71,3.31,17,89.44,,,,0.1,0.93,0.02,0.92,1,0,0.06,0.0,AAC
Madison Roshelle,Charlotte,1693976,69,16.42,19,94.46,80.46,0.3,-0.07,0.38,-0.4,0.23,-0.63,22,2,1.16,0.11,AAC
Bre'Yon White,Wichita St.,1696223,71,20.16,31,92.19,82.73,0.92,0.02,0.9,-1.48,-1.51,0.03,22,10,0.71,0.32,AAC
Layken Cox,Memphis,1701155,73,12.0,28,104.7,90.5,0.31,0.27,0.04,-3.24,-1.87,-1.38,8,5,0.29,0.18,AAC
Aniyah Johnson,North Texas,1698629,74,20.49,32,81.89,98.05,2.45,0.79,1.66,-0.17,-0.36,0.19,22,37,0.69,1.16,AAC
Nia Young,Charlotte,1701811,70,7.67,25,98.71,56.26,-0.25,-0.4,0.14,-2.52,-1.84,-0.69,4,1,0.16,0.04,AAC
Aanaya Harris,Charlotte,1708392,71,6.29,28,95.23,69.86,0.03,-0.17,0.2,-3.25,-1.89,-1.36,11,3,0.39,0.11,AAC
Kierra Middleton,Tulane,1711917,67,7.97,10,96.61,48.25,-0.12,-0.19,0.08,2.98,0.85,2.12,0,0,0.0,0.0,AAC
Tiarra East,Temple,1718997,70,31.69,31,89.27,89.54,2.72,1.0,1.72,5.17,1.93,3.24,41,3,1.32,0.1,AAC
Maria Myklebust,Fla. Atlantic,1729121,73,19.65,31,97.7,76.0,0.25,-0.28,0.53,-3.13,-3.09,-0.04,8,0,0.26,0.0,AAC
Keanna Rembert,Charlotte,1721720,74,24.78,32,96.52,95.67,2.19,1.41,0.78,0.39,0.91,-0.52,25,10,0.78,0.31,AAC
Desiree Ware,UAB,1891881,68,6.61,16,95.47,99.1,0.23,0.11,0.12,-0.23,-0.29,0.06,7,0,0.44,0.0,AAC
Amira Mabry,Tulane,1892514,72,26.1,30,87.63,104.13,3.24,1.74,1.5,-0.67,-0.85,0.18,23,9,0.77,0.3,AAC
Jayla Hearp,East Carolina,1892809,69,26.81,32,88.5,95.99,2.81,1.24,1.57,3.59,1.18,2.41,46,9,1.44,0.28,AAC
Molly Moffitt,UAB,1891882,73,21.92,31,93.95,87.22,1.19,0.33,0.86,0.71,0.28,0.43,23,11,0.74,0.35,AAC
Ashton Elley,UAB,1891883,70,9.29,29,95.71,117.02,0.92,0.63,0.29,1.54,2.16,-0.62,8,1,0.28,0.03,AAC
Bobbi Smith,East Carolina,1892811,71,9.98,29,89.02,79.81,0.47,-0.05,0.52,-2.05,-1.46,-0.59,12,4,0.41,0.14,AAC
Amiya Joyner,East Carolina,1892813,74,28.72,32,81.95,96.06,4.23,1.9,2.32,0.47,0.86,-0.39,36,34,1.12,1.06,AAC
Hailey Adams,Rice,1893527,73,25.69,31,87.58,94.75,2.47,0.94,1.54,0.68,1.84,-1.16,17,26,0.55,0.84,AAC
Jazzy Owens-Barnett,Rice,1893552,67,19.62,12,94.91,75.29,0.08,-0.19,0.27,-1.03,-0.74,-0.29,7,0,0.58,0.0,AAC
Kennedy Clifton,Rice,1893536,72,7.06,8,93.89,81.1,0.06,-0.01,0.07,,,,0,0,0.0,0.0,AAC
Dominique Ennis,Rice,1893518,69,32.67,32,90.02,103.21,3.86,2.11,1.75,2.91,2.12,0.79,42,10,1.31,0.31,AAC
Shelby Hayes,Rice,1893561,74,11.06,33,90.91,105.89,1.45,0.87,0.58,-0.33,-1.28,0.95,4,11,0.12,0.33,AAC
Stefanie Ingram,Fla. Atlantic,1896730,68,31.02,32,94.45,91.51,2.22,1.02,1.2,-0.95,0.12,-1.07,42,1,1.31,0.03,AAC
Ornella Niankan,Wichita St.,1900478,73,20.78,30,95.63,76.85,0.37,-0.3,0.67,0.99,1.11,-0.12,15,19,0.5,0.63,AAC
Desiree Wooten,North Texas,1908455,68,29.38,33,85.34,97.46,3.77,1.67,2.1,3.34,2.94,0.4,58,10,1.76,0.3,AAC
Ereauna Hardaway,North Texas,1908454,68,32.44,34,88.2,85.78,2.47,0.41,2.06,3.44,0.53,2.91,44,3,1.29,0.09,AAC
