fullName,teamMarket,playerId,height,mpg,gp,drtgPlayer,ortgPlayer,ws,ows,dws,rapm,orapm,drapm,stl,blk,stlPg,blkPg,conf
Isabella Mauricio,Brown,1687666,64,30.6,26,100.67,80.61,0.31,-0.13,0.44,-3.08,-1.0,-2.08,25,1,0.96,0.04,IVY
Elle Stauffer,Harvard,1688391,71,1.72,2,93.4,,,,0.0,,,,0,0,0.0,0.0,IVY
Gianna Aiello,Brown,1687674,75,25.39,20,89.22,100.39,1.98,1.09,0.89,1.32,1.1,0.21,17,23,0.85,1.15,IVY
Elena Rodriguez,Harvard,1688389,74,25.13,29,77.22,110.0,4.88,2.66,2.22,4.74,3.04,1.7,47,22,1.62,0.76,IVY
Harmoni Turner,Harvard,1688393,70,32.68,29,76.3,117.56,8.94,5.96,2.98,10.32,5.54,4.79,81,9,2.79,0.31,IVY
Avery Lee,Yale,1689274,68,25.09,26,104.82,86.11,0.28,0.21,0.07,-1.98,-1.8,-0.19,23,2,0.88,0.08,IVY
Christen McCann,Yale,1689273,69,4.41,2,113.19,,,,-0.01,,,,0,0,0.0,0.0,IVY
Doreen Ariik,Dartmouth,1696228,76,10.88,12,97.52,48.64,-0.16,-0.27,0.11,-2.67,-2.4,-0.28,3,2,0.25,0.17,IVY
Grace Thybulle,Yale,1689277,75,23.28,22,103.06,92.67,0.73,0.58,0.15,-3.77,-1.25,-2.52,18,10,0.82,0.45,IVY
Mackenzie Egger,Yale,1689279,71,34.27,26,96.09,91.36,2.07,1.15,0.92,-3.62,-2.69,-0.93,46,17,1.77,0.65,IVY
Victoria Page,Dartmouth,1696229,68,35.96,25,102.56,85.62,0.75,0.44,0.31,-3.66,-1.5,-2.16,23,6,0.92,0.24,IVY
Summer Parker-Hall,Cornell,1698616,71,24.95,24,90.5,110.64,3.21,2.24,0.97,0.5,-0.65,1.15,23,18,0.96,0.75,IVY
Jada Davis,Cornell,1698602,74,2.52,6,101.06,49.6,-0.06,-0.06,0.01,,,,0,1,0.0,0.17,IVY
Lexi Green,Cornell,1698609,69,5.61,14,99.15,,,,0.06,0.6,0.97,-0.37,0,0,0.0,0.0,IVY
