fullName,teamMarket,playerId,height,mpg,gp,drtgPlayer,ortgPlayer,ws,ows,dws,rapm,orapm,drapm,stl,blk,stlPg,blkPg,conf
Soleil Barnes,Bradley,1317858,66.0,33.28,31,91.22,91.28,2.98,1.39,1.59,0.66,-0.06,0.72,36,9,1.16,0.29,MVC
Maya Wong,Illinois St.,1370576,68.0,31.37,36,103.69,109.53,2.88,2.63,0.26,1.84,3.08,-1.24,21,6,0.58,0.17,MVC
Jacee Busick,Belmont,1578709,73.0,10.75,36,93.11,104.78,1.13,0.61,0.52,-2.46,-0.88,-1.58,13,5,0.36,0.14,MVC
Tuti Jones,Belmont,1584470,67.0,29.53,39,87.77,109.01,5.03,2.83,2.2,5.81,3.25,2.56,89,8,2.28,0.21,MVC
Danyel Middleton,UIC,1596305,70.0,24.79,29,96.19,87.35,1.1,0.37,0.73,3.27,1.8,1.47,29,7,1.0,0.24,MVC
Leah Earnest,Valparaiso,1599942,70.0,32.25,30,91.19,101.92,4.55,3.05,1.5,1.94,1.75,0.18,55,18,1.83,0.6,MVC
Kendall Holmes,Belmont,1600292,70.0,28.47,37,94.41,104.39,3.56,2.29,1.27,4.77,2.2,2.57,30,6,0.81,0.16,MVC
Paige Rocca,Missouri St.,1600885,69.0,27.55,35,93.22,108.4,3.25,1.97,1.29,4.34,2.07,2.26,33,1,0.94,0.03,MVC
Courtney Becker,Drake,1602980,72.0,31.82,34,95.69,115.43,4.08,2.91,1.16,5.1,4.0,1.1,38,16,1.12,0.47,MVC
Kiley Bess,Missouri St.,1604799,72.0,28.26,35,90.26,101.46,2.81,1.18,1.63,2.17,2.36,-0.19,41,4,1.17,0.11,MVC
Katelyn Young,Murray St.,1604969,73.0,31.37,33,94.53,126.41,7.61,6.37,1.24,7.3,6.86,0.43,39,21,1.18,0.64,MVC
Emerson Green,UNI,1605981,70.0,23.17,29,99.99,95.71,1.36,0.95,0.41,4.4,4.32,0.08,23,5,0.79,0.17,MVC
Maya McDermott,UNI,1605980,66.0,31.16,33,100.95,109.56,4.94,4.41,0.53,2.87,4.2,-1.34,41,3,1.24,0.09,MVC
Kayba Laube,UNI,1605986,69.0,33.07,33,99.71,124.07,4.31,3.61,0.71,4.76,4.88,-0.11,39,1,1.18,0.03,MVC
Grace Boffeli,UNI,1605987,73.0,21.22,2,87.59,75.91,0.04,-0.04,0.08,0.02,-0.66,0.68,3,2,1.5,1.0,MVC
Jaida McCloud,UIC,1608028,73.0,23.18,32,92.8,105.94,2.58,1.56,1.02,-1.89,-1.05,-0.83,29,23,0.91,0.72,MVC
Kristian Young,UIC,1608029,65.0,21.1,32,97.25,91.49,1.09,0.47,0.61,-0.13,0.0,-0.13,29,2,0.91,0.06,MVC
Sara Zabrecky,UIC,1611501,69.0,16.44,6,99.2,89.09,0.12,0.05,0.07,-0.27,0.24,-0.51,3,0,0.5,0.0,MVC
Shateah Wetering,UNI,1611546,72.0,22.41,31,100.35,102.36,1.87,1.47,0.4,1.1,0.78,0.32,29,13,0.94,0.42,MVC
Ellie Foster,UNI,1611790,71.0,4.28,20,105.4,,,,0.0,-1.32,-1.72,0.4,2,0,0.1,0.0,MVC
Elyce Knudsen,Illinois St.,1613893,68.0,32.42,34,102.11,109.52,3.55,3.11,0.44,1.98,3.61,-1.63,23,10,0.68,0.29,MVC
