fullName,teamMarket,playerId,height,mpg,gp,drtgPlayer,ortgPlayer,ws,ows,dws,rapm,orapm,drapm,stl,blk,stlPg,blkPg,conf
McKinley Dickerson,Wyoming,1317456,71,14.05,28,93.27,98.78,1.26,0.74,0.52,2.06,2.59,-0.53,11,4,0.39,0.14,MWC
Adryana Quezada,San Diego St.,1320934,70,22.52,32,92.38,108.38,3.21,2.18,1.03,1.18,1.04,0.14,19,9,0.59,0.28,MWC
Jazlen Green,San Diego St.,1334318,71,14.15,30,90.93,97.0,1.23,0.55,0.67,1.7,-0.01,1.71,21,10,0.7,0.33,MWC
Kim Villalobos,San Diego St.,1586488,72,23.06,33,83.54,92.02,2.77,0.97,1.8,0.7,0.79,-0.09,47,29,1.42,0.88,MWC
Meghan Fiso,San Diego St.,1589651,70,14.21,29,95.5,57.66,-0.38,-0.83,0.45,-0.1,-0.02,-0.08,9,5,0.31,0.17,MWC
Lexie Givens,Nevada,1591037,72,30.93,30,97.43,106.47,3.44,2.61,0.83,0.77,1.56,-0.78,28,15,0.93,0.5,MWC
Aaliyah Alexander,UNLV,1592637,68,29.27,34,96.06,112.08,3.85,2.82,1.03,8.29,5.19,3.1,25,2,0.74,0.06,MWC
Ola Ustowska,Wyoming,1597808,70,23.83,31,93.38,86.01,1.14,0.17,0.97,0.97,-1.0,1.97,20,8,0.65,0.26,MWC
Cali Clark,San Diego St.,1605261,75,22.57,32,80.85,106.13,3.68,1.76,1.91,1.3,0.81,0.49,38,40,1.19,1.25,MWC
Mary Kay Naro,Boise St.,1611966,71,28.37,30,98.24,93.01,1.23,0.55,0.68,1.8,1.08,0.72,35,18,1.17,0.6,MWC
Elodie Lalotte,Boise St.,1611971,73,15.65,31,94.65,97.5,1.47,0.9,0.57,2.86,1.16,1.7,18,8,0.58,0.26,MWC
Abby Muse,Boise St.,1611972,74,21.37,31,89.06,105.26,2.57,1.4,1.18,0.24,1.27,-1.03,25,64,0.81,2.06,MWC
Hannah Simental,Colorado St.,1612222,68,29.04,30,96.51,105.37,2.71,1.85,0.86,1.72,1.53,0.19,39,2,1.3,0.07,MWC
Victoria Davis,Nevada,1615274,64,23.62,30,99.78,97.08,1.62,1.17,0.46,-0.82,-0.46,-0.36,31,1,1.03,0.03,MWC
Emma Ronsiek,Colorado St.,1615296,73,37.88,30,96.0,107.96,5.15,3.96,1.19,5.14,3.48,1.66,24,9,0.8,0.3,MWC
Cheyenne Stubbs,Utah St.,1682451,65,34.76,26,107.48,101.19,2.01,2.17,-0.15,-4.14,0.26,-4.4,37,1,1.42,0.04,MWC
Malene Pedersen,Wyoming,1687533,70,32.98,32,95.22,120.08,5.52,4.34,1.18,4.6,3.24,1.36,22,3,0.69,0.09,MWC
Amiah Simmons,San Jose St.,1687918,69,27.07,23,103.49,102.45,2.02,1.86,0.16,-3.37,0.6,-3.98,22,4,0.96,0.17,MWC
Macie James,UNLV,1688558,71,14.38,34,95.21,93.43,1.02,0.47,0.55,-0.62,-0.94,0.32,11,5,0.32,0.15,MWC
Emily Mellema,Wyoming,1689198,71,33.0,32,87.8,94.74,3.45,1.45,2.0,4.59,2.24,2.35,67,20,2.09,0.62,MWC
Tess Barnes,Wyoming,1689199,74,31.21,31,94.06,98.66,2.73,1.53,1.2,3.43,2.68,0.76,21,11,0.68,0.35,MWC
Allyson Fertig,Wyoming,1689200,76,34.06,31,86.58,111.24,6.79,4.65,2.14,6.49,4.36,2.13,16,54,0.52,1.74,MWC
Erin Houpt,San Diego St.,1689703,66,15.12,32,97.46,130.04,1.85,1.42,0.43,2.35,1.79,0.56,8,0,0.25,0.0,MWC
Josee Steadman,Boise St.,1692245,72,4.98,12,102.35,91.52,0.11,0.09,0.02,0.25,1.22,-0.97,1,2,0.08,0.17,MWC
Vianè Cumber,New Mexico,1696176,70,33.37,31,98.09,107.04,3.68,2.83,0.85,3.69,2.63,1.06,24,4,0.77,0.13,MWC
Khylee Pepe,San Diego St.,1696214,71,14.32,2,84.14,88.97,0.09,0.02,0.07,0.58,0.06,0.51,3,0,1.5,0.0,MWC
Sophie Sene,Utah St.,1698317,75,19.08,27,103.2,81.2,0.09,-0.05,0.14,1.47,0.98,0.5,15,11,0.56,0.41,MWC
Amhyia Moreland,New Mexico,1698363,73,14.37,31,86.45,109.82,2.21,1.29,0.91,2.56,2.06,0.5,22,49,0.71,1.58,MWC
Payton Muma,Wyoming,1698596,68,6.8,16,96.32,49.17,-0.27,-0.38,0.11,-1.68,-1.07,-0.61,2,1,0.12,0.06,MWC
Alyssa Hargrove,New Mexico,1698644,68,31.58,31,93.03,88.81,1.96,0.63,1.33,2.28,2.17,0.1,65,28,2.1,0.9,MWC
Marisa Davis-Jones,San Jose St.,1701178,73,9.26,24,104.19,79.27,-0.03,-0.07,0.04,-2.76,-1.35,-1.41,3,1,0.12,0.04,MWC
Saga Ukkonen,Fresno St.,1701805,69,30.15,32,103.59,91.0,1.02,0.79,0.23,-0.93,2.03,-2.96,20,4,0.62,0.12,MWC
Sanna Strom,Colorado St.,1702221,72,27.79,11,95.69,117.29,1.09,0.76,0.33,1.85,0.07,1.78,5,4,0.45,0.36,MWC
Audrey Roden,Nevada,1710124,69,24.4,30,96.55,84.69,0.95,0.23,0.72,1.22,1.56,-0.33,27,16,0.9,0.53,MWC
Hennie van Schaik,San Jose St.,1715826,75,18.1,22,98.52,73.49,-0.1,-0.41,0.31,-2.53,-1.65,-0.88,10,14,0.45,0.64,MWC
Kenadee Winfrey,UNLV,1728939,71,9.49,23,88.55,103.62,0.82,0.42,0.4,1.6,2.33,-0.72,11,3,0.48,0.13,MWC
Kiara Jackson,UNLV,1728940,67,33.35,34,92.58,106.33,4.82,3.22,1.59,2.28,2.51,-0.23,43,1,1.26,0.03,MWC
Alyssa Brown,UNLV,1728943,73,26.59,34,82.4,103.15,4.06,1.81,2.24,3.18,2.14,1.03,49,40,1.44,1.18,MWC
Madison Smith,Air Force,1730479,68,31.89,31,89.87,97.62,3.78,2.11,1.67,1.94,1.76,0.18,75,6,2.42,0.19,MWC
Jo Huntimer,Air Force,1730490,67,30.44,31,91.65,98.08,2.29,0.87,1.41,-0.26,-1.4,1.13,59,7,1.9,0.23,MWC
Linsey Lovrovich,Boise St.,1732354,69,3.96,14,101.52,75.83,-0.01,-0.04,0.03,,,,2,0,0.14,0.0,MWC
Jayda Clark,Boise St.,1732366,64,8.39,21,104.29,85.05,0.07,0.04,0.03,-0.66,-0.12,-0.54,1,1,0.05,0.05,MWC
Allie Hueckman,Boise St.,1732356,70,4.86,13,99.75,104.45,0.17,0.13,0.04,-0.2,-0.38,0.18,2,0,0.15,0.0,MWC
Isabella Tanedo,Utah St.,1890314,65,8.22,25,109.28,88.57,0.01,0.09,-0.07,-1.89,-1.19,-0.7,8,0,0.32,0.0,MWC
Hulda Joaquim,New Mexico,1890581,73,25.06,31,96.46,120.93,3.01,2.23,0.77,-1.68,-1.25,-0.43,21,19,0.68,0.61,MWC
Laney Amundsen,Fresno St.,1908344,73,5.41,18,105.46,80.86,-0.01,-0.01,0.0,-1.39,-0.59,-0.8,1,0,0.06,0.0,MWC
Avery Watkins,Fresno St.,1909046,72,6.18,19,100.26,81.39,0.06,-0.01,0.07,-1.76,-0.1,-1.66,3,2,0.16,0.11,MWC
Kennedy Lee,Nevada,1912119,71,25.0,8,96.96,113.19,0.86,0.67,0.19,1.64,1.86,-0.22,7,1,0.88,0.12,MWC
Veronica Sheffey,San Diego St.,1912302,69,31.07,33,92.76,100.49,3.58,2.16,1.42,5.29,3.36,1.93,43,8,1.3,0.24,MWC
Jadyn Fife,Colorado St.,1923948,72,10.64,30,93.54,92.84,0.7,0.29,0.42,2.15,0.02,2.13,9,5,0.3,0.17,MWC
Erica Collins,UNLV,1920407,75,3.76,19,88.11,142.39,0.43,0.3,0.13,-0.58,0.38,-0.96,2,3,0.11,0.16,MWC
Joseana Vaz,Colorado St.,1923952,72,8.25,22,91.54,98.86,0.54,0.27,0.28,-0.31,-0.22,-0.08,7,7,0.32,0.32,MWC
Marta Leimane,Colorado St.,1923953,72,25.34,30,95.09,86.87,1.21,0.35,0.87,2.07,1.17,0.9,19,24,0.63,0.8,MWC
Hannah Ronsiek,Colorado St.,1923958,71,33.39,30,89.93,109.42,3.75,2.06,1.69,3.87,3.77,0.1,41,27,1.37,0.9,MWC
Milahnie Perry,Air Force,1924043,67,30.79,31,98.25,94.38,2.49,1.73,0.77,1.38,0.84,0.55,32,8,1.03,0.26,MWC
Emily Adams,Air Force,1924049,72,13.83,31,91.98,76.38,0.39,-0.24,0.63,-2.88,-2.46,-0.42,21,6,0.68,0.19,MWC
Jasmine Singleton,San Jose St.,1924273,67,20.12,30,100.07,73.82,0.06,-0.31,0.37,-5.15,-3.22,-1.93,41,3,1.37,0.1,MWC
Sofia Kelemeni,San Jose St.,1924271,72,23.17,13,104.16,92.98,0.4,0.34,0.05,-1.67,-1.0,-0.68,5,4,0.38,0.31,MWC
Mariah Elohim,Fresno St.,1924326,70,27.81,32,105.39,92.52,1.02,0.98,0.04,-0.3,0.19,-0.48,16,3,0.5,0.09,MWC
Mia Jacobs,Fresno St.,1925923,74,33.68,32,89.33,109.45,6.35,4.46,1.88,2.63,2.31,0.32,61,21,1.91,0.66,MWC
Amelia Raidaveta,Nevada,1926314,74,8.6,9,103.5,65.78,-0.09,-0.11,0.02,-1.56,-1.35,-0.22,0,1,0.0,0.11,MWC
Jamisyn Heaton,Utah St.,1935900,70,25.09,30,103.35,93.91,1.18,0.98,0.2,-1.32,0.64,-1.95,35,18,1.17,0.6,MWC
Tatum Thompson,Boise St.,1943661,73,26.31,30,91.65,108.74,4.05,2.86,1.18,2.11,2.13,-0.02,32,32,1.07,1.07,MWC
Mya Hansen,Boise St.,1943662,69,22.6,27,103.77,98.61,1.18,1.04,0.13,2.23,2.54,-0.3,12,2,0.44,0.07,MWC
Dani Bayes,Boise St.,1943664,71,22.1,31,97.4,92.87,1.52,0.91,0.61,-0.97,-0.22,-0.75,28,18,0.9,0.58,MWC
Natalie Pasco,Boise St.,1943665,70,25.9,31,104.33,108.24,2.5,2.37,0.13,0.75,0.75,0.0,12,7,0.39,0.23,MWC
Holly Griffiths,Fresno St.,2099026,76,5.85,29,100.58,91.4,0.28,0.19,0.09,-0.87,-1.27,0.4,2,4,0.07,0.14,MWC
Drew Jordon,New Mexico,2107928,71,6.61,17,102.98,107.45,0.31,0.28,0.03,-0.62,0.01,-0.63,0,2,0.0,0.12,MWC
Kati Ollilainen,Wyoming,2110395,69,16.36,32,95.11,87.8,0.83,0.24,0.59,-2.5,-2.77,0.26,9,1,0.28,0.03,MWC
Madi Symons,Wyoming,2110396,72,10.42,30,92.53,52.12,-0.16,-0.59,0.44,-3.78,-3.22,-0.56,12,3,0.4,0.1,MWC
Djessira Diawara,San Jose St.,2114247,75,23.94,30,102.87,99.64,1.39,1.16,0.23,0.6,1.32,-0.72,15,10,0.5,0.33,MWC
Macy Spencer,UNLV,2116938,69,10.64,24,94.65,116.92,1.09,0.79,0.3,1.89,1.56,0.33,8,0,0.33,0.0,MWC
McKinna Brackens,UNLV,2116939,73,26.87,34,90.9,105.37,3.66,2.21,1.45,4.01,2.15,1.86,27,12,0.79,0.35,MWC
Meadow Roland,UNLV,2116940,74,18.77,33,85.69,117.79,4.1,2.78,1.32,4.19,2.85,1.34,18,25,0.55,0.76,MWC
Amarachi Kimpson,UNLV,2116941,68,30.97,33,93.21,122.1,5.73,4.36,1.37,6.06,4.8,1.26,41,4,1.24,0.12,MWC
Izzy Sullivan,Nevada,2117116,70,29.27,26,105.87,93.23,0.79,0.79,-0.0,-2.94,-0.57,-2.37,12,2,0.46,0.08,MWC
Dymonique Maxie,Nevada,2117117,68,30.97,30,98.42,82.36,0.73,0.0,0.73,-0.9,-1.66,0.76,57,9,1.9,0.3,MWC
Rakiyah Jackson,Nevada,2117118,70,12.58,29,103.61,95.19,0.45,0.37,0.09,-0.9,-0.55,-0.35,5,3,0.17,0.1,MWC
Charlotte Climenhage,Nevada,2117126,72,12.97,10,105.4,,,,0.01,-1.88,-1.21,-0.67,2,0,0.2,0.0,MWC
Olivia Poulivaati,Nevada,2117127,72,16.42,27,98.82,92.51,0.69,0.36,0.33,-2.22,-1.16,-1.06,12,10,0.44,0.37,MWC
Imbie Jones,Nevada,2117594,74,21.76,28,103.78,97.58,1.02,0.89,0.13,-1.68,-1.05,-0.63,3,3,0.11,0.11,MWC
Jordyn DeVaughn,Air Force,2118673,66,14.26,31,99.6,101.38,1.23,0.93,0.29,1.7,1.88,-0.18,12,0,0.39,0.0,MWC
Alexis Cortez,Air Force,2118675,71,27.94,26,96.25,82.33,0.74,0.0,0.74,-1.49,-1.52,0.04,35,3,1.35,0.12,MWC
Jayda McNabb,Air Force,2118676,70,26.54,31,89.39,112.87,3.72,2.29,1.43,3.2,1.82,1.38,54,31,1.74,1.0,MWC
Keelie O'Hollaren,Air Force,2118677,70,23.27,31,97.37,98.64,1.93,1.28,0.65,-0.94,0.09,-1.03,22,8,0.71,0.26,MWC
Marissa Hargrave,Air Force,2118681,68,6.38,11,97.17,,,,0.06,-1.85,-0.73,-1.12,2,0,0.18,0.0,MWC
Lara Langermann,New Mexico,2118795,67,16.95,28,100.1,75.25,0.05,-0.23,0.29,-0.54,-0.47,-0.08,15,2,0.54,0.07,MWC
Paris Lauro,New Mexico,2118796,73,7.5,29,100.03,94.46,0.37,0.23,0.13,-1.65,-0.88,-0.77,2,7,0.07,0.24,MWC
Sydni Summers,San Jose St.,2118920,65,28.84,30,107.81,92.86,0.8,0.98,-0.18,-0.95,1.49,-2.44,15,0,0.5,0.0,MWC
Finau Tonga,San Jose St.,2118950,74,17.03,25,104.2,96.26,0.88,0.81,0.07,-1.16,1.04,-2.2,6,6,0.24,0.24,MWC
Amira Brown,San Jose St.,2126391,70,25.91,30,103.0,77.03,-0.22,-0.45,0.23,-1.35,-1.36,0.01,24,7,0.8,0.23,MWC
