fullName,teamMarket,playerId,height,mpg,gp,drtgPlayer,ortgPlayer,ws,ows,dws,rapm,orapm,drapm,stl,blk,stlPg,blkPg,conf
Brandi Williams,LMU (CA),967516,66,37.19,27,101.64,103.29,2.5,2.06,0.45,-1.46,-0.94,-0.52,30,1,1.11,0.04,WCC
Kelsey Rees,Oregon St.,1581533,77,32.2,34,93.91,105.85,4.51,3.12,1.38,4.23,1.18,3.05,14,26,0.41,0.76,WCC
Yvonne Ejim,Gonzaga,1582594,73,31.24,35,89.93,115.6,7.97,6.13,1.84,7.26,4.71,2.54,47,36,1.34,1.03,WCC
Sela Heide,Oregon St.,1587570,79,18.32,34,87.82,102.68,2.45,1.26,1.19,0.2,-0.71,0.9,5,54,0.15,1.59,WCC
Ornela Muca,Pepperdine,1587569,67,20.25,30,102.48,74.55,-0.46,-0.67,0.22,-2.2,-0.02,-2.19,16,0,0.53,0.0,WCC
Megan Harkey,Pepperdine,1595048,78,16.78,29,97.22,90.95,0.88,0.44,0.44,-3.78,-1.2,-2.57,5,31,0.17,1.07,WCC
Sol Castro,San Francisco,1603853,73,13.26,4,93.37,90.29,0.13,0.06,0.07,-1.28,-0.56,-0.72,1,2,0.25,0.5,WCC
McKelle Meek,Portland,1604847,67,30.45,35,95.37,112.39,3.21,2.02,1.18,2.06,2.11,-0.05,41,0,1.17,0.0,WCC
Emme Shearer,Portland,1604848,72,30.25,35,88.96,116.02,6.6,4.7,1.89,6.99,5.25,1.75,69,16,1.97,0.46,WCC
Ava Ranson,San Diego,1605516,70,30.05,29,102.24,83.98,0.51,0.18,0.33,-1.82,-1.01,-0.81,40,4,1.38,0.14,WCC
Liz Smith,Pacific,1605617,69,34.87,33,90.86,100.18,4.23,2.42,1.81,2.09,-0.22,2.31,86,4,2.61,0.12,WCC
Tayla Dalton,Gonzaga,1606381,69,25.93,24,96.81,105.13,1.59,0.99,0.59,3.18,1.01,2.17,26,2,1.08,0.08,WCC
Mia Vuksic,San Francisco,1611483,70,10.47,18,93.86,100.82,0.64,0.4,0.24,-0.26,0.81,-1.07,9,1,0.5,0.06,WCC
Irena Korolenko,Santa Clara,1609823,72,7.65,25,100.51,71.24,-0.1,-0.21,0.11,-1.72,-2.22,0.51,3,1,0.12,0.04,WCC
Alexis Mark,Portland,1611973,72,30.46,35,86.04,105.46,5.12,2.88,2.24,4.4,2.46,1.94,67,22,1.91,0.63,WCC
Mia Curtis,Santa Clara,1613715,69,15.25,29,102.25,66.02,-0.34,-0.5,0.17,0.56,-0.01,0.57,12,0,0.41,0.0,WCC
Malia Mastora,Pepperdine,1614758,70,33.35,30,101.84,96.71,1.35,0.93,0.42,-1.77,-1.57,-0.2,25,18,0.83,0.6,WCC
Maud Huijbens,Gonzaga,1615275,75,27.71,29,93.82,93.3,2.02,1.0,1.02,-0.5,1.1,-1.6,23,12,0.79,0.41,WCC
Hannah Rapp,Santa Clara,1624139,69,23.76,29,96.36,95.01,1.31,0.62,0.69,-0.24,-0.79,0.55,21,4,0.72,0.14,WCC
Anna Eddy,Portland,1614761,69,2.55,15,96.78,54.21,-0.08,-0.12,0.04,,,,1,0,0.07,0.0,WCC
Kylie Horstmeyer,San Diego,1636400,72,35.48,29,103.25,118.49,3.57,3.29,0.28,-3.59,-1.85,-1.74,31,9,1.07,0.31,WCC
Naudia Evans,LMU (CA),1687478,66,37.71,28,97.9,88.43,1.98,1.09,0.89,-1.38,0.51,-1.88,40,5,1.43,0.18,WCC
Seynabou Thiam,San Francisco,1687578,78,4.39,18,83.22,80.22,0.17,-0.02,0.19,-0.03,0.27,-0.3,6,4,0.33,0.22,WCC
Carly Heidger,LMU (CA),1688590,75,32.75,26,102.44,95.93,1.23,0.92,0.31,-0.81,0.4,-1.21,17,12,0.65,0.46,WCC
Truitt Reilly,San Diego,1688717,74,29.04,29,94.16,97.79,2.68,1.64,1.03,-0.48,0.44,-0.92,35,22,1.21,0.76,WCC
Emerita Mashaire,Pepperdine,1694495,72,21.38,28,101.15,79.2,0.15,-0.15,0.3,-5.46,-3.2,-2.26,12,5,0.43,0.18,WCC
Maisie Burnham,Portland,1695250,72,29.87,35,89.89,113.44,6.29,4.52,1.77,4.41,4.52,-0.1,55,15,1.57,0.43,WCC
Helena Friend,Pepperdine,1695356,72,13.24,28,94.56,81.53,0.42,-0.02,0.44,-3.14,-2.58,-0.56,11,4,0.39,0.14,WCC
Paula Reus Piza,LMU (CA),1696172,73,31.66,1,92.51,83.76,0.05,0.0,0.04,-0.48,-0.29,-0.18,1,2,1.0,2.0,WCC
Esther Little,Gonzaga,1698593,74,25.91,31,96.92,75.97,0.45,-0.3,0.76,-0.66,0.82,-1.47,23,6,0.74,0.19,WCC
Freja Werth,San Francisco,1698520,73,35.03,31,92.57,105.9,4.75,3.23,1.52,-0.2,0.2,-0.4,39,12,1.26,0.39,WCC
Bree Salenbien,Gonzaga,1698598,74,17.82,21,95.95,91.86,0.84,0.45,0.39,-0.78,-0.5,-0.28,11,12,0.52,0.57,WCC
Kaya Ingram,Santa Clara,1698611,68,27.66,29,99.59,87.14,0.99,0.46,0.53,-3.59,-0.32,-3.27,27,0,0.93,0.0,WCC
Olivia Pollerd,Santa Clara,1701183,74,36.4,29,97.06,93.21,2.54,1.57,0.98,-0.07,0.23,-0.3,20,48,0.69,1.66,WCC
Maggie Vick,Pepperdine,1700370,74,19.85,30,98.89,84.73,0.56,0.12,0.44,0.66,-0.95,1.61,17,8,0.57,0.27,WCC
Emma Trawally Porta,San Francisco,1705460,71,28.28,31,91.21,98.26,2.83,1.47,1.36,3.45,1.56,1.88,24,38,0.77,1.23,WCC
AJ Marotte,Oregon St.,1714604,73,35.2,34,98.07,88.67,1.84,0.86,0.99,0.22,0.55,-0.33,16,13,0.47,0.38,WCC
Claire Gallagher,San Diego,1709961,71,8.41,26,104.97,79.6,-0.03,-0.05,0.02,-0.8,-0.36,-0.44,4,1,0.15,0.04,WCC
Tara Wallack,Washington St.,1708428,74,33.76,34,93.81,107.88,4.69,3.24,1.46,2.85,1.86,0.99,34,65,1.0,1.91,WCC
Ava Toone,LMU (CA),1717813,73,4.06,15,106.2,,,,-0.0,-3.34,-0.79,-2.55,0,1,0.0,0.07,WCC
Anaya James,Pacific,1724724,69,32.55,33,91.85,91.1,2.82,1.24,1.58,-0.74,0.41,-1.15,69,17,2.09,0.52,WCC
Courtney Wristen,San Diego,1720429,74,20.41,13,96.29,84.54,0.32,0.06,0.27,-1.63,-0.52,-1.11,11,6,0.85,0.46,WCC
Elizabeth Elliott,Pacific,1724781,73,27.32,29,93.3,104.11,3.37,2.32,1.04,0.6,0.78,-0.19,26,10,0.9,0.34,WCC
Aya Kéita,San Francisco,1726674,69,14.8,29,93.96,100.84,1.11,0.57,0.54,1.7,2.61,-0.9,15,6,0.52,0.21,WCC
Lorena Barbosa,San Francisco,1726668,77,9.75,11,93.55,72.6,-0.02,-0.16,0.14,-0.42,-1.3,0.88,4,1,0.36,0.09,WCC
Debora Dos Santos,San Francisco,1726673,72,25.37,14,83.56,102.46,1.84,1.0,0.84,5.47,1.49,3.98,21,23,1.5,1.64,WCC
Cami Fulcher,San Francisco,1727369,68,24.73,29,97.07,82.79,0.69,0.02,0.67,0.18,-1.12,1.3,22,1,0.76,0.03,WCC
Makena Mastora,Pepperdine,1728217,69,30.23,30,97.76,76.37,0.17,-0.61,0.78,-2.4,-2.24,-0.16,25,7,0.83,0.23,WCC
Kennedy Johnson,Saint Mary's (CA),1728219,71,30.26,31,91.22,104.03,3.89,2.44,1.45,2.46,1.69,0.77,55,19,1.77,0.61,WCC
Trista Hull,Portland,1732365,74,24.41,35,86.92,105.8,3.59,1.88,1.71,3.8,2.83,0.97,28,63,0.8,1.8,WCC
Natalie Fraley,Portland,1890319,73,8.1,35,95.71,73.84,0.1,-0.2,0.3,-1.55,-1.1,-0.45,6,3,0.17,0.09,WCC
Ines Bettencourt,Gonzaga,1907334,69,22.32,35,96.92,90.51,1.4,0.66,0.74,0.52,1.94,-1.42,31,11,0.89,0.31,WCC
Catarina Ferreira,Oregon St.,1898783,72,29.54,34,87.59,96.63,3.63,1.69,1.94,0.28,0.39,-0.11,55,8,1.62,0.24,WCC
Melesungu Afeaki,Saint Mary's (CA),1912304,74,13.63,31,98.28,70.17,-0.1,-0.44,0.34,-2.54,-2.2,-0.34,7,9,0.23,0.29,WCC
Georgia Grigoropoulou,Santa Clara,1913002,75,14.46,29,95.01,104.36,1.38,0.9,0.48,3.3,1.95,1.35,5,20,0.17,0.69,WCC
Abigail Shoff,Saint Mary's (CA),1925221,72,22.26,31,95.39,91.39,1.39,0.63,0.76,-0.17,0.87,-1.04,24,9,0.77,0.29,WCC
Kyra Gardner,Washington St.,1925231,71,9.42,31,91.31,97.44,0.89,0.44,0.45,2.32,1.44,0.89,15,12,0.48,0.39,WCC
Lauren Glazier,Pacific,1925238,76,15.23,29,92.28,70.09,-0.06,-0.69,0.63,-2.09,-1.55,-0.54,15,26,0.52,0.9,WCC
Astera Tuhina,Washington St.,1925236,69,31.41,34,96.47,98.54,2.58,1.52,1.06,2.72,1.88,0.83,42,7,1.24,0.21,WCC
Sydney Ward,Pacific,1925556,72,28.68,33,90.56,85.17,1.7,0.18,1.52,-0.5,-0.9,0.4,45,37,1.36,1.12,WCC
Jayden Rhodes,San Diego,1930380,71,10.38,28,98.21,73.1,0.04,-0.19,0.23,-0.71,-1.53,0.82,15,2,0.54,0.07,WCC
Hallie Rhodes,San Diego,1930383,71,27.15,29,102.05,81.58,0.26,-0.06,0.31,-1.42,-0.1,-1.32,31,16,1.07,0.55,WCC
Malia Latu,Santa Clara,1937030,68,29.1,29,99.61,90.29,1.42,0.87,0.55,-0.54,-1.41,0.87,28,9,0.97,0.31,WCC
Marina Hernandez,San Francisco,1937033,74,5.22,10,93.87,67.9,-0.03,-0.1,0.07,,,,2,1,0.2,0.1,WCC
Alana Goodchild,Santa Clara,1946741,74,16.48,29,102.0,102.84,1.11,0.92,0.19,-0.74,0.66,-1.39,11,5,0.38,0.17,WCC
Sasha Murphy,Saint Mary's (CA),1945333,70,3.35,20,95.3,87.51,0.11,0.04,0.07,-0.05,0.42,-0.48,3,1,0.15,0.05,WCC
Ella Brubaker,Pepperdine,2099025,72,19.29,29,96.19,102.41,2.02,1.44,0.57,-1.02,0.19,-1.21,29,9,1.0,0.31,WCC
Lauren McCall,San Diego,2110579,66,22.6,21,99.84,73.25,-0.2,-0.5,0.3,-1.6,-0.52,-1.08,27,1,1.29,0.05,WCC
Claire O'Connor,Gonzaga,2111086,72,23.43,34,96.99,110.47,2.73,1.98,0.75,1.13,1.93,-0.8,32,6,0.94,0.18,WCC
Stella Szabo,Pacific,2112577,71,8.54,21,101.46,68.65,-0.08,-0.16,0.08,-1.35,-1.58,0.23,2,0,0.1,0.0,WCC
Malia Tharpe,San Diego,2110578,72,13.07,25,101.47,73.75,-0.12,-0.27,0.15,1.45,1.14,0.31,8,4,0.32,0.16,WCC
Nyah Lowery,Pacific,2112578,71,19.04,33,94.6,73.56,0.31,-0.44,0.74,-2.07,-2.66,0.58,31,7,0.94,0.21,WCC
Ali'a Matavao,LMU (CA),2114254,72,17.81,6,98.48,88.71,0.17,0.09,0.08,-1.09,0.03,-1.12,1,1,0.17,0.17,WCC
Ella Wedin,Saint Mary's (CA),2118050,73,19.14,9,99.8,98.04,0.28,0.17,0.11,-0.34,-2.59,2.25,4,2,0.44,0.22,WCC
Amelie Sitterud,LMU (CA),2118062,73,12.51,27,97.98,68.69,-0.02,-0.3,0.28,-0.02,-0.1,0.09,11,8,0.41,0.3,WCC
Jamie Kent,Pacific,2112579,72,12.76,21,90.58,81.88,0.42,-0.01,0.43,1.72,1.96,-0.25,9,4,0.43,0.19,WCC
McKynnlie Dalan,Gonzaga,2118009,73,12.89,33,98.23,98.73,0.91,0.56,0.34,-2.42,-1.3,-1.12,13,5,0.39,0.15,WCC
Maya Hernandez,LMU (CA),2118064,72,30.42,28,90.94,99.58,3.28,1.93,1.35,0.9,0.21,0.69,55,26,1.96,0.93,WCC
Kennedie Shuler,Oregon St.,2125273,70,32.79,34,95.13,91.56,2.29,1.02,1.27,-0.71,-0.22,-0.48,42,5,1.24,0.15,WCC
Madison Naro,Santa Clara,2118063,67,34.14,28,105.03,89.56,0.66,0.57,0.08,-2.25,0.26,-2.51,11,1,0.39,0.04,WCC
Susana Yepes,Oregon St.,2125274,72,6.44,24,99.69,,,,0.1,0.57,-0.27,0.83,0,1,0.0,0.04,WCC
Luana Leite,San Francisco,2125425,67,30.32,31,97.4,96.84,2.04,1.2,0.84,0.76,0.61,0.15,29,3,0.94,0.1,WCC
Elle Papahronis,San Francisco,2125424,71,16.82,31,94.16,79.65,0.51,-0.13,0.64,-0.95,-0.28,-0.66,18,2,0.58,0.06,WCC
Candace Kpetikou,Washington St.,2126392,75,10.92,32,90.97,74.41,0.19,-0.36,0.55,-1.31,-2.12,0.82,11,24,0.34,0.75,WCC
Eleonora Villa,Washington St.,2126394,68,33.01,33,100.31,98.99,2.82,2.18,0.64,1.22,2.23,-1.02,29,7,0.88,0.21,WCC
Rhyan Mogel,Portland,2135969,70,20.45,35,93.67,97.58,1.85,0.93,0.92,-0.1,-0.03,-0.07,35,4,1.0,0.11,WCC
Lainey Spear,Portland,2135962,74,15.21,35,92.6,89.82,1.14,0.4,0.75,0.82,1.31,-0.49,21,4,0.6,0.11,WCC
Jenna Villa,Washington St.,2126404,73,21.87,34,99.16,99.37,1.54,1.02,0.52,2.8,2.14,0.65,19,9,0.56,0.26,WCC
Dyani Ananiev,Portland,2135949,73,19.85,9,85.6,97.04,0.65,0.27,0.38,-0.56,-2.02,1.46,15,5,1.67,0.56,WCC
Alex Covill,Washington St.,2126403,78,18.21,26,91.9,108.42,2.08,1.39,0.7,-1.93,-0.36,-1.57,9,57,0.35,2.19,WCC
Zeryhia Aokuso,Saint Mary's (CA),2141082,70,25.01,26,94.58,89.43,1.41,0.63,0.77,-1.48,-0.39,-1.09,32,5,1.23,0.19,WCC
Maia Jones,Saint Mary's (CA),2141077,70,29.25,30,94.27,103.99,3.37,2.3,1.07,1.2,1.25,-0.05,51,9,1.7,0.3,WCC
Emily Foy,Saint Mary's (CA),2141076,73,26.49,31,97.41,96.77,1.8,1.07,0.73,-0.39,0.75,-1.14,27,4,0.87,0.13,WCC
Marina Radocaj,Pacific,2143277,75,20.85,33,93.97,85.87,1.07,0.21,0.86,-1.84,-2.82,0.98,20,31,0.61,0.94,WCC
Tiara Bolden,Oregon St.,2146751,71,26.66,34,94.07,90.33,1.87,0.73,1.13,0.06,0.41,-0.34,30,6,0.88,0.18,WCC
Nadia Bernard,Saint Mary's (CA),2141083,76,5.41,19,99.29,,,,0.07,-3.16,-2.62,-0.54,1,1,0.05,0.05,WCC
Jada Hunter,Saint Mary's (CA),2269958,70,18.4,31,93.04,74.93,0.37,-0.41,0.77,-0.87,-1.07,0.2,40,4,1.29,0.13,WCC
Allison Clarke,LMU (CA),2291259,71,25.37,28,105.43,105.02,0.88,0.85,0.03,-1.01,-0.54,-0.47,13,5,0.46,0.18,WCC
Marta Alsina,Washington St.,2292674,71,10.58,34,93.94,66.43,0.08,-0.37,0.45,-2.93,-2.2,-0.73,17,12,0.5,0.35,WCC
Mauriana Hashemian-Orr,Saint Mary's (CA),2269960,67,13.08,29,93.39,79.57,0.41,-0.09,0.5,1.58,0.44,1.15,18,0,0.62,0.0,WCC
Edie Clarke,Saint Mary's (CA),2269974,76,12.66,30,94.75,95.26,0.89,0.45,0.45,-4.23,-3.26,-0.97,12,19,0.4,0.63,WCC
Zawadi Ogot,LMU (CA),2291264,71,19.34,25,102.11,82.46,0.2,0.0,0.19,-4.76,-1.03,-3.72,10,6,0.4,0.24,WCC
Chloe Sotell,Pepperdine,2287010,72,28.97,30,98.78,85.77,1.05,0.4,0.65,-1.75,-0.7,-1.05,35,11,1.17,0.37,WCC
Charlotte Abraham,Washington St.,2292673,72,16.68,31,97.68,93.24,1.01,0.56,0.45,-0.09,0.72,-0.81,11,2,0.35,0.06,WCC
Amy Kurkowski,Saint Mary's (CA),2269959,73,15.09,16,98.91,77.83,0.1,-0.08,0.18,-1.38,-1.3,-0.08,3,7,0.19,0.44,WCC
Jean Chiu,Washington St.,2292675,67,5.84,27,102.22,67.01,-0.12,-0.18,0.06,-2.92,-1.56,-1.35,2,0,0.07,0.0,WCC
Dayana Mendes,Washington St.,2292679,74,18.46,30,88.7,93.72,1.93,0.93,1.0,4.54,2.86,1.69,19,18,0.63,0.6,WCC
Alice Dart,Washington St.,2292676,70,4.67,21,100.75,86.77,0.1,0.05,0.05,-0.7,-0.73,0.03,1,2,0.05,0.1,WCC
Dresha Moore,San Diego,2292907,72,19.07,28,97.88,84.09,0.54,0.09,0.45,-3.91,-0.84,-3.06,17,12,0.61,0.43,WCC
Lilly Amor,San Diego,2292908,71,4.91,15,102.75,,,,0.02,-1.29,-0.87,-0.42,3,0,0.2,0.0,WCC
Erica Carr,San Diego,2292909,75,4.95,11,95.71,54.3,-0.16,-0.22,0.06,-0.74,-1.3,0.56,2,2,0.18,0.18,WCC
Paris Santacaterina,San Diego,2292911,67,10.64,6,99.92,72.34,-0.02,-0.06,0.04,-3.63,-0.94,-2.69,3,0,0.5,0.0,WCC
Christabel Osarobo,Gonzaga,2303027,71,6.89,28,99.75,68.99,-0.01,-0.13,0.12,-2.95,-0.52,-2.43,6,0,0.21,0.0,WCC
Vera Gunaydin,Gonzaga,2303021,69,4.09,17,99.88,,,,0.04,-0.13,-0.08,-0.05,2,1,0.12,0.06,WCC
Allie Turner,Gonzaga,2303025,68,32.69,35,99.04,113.22,4.58,3.76,0.82,4.37,3.3,1.07,24,19,0.69,0.54,WCC
Ally Schimel,Oregon St.,2308978,70,19.64,34,96.55,94.83,1.13,0.47,0.66,2.48,1.8,0.68,22,7,0.65,0.21,WCC
Cloe Vecina,Oregon St.,2308979,68,5.98,24,94.62,54.33,-0.31,-0.48,0.17,0.75,0.43,0.32,8,0,0.33,0.0,WCC
Madison Watts,LMU (CA),2310642,70,5.91,16,97.71,70.76,0.0,-0.08,0.08,3.03,2.21,0.82,2,0,0.12,0.0,WCC
Tyla Fautua,Pacific,2313740,72,6.12,20,98.55,,,,0.09,-2.24,-1.85,-0.39,2,5,0.1,0.25,WCC
Tiffany Barbosa,Portland,2314995,70,3.94,31,96.07,60.97,-0.06,-0.18,0.13,-2.98,-0.99,-1.99,4,0,0.13,0.0,WCC
Ella Zimmerman,Portland,2314994,76,3.43,25,90.88,97.63,0.25,0.11,0.14,-2.29,-0.13,-2.17,0,3,0.0,0.12,WCC
Daria Nestorov,Pacific,2313738,64,14.1,28,98.08,84.36,0.4,0.08,0.32,1.3,0.53,0.77,14,0,0.5,0.0,WCC
Luisa Anderegg,Pacific,2313734,74,7.42,12,102.64,41.01,-0.25,-0.28,0.03,0.38,-1.17,1.54,0,0,0.0,0.0,WCC
Angeliki Ziaka,San Francisco,2333260,72,26.41,30,90.01,95.9,2.42,1.1,1.33,-0.55,-1.88,1.33,49,26,1.63,0.87,WCC
Mali Ennis,Saint Mary's (CA),2269981,70,2.13,6,107.34,,,,-0.0,,,,0,0,0.0,0.0,WCC
Kiana Moniz,San Francisco,2333257,65,2.57,1,104.9,,,,0.0,,,,0,0,0.0,0.0,WCC
Lexi Boles,LMU (CA),1691965,75,4.45,1,109.85,,,,-0.0,,,,0,0,0.0,0.0,WCC
Lauren Grover,Santa Clara,2311525,73,2.11,4,74.41,139.37,0.06,0.03,0.03,,,,1,0,0.25,0.0,WCC
Layla Curry,LMU (CA),1933449,69,9.25,1,94.77,,,,0.01,,,,1,0,1.0,0.0,WCC
Gabby Harris,Santa Clara,2357876,71,2.76,5,106.13,58.42,-0.02,-0.02,-0.0,,,,0,0,0.0,0.0,WCC
Elisa Mehyar,Oregon St.,2308976,77,1.97,6,100.55,,,,0.01,,,,0,0,0.0,0.0,WCC
Ella Hopkins,Gonzaga,2111089,75,1.86,10,104.95,93.14,0.01,0.01,0.0,,,,0,0,0.0,0.0,WCC
Eva Ruse,San Diego,2292910,74,2.66,7,102.83,69.73,-0.02,-0.02,0.01,,,,0,0,0.0,0.0,WCC
Emma Strelein,Portland,1695257,71,3.36,16,94.16,143.16,0.19,0.13,0.07,-1.01,-0.51,-0.51,0,0,0.0,0.0,WCC
Mari Somvichian,LMU (CA),2118049,64,5.28,9,95.53,,,,0.05,,,,3,0,0.33,0.0,WCC
Lucia Navarro,Oregon St.,2126122,72,3.58,9,98.53,,,,0.02,,,,0,0,0.0,0.0,WCC
Addi Melone,Pepperdine,2099024,63,13.27,3,89.48,,,,0.07,-0.38,-0.26,-0.12,3,0,1.0,0.0,WCC
Hailey Johnson,Pepperdine,1912239,69,3.37,12,104.78,,,,0.0,,,,0,1,0.0,0.08,WCC
