fullName,teamMarket,playerId,height,mpg,gp,drtgPlayer,ortgPlayer,ws,ows,dws,rapm,orapm,drapm,stl,blk,stlPg,blkPg,conf
Mya Glanton,Saint Louis,1374990,72.0,13.81,30,98.45,114.52,1.37,1.05,0.32,-0.13,1.36,-1.49,15,6,0.5,0.2,A10
Alyssa Jimenez,Richmond,1321025,72.0,17.57,29,89.52,112.23,1.77,0.89,0.88,0.62,-0.06,0.68,28,6,0.97,0.21,A10
Anna Camden,Richmond,1345938,75.0,12.99,35,85.23,94.26,1.54,0.54,0.99,3.87,2.61,1.26,14,24,0.4,0.69,A10
Rikki Harris,Dayton,1318045,70.0,26.75,31,86.91,90.71,2.31,0.65,1.66,0.1,-1.37,1.47,47,11,1.52,0.35,A10
Jolene Armendariz,La Salle,1317729,72.0,19.62,31,96.49,85.16,0.77,0.17,0.6,-1.95,-1.8,-0.15,20,4,0.65,0.13,A10
Mykel Parham,VCU,1317807,73.0,29.71,31,79.08,86.95,2.92,0.31,2.61,1.19,0.29,0.9,37,44,1.19,1.42,A10
Jennifer Ezeh,VCU,1354289,74.0,13.8,26,86.01,77.71,0.54,-0.21,0.75,0.61,-2.89,3.5,11,6,0.42,0.23,A10
Addie Budnik,Richmond,1579845,74.0,29.78,35,89.64,121.38,5.73,3.94,1.79,6.24,2.9,3.34,28,33,0.8,0.94,A10
Taylor Donaldson,Fordham,1581493,70.0,33.53,25,88.37,97.64,3.3,1.76,1.54,0.95,-0.16,1.12,54,4,2.16,0.16,A10
Gabby Hutcherson,Duquesne,1583035,74.0,21.11,30,87.42,89.22,1.74,0.5,1.23,-1.03,0.78,-1.82,16,32,0.53,1.07,A10
Sitori Tanin,Loyola Chicago,1589555,74.0,23.27,29,94.48,84.94,1.01,0.2,0.81,-4.4,-1.48,-2.91,24,29,0.83,1.0,A10
Bri Johns,Saint Louis,1599921,71.0,6.65,20,99.97,,,,0.08,1.07,1.35,-0.29,6,4,0.3,0.2,A10
Megan McConnell,Duquesne,1600046,67.0,36.97,33,81.37,113.37,8.07,4.92,3.15,2.12,1.26,0.86,132,9,4.0,0.27,A10
Kiandra Browne,Duquesne,1600087,74.0,19.12,33,89.89,88.16,1.45,0.39,1.06,-0.41,-0.94,0.52,21,9,0.64,0.27,A10
Dani Haskell,St. Bonaventure,1600121,65.0,32.28,30,105.4,93.21,1.4,1.35,0.05,-3.95,-0.84,-3.1,30,5,1.0,0.17,A10
Peyton Kennedy,Saint Louis,1604797,71.0,25.38,31,101.26,97.83,1.88,1.5,0.38,-2.48,-1.85,-0.63,33,14,1.06,0.45,A10
Thoranna Kika Hodge-Carr,Loyola Chicago,1605291,68.0,23.82,29,97.29,81.23,0.55,-0.07,0.62,-0.57,0.29,-0.86,28,1,0.97,0.03,A10
Irene Murua,Fordham,1605223,73.0,31.54,29,93.6,116.86,4.32,3.14,1.18,1.22,0.56,0.66,16,11,0.55,0.38,A10
Mariona Planes Fortuny,George Washington,1606105,75.0,22.63,11,91.16,104.82,0.95,0.56,0.39,1.46,-0.39,1.86,6,8,0.55,0.73,A10
