,Player,Team,Conf,height,mpg,gp,drtgPlayer,ortgPlayer,ws,ows,dws,rapm,orapm,drapm,stl,blk,stlPg,blkPg,Poss,PPP,PPS,TeamDefRtg
0,AJ Marotte,Oregon State Beavers,WCC,73.0,35.2,34.0,98.07,88.67,1.84,0.86,0.99,0.22,0.55,-0.33,16.0,13.0,0.47,0.38,7.8,0.816,0.84,93.7
1,Aaliyah Alexander,UNLV Rebels,MWC,68.0,29.27,34.0,96.06,112.08,3.85,2.82,1.03,8.29,5.19,3.1,25.0,2.0,0.74,0.06,6.0,0.765,0.85,91.1
2,Aanaya Harris,Charlotte 49ers,AAC,71.0,6.29,28.0,95.23,69.86,0.03,-0.17,0.2,-3.25,-1.89,-1.36,11.0,3.0,0.39,0.11,,,,97.7
3,Abbie Aalsma,Drake Bulldogs,MVC,69.0,25.4,34.0,103.35,119.95,2.85,2.62,0.23,6.07,5.68,0.4,18.0,3.0,0.53,0.09,6.6,0.889,0.93,97.1
4,Abby Muse,Boise State Broncos,MWC,74.0,21.37,31.0,89.06,105.26,2.57,1.4,1.18,0.24,1.27,-1.03,25.0,64.0,0.81,2.06,4.5,0.811,0.8,97.1
5,Abby Sharpe,Pennsylvania Quakers,IVY,72.0,9.25,19.0,99.47,99.04,0.34,0.23,0.12,1.23,0.25,0.98,3.0,1.0,0.16,0.05,,,,94.1
6,Abigail Long,Yale Bulldogs,IVY,67.0,8.48,22.0,110.73,80.38,-0.13,-0.04,-0.1,-0.8,0.66,-1.46,1.0,0.0,0.05,0.0,,,,103.8
7,Abigail Shoff,Saint Mary's Gaels,WCC,72.0,22.26,31.0,95.39,91.39,1.39,0.63,0.76,-0.17,0.87,-1.04,24.0,9.0,0.77,0.29,4.8,0.816,0.92,94.9
8,Abigail Wright,Harvard Crimson,IVY,73.0,13.63,29.0,82.38,115.51,2.45,1.46,0.99,4.67,3.32,1.35,18.0,5.0,0.62,0.17,2.4,0.757,0.73,80.7
9,Adalyn Koelling,Murray State Racers,MVC,73.0,4.2,19.0,94.34,68.2,0.0,-0.09,0.1,-1.09,-0.54,-0.55,3.0,0.0,0.16,0.0,,,,95.2
10,Adaora Nwokeji,Princeton Tigers,IVY,68.0,7.31,3.0,95.0,106.52,0.09,0.06,0.03,,,,1.0,0.0,0.33,0.0,,,,89.3
11,Addi Melone,Pepperdine Waves,WCC,63.0,13.27,3.0,89.48,,,,0.07,-0.38,-0.26,-0.12,3.0,0.0,1.0,0.0,4.3,0.846,1.0,98.9
12,Addie Budnik,Richmond Spiders,A10,74.0,29.78,35.0,89.64,121.38,5.73,3.94,1.79,6.24,2.9,3.34,28.0,33.0,0.8,0.94,6.1,0.712,0.82,88.4
13,Addison Martin,Illinois State Redbirds,MVC,72.0,30.96,36.0,100.87,118.79,4.41,3.82,0.59,3.05,3.21,-0.16,27.0,9.0,0.75,0.25,8.0,0.749,0.83,98.5
14,Adebukola Akomolafe,Virginia Commonwealth Rams,A10,70.0,3.85,23.0,89.55,111.91,0.33,0.18,0.15,0.68,0.69,-0.01,2.0,1.0,0.09,0.04,,,,88.2
15,Adena Webster,Temple Owls,AAC,68.0,3.91,4.0,89.55,74.52,0.01,-0.02,0.03,,,,1.0,0.0,0.25,0.0,,,,87.7
16,Adriana Blazquez,Murray State Racers,MVC,72.0,3.05,18.0,101.87,76.83,0.01,-0.02,0.02,,,,0.0,0.0,0.0,0.0,,,,95.2
17,Adryana Quezada,San Diego State Aztecs,MWC,70.0,22.52,32.0,92.38,108.38,3.21,2.18,1.03,1.18,1.04,0.14,19.0,9.0,0.59,0.28,5.3,0.773,0.83,91.6
18,Aicha Ndour,Wichita State Shockers,AAC,78.0,11.71,28.0,88.37,70.02,0.17,-0.43,0.6,-4.95,-3.26,-1.7,7.0,32.0,0.25,1.14,,,,94.1
19,Aima Ofunrein,Brown Bears,IVY,73.0,14.71,24.0,94.52,87.02,0.65,0.22,0.42,-1.72,-0.14,-1.58,16.0,6.0,0.67,0.25,3.1,0.795,0.84,96.5
20,Ajok Madol,Dayton Flyers,A10,74.0,11.82,22.0,82.43,69.74,0.21,-0.44,0.64,-0.57,-1.01,0.44,15.0,9.0,0.68,0.41,,,,89.6
21,Alana  Goodchild,Santa Clara Broncos,WCC,,,,,,,,,,,,,,,,3.7,0.816,0.83,99.3
22,Alana Andrews,Cornell Big Red,IVY,74.0,1.5,7.0,100.69,,,,0.01,,,,0.0,0.0,0.0,0.0,,,,95.4
23,Alana Goodchild,Santa Clara Broncos,WCC,74.0,16.48,29.0,102.0,102.84,1.11,0.92,0.19,-0.74,0.66,-1.39,11.0,5.0,0.38,0.17,,,,99.3
24,Alana Rouser,Florida Atlantic Owls,AAC,72.0,17.4,28.0,85.55,67.35,0.41,-0.64,1.05,-0.62,-0.36,-0.25,24.0,22.0,0.86,0.79,,,,
25,Alannah Chatfield,Fresno State Bulldogs,MWC,68.0,2.59,9.0,107.94,,,,-0.01,,,,0.0,0.0,0.0,0.0,,,,99.8
26,Alasia Smith,Memphis Tigers,AAC,70.0,30.83,30.0,95.24,101.36,2.91,1.87,1.04,3.06,3.87,-0.81,70.0,38.0,2.33,1.27,6.0,0.744,0.83,105.0
27,Alayna Rocco,Harvard Crimson,IVY,70.0,14.63,29.0,85.12,111.59,1.85,0.92,0.94,2.33,0.38,1.95,15.0,10.0,0.52,0.34,2.4,0.614,0.64,80.7
28,Albina Syla,Rhode Island Rams,A10,77.0,5.49,19.0,83.98,107.88,0.51,0.27,0.24,0.59,0.42,0.17,2.0,4.0,0.11,0.21,,,,87.7
29,Aleah Snead,Saint Joseph's Hawks,A10,71.0,20.77,33.0,88.13,117.43,3.24,1.95,1.28,0.51,0.31,0.2,24.0,9.0,0.73,0.27,4.9,0.778,0.8,88.0
30,Aleah Sorrentino,Massachusetts Minutewomen,A10,75.0,9.29,24.0,89.8,93.09,0.63,0.25,0.38,-3.26,-0.89,-2.37,3.0,1.0,0.12,0.04,,,,86.5
31,Alex Covill,Washington State Cougars,WCC,78.0,18.21,26.0,91.9,108.42,2.08,1.39,0.7,-1.93,-0.36,-1.57,9.0,57.0,0.35,2.19,4.8,0.923,0.98,95.3
32,Alexa Kinas,Loyola (Chicago) Ramblers,A10,68.0,15.79,27.0,94.44,89.46,0.77,0.25,0.51,-4.97,-3.52,-1.45,28.0,2.0,1.04,0.07,,,,97.2
33,Alexandra Eldredge,Dartmouth Big Green,IVY,71.0,27.75,22.0,100.36,79.93,0.22,-0.13,0.35,-4.2,-3.01,-1.19,29.0,3.0,1.32,0.14,5.5,0.817,0.86,99.7
34,Alexandra Wilkinson,Temple Owls,AAC,74.0,1.82,2.0,100.65,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,87.7
35,Alexis Andrews,Charlotte 49ers,AAC,68.0,22.12,32.0,102.04,94.9,1.33,1.05,0.28,0.21,-0.05,0.26,26.0,0.0,0.81,0.0,5.1,0.659,0.63,97.7
36,Alexis Black,Virginia Commonwealth Rams,A10,69.0,9.5,2.0,97.68,58.39,-0.03,-0.05,0.02,,,,0.0,0.0,0.0,0.0,,,,88.2
37,Alexis Cortez,Air Force Falcons,MWC,71.0,27.94,26.0,96.25,82.33,0.74,0.0,0.74,-1.49,-1.52,0.04,35.0,3.0,1.35,0.12,5.4,0.633,0.77,93.9
38,Alexis Mark,Portland Pilots,WCC,72.0,30.46,35.0,86.04,105.46,5.12,2.88,2.24,4.4,2.46,1.94,67.0,22.0,1.91,0.63,4.9,0.803,0.85,90.5
39,Alexis Parker,Texas-(San Antonio) Roadrunners,AAC,69.0,7.94,22.0,86.78,63.82,0.11,-0.24,0.35,-0.55,-1.53,0.98,6.0,1.0,0.27,0.05,,,,84.4
40,Ali'a Matavao,Loyola Marymount Lions,WCC,72.0,17.81,6.0,98.48,88.71,0.17,0.09,0.08,-1.09,0.03,-1.12,1.0,1.0,0.17,0.17,3.6,0.862,0.91,99.5
41,Alice Curman,Southern Illinois Salukis,MVC,69.0,23.54,26.0,110.68,74.32,-0.77,-0.46,-0.31,-3.83,-2.29,-1.54,23.0,3.0,0.88,0.12,5.1,1.051,1.11,109.7
42,Alice Dart,Washington State Cougars,WCC,70.0,4.67,21.0,100.75,86.77,0.1,0.05,0.05,-0.7,-0.73,0.03,1.0,2.0,0.05,0.1,2.3,0.755,0.79,95.3
43,Alicia Newell,Richmond Spiders,A10,69.0,7.63,19.0,79.68,83.5,0.43,0.03,0.4,-0.73,-1.18,0.44,12.0,0.0,0.63,0.0,,,,88.4
44,Alisa Blalock,La Salle Explorers,A10,66.0,7.14,19.0,100.9,72.03,-0.12,-0.19,0.07,-2.9,-1.16,-1.73,5.0,0.0,0.26,0.0,,,,97.1
45,Allie Hueckman,Boise State Broncos,MWC,70.0,4.86,13.0,99.75,104.45,0.17,0.13,0.04,-0.2,-0.38,0.18,2.0,0.0,0.15,0.0,,,,97.1
46,Allie Palmieri,Massachusetts Minutewomen,A10,70.0,32.87,32.0,87.78,89.78,2.95,0.93,2.02,0.47,0.71,-0.24,45.0,7.0,1.41,0.22,,,,86.5
47,Allie Turner,Gonzaga Bulldogs,WCC,68.0,32.69,35.0,99.04,113.22,4.58,3.76,0.82,4.37,3.3,1.07,24.0,19.0,0.69,0.54,7.3,0.792,0.82,95.9
48,Allies Palmieri,Massachusetts Minutewomen,A10,,,,,,,,,,,,,,,,6.5,0.696,0.78,86.5
49,Allison Clarke,Loyola Marymount Lions,WCC,71.0,25.37,28.0,105.43,105.02,0.88,0.85,0.03,-1.01,-0.54,-0.47,13.0,5.0,0.46,0.18,4.4,0.857,0.96,99.5
50,Ally Schimel,Oregon State Beavers,WCC,70.0,19.64,34.0,96.55,94.83,1.13,0.47,0.66,2.48,1.8,0.68,22.0,7.0,0.65,0.21,4.6,0.719,0.75,93.7
