Player,Poss,PPP,PPS,Team,conf
Timaya Lewis-Eutsey,7.9,0.444,0.57,Virginia Commonwealth Rams,A10
Yahmani McKayle,6.8,0.502,0.56,Massachusetts Minutewomen,A10
Nayo Lear,4.7,0.56,0.56,Dayton Flyers,A10
Rose  Nelson,4.5,0.574,0.63,Fordham Rams,A10
Filipa Calisto,4.9,0.588,0.65,George Washington Revolutionaries,A10
Grace Hutson,6.9,0.604,0.65,Virginia Commonwealth Rams,A10
Kamari Sims,5.5,0.613,0.67,George Washington Revolutionaries,A10
Issy Morgan,5.8,0.628,0.67,Davidson Wildcats,A10
Millie Prior,5.7,0.631,0.63,Davidson Wildcats,A10
Maggie Doogan,7.7,0.634,0.69,Richmond Spiders,A10
Laura Ziegler,8.1,0.65,0.7,Saint Joseph's Hawks,A10
Paige Mott,5.5,0.651,0.73,George Washington Revolutionaries,A10
Kyra Bruydoncx,6.5,0.653,0.65,Davidson Wildcats,A10
Arianna Smith,5.0,0.662,0.75,Dayton Flyers,A10
Gabby Reynolds,7.8,0.662,0.71,George Washington Revolutionaries,A10
Mykel Parham,6.9,0.665,0.74,Virginia Commonwealth Rams,A10
Harsimran Kaur,5.6,0.668,0.7,Rhode Island Rams,A10
Sara Lewis,7.9,0.672,0.77,George Washington Revolutionaries,A10
Kika Hodge-Carr,5.3,0.673,0.75,Loyola (Chicago) Ramblers,A10
Taya Davis,7.3,0.682,0.76,Fordham Rams,A10
Kennedy Harris,6.7,0.691,0.78,George Mason Patriots,A10
Ivy Wolf,7.5,0.692,0.76,Dayton Flyers,A10
Mary-Anna Asare,9.2,0.695,0.74,Virginia Commonwealth Rams,A10
Allies Palmieri,6.5,0.696,0.78,Massachusetts Minutewomen,A10
Zoe Shaww,8.8,0.697,0.77,St. Bonaventure Bonnies,A10
Emma Boslet,6.7,0.699,0.7,Saint Joseph's Hawks,A10
Hawa Komara,5.8,0.702,0.75,Rhode Island Rams,A10
Mackenzie Blackford,4.5,0.703,0.75,Duquesne Dukes,A10
Ally Sweeney,6.5,0.707,0.77,Richmond Spiders,A10
Addie Budnik,6.1,0.712,0.82,Richmond Spiders,A10
Tierra Simon,7.4,0.712,0.78,Saint Louis Billikens,A10
Stefanie Kulesza,6.9,0.715,0.79,Massachusetts Minutewomen,A10
Hannah Wallace,5.7,0.719,0.7,Saint Louis Billikens,A10
Mallorie Haines,4.7,0.72,0.72,Davidson Wildcats,A10
Ashleigh Connor,6.9,0.72,0.84,La Salle Explorers,A10
Rachel Ullstrom,6.8,0.723,0.8,Richmond Spiders,A10
Anaelle Dutat,8.2,0.727,0.78,Rhode Island Rams,A10
Naelle Bernard,7.1,0.728,0.82,Loyola (Chicago) Ramblers,A10
Joan Quinn,8.7,0.729,0.75,La Salle Explorers,A10
Chae Harris,5.6,0.73,0.82,Fordham Rams,A10
Emma Theodorsson,4.8,0.731,0.82,Loyola (Chicago) Ramblers,A10
Valentina Ojeda,4.5,0.732,0.8,Virginia Commonwealth Rams,A10
Zahirah Walton,6.6,0.733,0.79,George Mason Patriots,A10
Rikki Harris,6.2,0.734,0.81,Dayton Flyers,A10
Olivia Leung,4.1,0.741,0.82,Dayton Flyers,A10
Charlise Dunn,7.5,0.743,0.82,Davidson Wildcats,A10
Mackenzie Smith,7.9,0.743,0.79,Saint Joseph's Hawks,A10
Jerni Kiaku,7.2,0.745,0.81,Duquesne Dukes,A10
Gabby Robinson,4.1,0.746,0.84,St. Bonaventure Bonnies,A10
Makayla Andrews,7.2,0.751,0.78,George Washington Revolutionaries,A10
Sophie Phillips,7.2,0.754,0.81,Rhode Island Rams,A10
Rhian Stokes,4.8,0.756,0.72,Saint Joseph's Hawks,A10
Talya Brugler,7.0,0.769,0.84,Saint Joseph's Hawks,A10
Palmire Mbu,4.2,0.769,0.82,Rhode Island Rams,A10
Katie Hill,7.9,0.77,0.83,Richmond Spiders,A10
Kennedy Calhoun,9.4,0.771,0.87,Saint Louis Billikens,A10
Taylor Donaldson,6.1,0.771,0.84,Fordham Rams,A10
Megan Olbrys,6.3,0.775,0.91,Massachusetts Minutewomen,A10
Aleah Snead,4.9,0.778,0.8,Saint Joseph's Hawks,A10
Zoli Khalil,6.1,0.779,0.78,Virginia Commonwealth Rams,A10
Faith Alston,4.7,0.78,0.95,Richmond Spiders,A10
Katie Donovan,6.3,0.789,0.8,Davidson Wildcats,A10
Nicole Stephens,7.3,0.791,0.88,Dayton Flyers,A10
Shannon Wheeler,4.0,0.795,0.74,Dayton Flyers,A10
Paula Suarez,9.5,0.796,0.91,George Mason Patriots,A10
Irene Murua Txintxurreta,4.7,0.8,0.92,Fordham Rams,A10
Nalani Kaysia,5.8,0.801,0.82,George Mason Patriots,A10
Mackenzie Pettinelli,5.4,0.807,0.98,St. Bonaventure Bonnies,A10
Kira Chivers,5.8,0.807,0.96,Loyola (Chicago) Ramblers,A10
Momo LaClair,4.2,0.81,0.88,Massachusetts Minutewomen,A10
Ta'Viyanna Habib,5.7,0.814,0.91,George Mason Patriots,A10
Nekhu Mitchell,4.6,0.816,0.87,George Mason Patriots,A10
Sophia Vital,7.1,0.826,0.95,Rhode Island Rams,A10
Ayisse Magassa,4.7,0.827,0.86,La Salle Explorers,A10
Mariona Fortuny,4.9,0.831,1.02,George Washington Revolutionaries,A10
Alyssa Jimenez,5.3,0.838,1.0,Richmond Spiders,A10
Dani Haskell,8.6,0.838,0.91,St. Bonaventure Bonnies,A10
Payton Fields,4.6,0.863,0.95,St. Bonaventure Bonnies,A10
Anna Przyszlak,4.2,0.863,0.89,La Salle Explorers,A10
Gabby Hutcherson,4.6,0.869,0.94,Duquesne Dukes,A10
Ines Debroise,4.8,0.881,0.99,Rhode Island Rams,A10
Brooklyn Gray,6.4,0.894,1.02,Saint Louis Billikens,A10
Gabby Casey,5.4,0.897,0.99,Saint Joseph's Hawks,A10
Nadechka Laccen,4.5,0.9,0.88,St. Bonaventure Bonnies,A10
Megan Mcconnell,7.6,0.904,1.0,Duquesne Dukes,A10
Peyton Kennedy,5.3,0.914,0.99,Saint Louis Billikens,A10
Sitori Tanin,4.9,0.918,0.97,Loyola (Chicago) Ramblers,A10
Maxine Engel,5.9,0.939,1.03,George Washington Revolutionaries,A10
Caitlin Frost,8.3,0.945,0.99,St. Bonaventure Bonnies,A10
Jess Finney,4.3,0.946,1.08,Loyola (Chicago) Ramblers,A10
Aryss Macktoon,6.4,0.957,1.16,La Salle Explorers,A10
Isabellah Middleton,7.3,0.966,1.0,St. Bonaventure Bonnies,A10
Hannah Richardson,5.0,0.969,1.04,St. Bonaventure Bonnies,A10
Morgan Matthews,5.1,1.012,1.15,George Washington Revolutionaries,A10
