Player,Poss,PPP,PPS,Team,conf
Sydney Mains,4.0,0.25,0.27,Florida Atlantic Owls,AAC
DeeDee Hagemann,6.0,0.536,0.57,Memphis Tigers,AAC
Synia Johnson,4.1,0.551,0.61,East Carolina Pirates,AAC
Jaelyn Talley,4.7,0.558,0.63,North Texas Mean Green,AAC
Janette Aarnio,3.4,0.571,0.59,South Florida Bulls,AAC
Jade Weathersby,6.7,0.579,0.61,UAB Blazers,AAC
Mya  Perry,6.8,0.599,0.68,Florida Atlantic Owls,AAC
Sherese Pittman,8.4,0.629,0.66,Tulane Green Wave,AAC
Damara Allen,4.0,0.63,0.67,Texas-(San Antonio) Roadrunners,AAC
Salese Blow,6.8,0.636,0.63,Wichita State Shockers,AAC
Ereauna Hardaway,7.2,0.637,0.75,North Texas Mean Green,AAC
Taliyah Wyche,3.1,0.642,0.67,East Carolina Pirates,AAC
Jayla Hearp,4.7,0.644,0.65,East Carolina Pirates,AAC
Kendall Sneed,7.9,0.648,0.7,Tulane Green Wave,AAC
Jordyn Jenkins,6.6,0.65,0.77,Texas-(San Antonio) Roadrunners,AAC
Maddie Walsh,9.3,0.653,0.66,UAB Blazers,AAC
Alexis Andrews,5.1,0.659,0.63,Charlotte 49ers,AAC
Kyla Deck,8.2,0.667,0.73,North Texas Mean Green,AAC
Madison Roshelle,3.7,0.676,0.68,Charlotte 49ers,AAC
Kierra Middleton,3.8,0.676,0.91,Tulane Green Wave,AAC
Amiya Joyner,5.1,0.679,0.73,East Carolina Pirates,AAC
Rayne Tucker,4.8,0.683,0.75,UAB Blazers,AAC
Amaya Oliver,5.1,0.683,0.77,Temple Owls,AAC
Tommisha Lampkin,5.6,0.683,0.75,North Texas Mean Green,AAC
Khia Miller,4.6,0.687,0.73,East Carolina Pirates,AAC
Jade Clack,3.9,0.692,0.67,Tulsa Golden Hurricane,AAC
Raven Sims,3.0,0.694,0.65,Memphis Tigers,AAC
Tristen Taylor,6.4,0.698,0.78,Temple Owls,AAC
Elise Hill,7.4,0.699,0.77,Tulsa Golden Hurricane,AAC
Aysia Proctor,3.4,0.701,0.73,Texas-(San Antonio) Roadrunners,AAC
Mama Dembele,8.6,0.704,0.81,South Florida Bulls,AAC
Maria Myklebust,3.1,0.705,0.78,Florida Atlantic Owls,AAC
Aniyah Johnson,6.2,0.709,0.76,North Texas Mean Green,AAC
Molly Moffitt,5.1,0.713,0.74,UAB Blazers,AAC
Devin Hagemann,4.7,0.718,0.82,East Carolina Pirates,AAC
Emily Klaczek,4.3,0.721,0.75,Rice Owls,AAC
Sadie Shores,6.7,0.721,0.75,Tulane Green Wave,AAC
Hayleigh Breland,5.2,0.723,0.74,Charlotte 49ers,AAC
Paige Bradley,4.4,0.724,0.71,Tulsa Golden Hurricane,AAC
Jayla Murray,4.8,0.732,0.78,Wichita State Shockers,AAC
Idara Udo,5.1,0.734,0.89,Texas-(San Antonio) Roadrunners,AAC
Bre'Yon White,5.1,0.735,0.73,Wichita State Shockers,AAC
Nina De Leon Negron,8.7,0.74,0.77,Texas-(San Antonio) Roadrunners,AAC
Vittoria Blasigh,6.1,0.742,0.85,South Florida Bulls,AAC
Dyllan Hanna,3.6,0.742,0.78,Tulane Green Wave,AAC
Anissa Rivera,5.8,0.743,0.83,Temple Owls,AAC
Alasia Smith,6.0,0.744,0.83,Memphis Tigers,AAC
Carla Brito,7.3,0.745,0.84,South Florida Bulls,AAC
Kay Kay Green,5.6,0.746,0.72,Charlotte 49ers,AAC
Victoria Keenan,7.7,0.746,0.84,Tulane Green Wave,AAC
Keanna Rembert,5.3,0.747,0.86,Charlotte 49ers,AAC
Sussy Ngulefac,4.8,0.748,0.8,Rice Owls,AAC
Malia Fisher,6.9,0.751,0.81,Rice Owls,AAC
Aniah Alexis,4.7,0.753,0.79,Rice Owls,AAC
Jordan Peete,4.6,0.754,0.83,Charlotte 49ers,AAC
Jazzy Owens-Barnett,5.4,0.754,0.89,Rice Owls,AAC
Victoria Flores,8.4,0.754,0.78,Rice Owls,AAC
Jaleesa Molina,5.0,0.756,0.8,Temple Owls,AAC
Mady Cartwright,4.8,0.758,0.78,Tulsa Golden Hurricane,AAC
Tatyana Wyche,3.3,0.761,0.86,East Carolina Pirates,AAC
KP Parr,5.3,0.765,0.84,Wichita State Shockers,AAC
Sidney Love,7.2,0.767,0.83,Texas-(San Antonio) Roadrunners,AAC
Kristol Ayson,6.8,0.769,0.84,Tulsa Golden Hurricane,AAC
Sammie Puisis,7.6,0.772,0.83,South Florida Bulls,AAC
Tiarra East,7.6,0.776,0.87,Temple Owls,AAC
Ines Piper,3.3,0.779,0.94,South Florida Bulls,AAC
Kaylah Turner,5.5,0.78,0.89,Temple Owls,AAC
Tarriyonna Gary,7.2,0.781,0.87,Temple Owls,AAC
Nyayongah Gony,3.1,0.784,0.96,Texas-(San Antonio) Roadrunners,AAC
Princess Anderson,3.5,0.789,0.87,Wichita State Shockers,AAC
Quinzia Fulmore,5.4,0.789,0.81,Memphis Tigers,AAC
Tilly Boler,7.8,0.795,0.82,Memphis Tigers,AAC
Kyren Whittington,4.8,0.8,0.86,Tulane Green Wave,AAC
Shelby Hayes,3.0,0.8,0.86,Rice Owls,AAC
Maya Linton,6.3,0.804,0.86,Texas-(San Antonio) Roadrunners,AAC
L'or Mputu,4.4,0.805,0.91,South Florida Bulls,AAC
Journey Armstead,7.3,0.807,0.89,UAB Blazers,AAC
Tanyuel Welch,8.5,0.812,0.88,Memphis Tigers,AAC
Romi Levy,5.5,0.813,0.83,South Florida Bulls,AAC
Delanie Crawford,6.9,0.82,0.97,Tulsa Golden Hurricane,AAC
Sara Bershers,8.6,0.822,0.86,UAB Blazers,AAC
Dominique Ennis,8.3,0.824,0.89,Rice Owls,AAC
Desiree Wooten,8.1,0.83,0.89,North Texas Mean Green,AAC
Hailey Adams,6.5,0.832,0.81,Rice Owls,AAC
Ta'Ziah Jenks,4.5,0.832,0.9,Florida Atlantic Owls,AAC
Stefanie Ingram,9.3,0.836,0.94,Florida Atlantic Owls,AAC
Jaaucklyn Moore,5.9,0.837,0.89,North Texas Mean Green,AAC
Ornella Niankan,5.2,0.84,0.86,Wichita State Shockers,AAC
Imani Smith,3.7,0.84,0.95,Charlotte 49ers,AAC
