Player,Poss,PPP,PPS,Team,conf
Marta Jaama,2.0,0.0,0.0,Columbia Lions,IVY
Toby Nweke,3.5,0.454,0.45,Princeton Tigers,IVY
Mackenzie Leahy,2.5,0.508,0.5,Brown Bears,IVY
Lizzy Groetsch,2.4,0.565,0.5,Pennsylvania Quakers,IVY
Grace Arnolie,7.7,0.604,0.64,Brown Bears,IVY
Alayna Rocco,2.4,0.614,0.64,Harvard Crimson,IVY
Tina Njike,2.0,0.619,0.69,Pennsylvania Quakers,IVY
Tabitha Amanze,2.8,0.62,0.73,Princeton Tigers,IVY
Harmoni Turner,6.9,0.622,0.66,Harvard Crimson,IVY
Ana Guillen,4.0,0.625,0.61,Yale Bulldogs,IVY
Skye Belker,7.0,0.633,0.72,Princeton Tigers,IVY
Madison St. Rose,6.3,0.64,0.8,Princeton Tigers,IVY
Doreen Ariik,2.7,0.667,0.69,Dartmouth Big Green,IVY
Karlee White,4.7,0.672,0.69,Harvard Crimson,IVY
Clare Meyer,5.3,0.674,0.7,Dartmouth Big Green,IVY
Victoria Page,7.6,0.68,0.81,Dartmouth Big Green,IVY
Marija Avlijas,6.5,0.682,0.74,Columbia Lions,IVY
Saniyah Glenn-Bello,5.0,0.684,0.67,Harvard Crimson,IVY
Perri Page,4.7,0.694,0.83,Columbia Lions,IVY
Gianna Aiello,7.9,0.697,0.73,Brown Bears,IVY
Alyssa Moreland,4.2,0.704,0.74,Brown Bears,IVY
Katie Krupa,3.5,0.705,0.74,Harvard Crimson,IVY
Cecelia Collins,5.0,0.707,0.8,Columbia Lions,IVY
Kelsey Langston,6.7,0.707,0.79,Cornell Big Red,IVY
Katie Collins,9.7,0.708,0.76,Pennsylvania Quakers,IVY
Mia Broom,4.3,0.727,0.87,Columbia Lions,IVY
Grace Thybulle,3.7,0.728,0.78,Yale Bulldogs,IVY
Azareya Kilgoe,6.1,0.729,0.85,Cornell Big Red,IVY
Olivia Hutcherson,8.0,0.744,0.79,Princeton Tigers,IVY
Lydia Chatira,4.9,0.746,0.78,Harvard Crimson,IVY
Nasi Simmons,3.4,0.753,0.81,Columbia Lions,IVY
Abigail Wright,2.4,0.757,0.73,Harvard Crimson,IVY
Isabella Mauricio,7.3,0.761,0.87,Brown Bears,IVY
Summer ParkerHall,6.2,0.764,0.79,Cornell Big Red,IVY
Kitty Henderson,7.1,0.765,0.86,Columbia Lions,IVY
Zeynep Ozel,5.0,0.767,0.93,Dartmouth Big Green,IVY
Olivia Young,6.9,0.768,0.81,Brown Bears,IVY
Mataya  Gayle,7.5,0.775,0.79,Pennsylvania Quakers,IVY
Elena Rodriguez,4.5,0.786,0.81,Harvard Crimson,IVY
Gabby Anderson,4.1,0.788,0.87,Harvard Crimson,IVY
Gia Powell,5.4,0.789,0.79,Brown Bears,IVY
Clarke Jackson,6.8,0.792,0.89,Cornell Big Red,IVY
Saniah Caldwell,5.4,0.795,0.86,Pennsylvania Quakers,IVY
Aima Ofunrein,3.1,0.795,0.84,Brown Bears,IVY
Nina Minicozzi,4.8,0.798,0.86,Dartmouth Big Green,IVY
Cristina Parrella,4.2,0.802,0.83,Princeton Tigers,IVY
Tahira Muhammad,2.9,0.803,0.9,Dartmouth Big Green,IVY
Paige Engels,6.0,0.814,0.84,Cornell Big Red,IVY
Fadima Tall,5.6,0.816,0.92,Princeton Tigers,IVY
Alexandra Eldredge,5.5,0.817,0.86,Dartmouth Big Green,IVY
Riley Weiss,5.3,0.817,0.9,Columbia Lions,IVY
Stina Almqvist,9.6,0.822,0.85,Pennsylvania Quakers,IVY
Olivia Austin,5.1,0.825,0.88,Dartmouth Big Green,IVY
Simone Sawyer,5.2,0.836,0.88,Pennsylvania Quakers,IVY
Magdalena Schmidt,2.1,0.848,0.88,Yale Bulldogs,IVY
Beth Nelson,5.6,0.848,0.9,Brown Bears,IVY
Vivienne Knee,2.8,0.859,0.9,Cornell Big Red,IVY
Cate MacDonald,4.8,0.86,0.86,Dartmouth Big Green,IVY
Mady Calhoun,2.4,0.863,1.0,Brown Bears,IVY
Marisa Chapman,6.7,0.869,0.88,Yale Bulldogs,IVY
Avery Lee,6.0,0.871,0.95,Yale Bulldogs,IVY
Susannah Rafiu,5.8,0.877,0.94,Columbia Lions,IVY
Parker Hill,6.1,0.892,0.92,Princeton Tigers,IVY
Ciniya Moore,5.0,0.901,0.94,Yale Bulldogs,IVY
Kiley Capstraw,5.2,0.907,0.93,Yale Bulldogs,IVY
Ke’iara Odume,4.2,0.908,0.96,Yale Bulldogs,IVY
Ashley Chea,6.2,0.911,0.94,Princeton Tigers,IVY
Sarah Miller,2.4,0.926,1.02,Pennsylvania Quakers,IVY
Mackenzie Egger,8.5,0.937,1.04,Yale Bulldogs,IVY
Emily Pape,5.8,0.949,0.97,Cornell Big Red,IVY
Maria Arrebola,2.4,0.985,1.08,Columbia Lions,IVY
Rachel Kaus,5.5,0.993,1.05,Cornell Big Red,IVY
Christen Mccann,2.0,1.0,1.33,Yale Bulldogs,IVY
Amelia Osgood,2.8,1.051,1.19,Princeton Tigers,IVY
Sierra Carson,2.0,1.089,1.24,Dartmouth Big Green,IVY
