Player,Poss,PPP,PPS,Team,conf
Jeniah Thompson,5.3,0.548,0.54,Southern Illinois Salukis,MVC
Kyrah Daniels,7.9,0.596,0.61,Missouri State Lady Bears,MVC
Maya Wong,7.5,0.609,0.64,Illinois State Redbirds,MVC
Katelyn Young,6.9,0.624,0.69,Murray State Racers,MVC
Soleil Barnes,6.3,0.645,0.69,Bradley Braves,MVC
Doneelah Washington,4.8,0.66,0.67,Illinois State Redbirds,MVC
Raeven Raye-Redmong,4.7,0.673,0.76,Valparaiso University,MVC
Tuti Jones,7.6,0.689,0.83,Belmont Bruins,MVC
Jacee Busick,3.1,0.693,0.75,Belmont Bruins,MVC
Arin Freeman,5.1,0.704,0.74,Illinois-Chicago Flames,MVC
Claire McDougall,5.9,0.705,0.76,Bradley Braves,MVC
Jailyn Banks,7.5,0.707,0.76,Belmont Bruins,MVC
Elise Jaeger,6.2,0.71,0.84,Northern Iowa Panthers,MVC
Ellie McDermid,6.3,0.71,0.75,Bradley Braves,MVC
Anna Miller,8.6,0.712,0.75,Drake Bulldogs,MVC
Amy O'Hara,6.2,0.724,0.77,Bradley Braves,MVC
Lainie Douglas,3.3,0.726,0.77,Missouri State Lady Bears,MVC
Leah Earnest,7.2,0.73,0.83,Valparaiso University,MVC
Avery Kelley,3.7,0.736,0.74,Evansville Aces,MVC
Kristian Young,4.5,0.74,0.75,Illinois-Chicago Flames,MVC
Lacy Stokes,9.3,0.74,0.82,Missouri State Lady Bears,MVC
Destiny Thomas,4.1,0.743,0.79,Murray State Racers,MVC
Camryn Runner,8.3,0.744,0.86,Evansville Aces,MVC
Addison Martin,8.0,0.749,0.83,Illinois State Redbirds,MVC
Sandra Frau-Garcia,5.5,0.758,0.84,Illinois-Chicago Flames,MVC
Paige Rocca,7.3,0.763,0.8,Missouri State Lady Bears,MVC
Shateah Wetering,5.0,0.768,0.86,Northern Iowa Panthers,MVC
Kendal Cheesman,6.5,0.768,0.83,Belmont Bruins,MVC
Saige Stahl,5.1,0.773,0.84,Indiana State Sycamores,MVC
Keslyn Secrist,7.2,0.785,0.87,Indiana State Sycamores,MVC
Haven Ford,7.9,0.785,0.87,Murray State Racers,MVC
Maggie Hartwig,9.0,0.786,0.85,Evansville Aces,MVC
Jaolia Palomo,6.5,0.789,0.85,Evansville Aces,MVC
Layla Gold,6.0,0.791,0.91,Valparaiso University,MVC
Sanaa Tripp,3.3,0.792,0.97,Belmont Bruins,MVC
Taryn Wharton,5.3,0.794,0.89,Northern Iowa Panthers,MVC
Kaemyn Bekemeier,6.8,0.798,0.83,Missouri State Lady Bears,MVC
Emily La Chapell,7.8,0.8,0.86,Belmont Bruins,MVC
Gift Uchenna,6.4,0.803,0.84,Southern Illinois Salukis,MVC
Krystyna Ellew,4.2,0.813,0.87,Illinois-Chicago Flames,MVC
Danyel Middleton,6.1,0.814,0.86,Illinois-Chicago Flames,MVC
Naveah Jackson,7.1,0.815,0.94,Valparaiso University,MVC
Bella Finnegan,6.0,0.819,0.91,Indiana State Sycamores,MVC
Chloe Williams,8.3,0.82,0.9,Indiana State Sycamores,MVC
Ryley Goebel,7.1,0.822,0.88,Northern Iowa Panthers,MVC
Mia Simpson,6.6,0.822,0.88,Indiana State Sycamores,MVC
Grace Knutson,3.0,0.825,0.98,Drake Bulldogs,MVC
Kaylen Nelson,4.7,0.826,0.87,Bradley Braves,MVC
Se'Quola Allmond,4.6,0.826,0.94,Southern Illinois Salukis,MVC
Queen Ruffin,3.5,0.827,0.93,Indiana State Sycamores,MVC
Katie Beyer,4.2,0.828,0.95,Valparaiso University,MVC
Halli Poock,5.7,0.831,0.91,Murray State Racers,MVC
Maya Mcdermott,6.6,0.834,0.92,Northern Iowa Panthers,MVC
Kendall Holmes,5.8,0.838,0.88,Belmont Bruins,MVC
Katie Dinnebier,9.3,0.839,0.93,Drake Bulldogs,MVC
Sarah Linthacum,6.6,0.844,0.95,Missouri State Lady Bears,MVC
Keimari Rimmer,5.5,0.847,0.94,Illinois-Chicago Flames,MVC
Savannah White,5.9,0.854,0.91,Indiana State Sycamores,MVC
Maci Rhoades,6.5,0.857,0.94,Valparaiso University,MVC
Sara Zabrecky,4.0,0.857,0.85,Illinois-Chicago Flames,MVC
Trista Fayta,3.9,0.858,0.86,Illinois State Redbirds,MVC
Emerson Green,6.3,0.859,0.87,Northern Iowa Panthers,MVC
Kayba Laube,7.9,0.862,0.95,Northern Iowa Panthers,MVC
Carmyn Harrison,5.1,0.864,0.87,Belmont Bruins,MVC
Nevaeh Thomas,6.9,0.867,1.0,Illinois State Redbirds,MVC
Deja Jones,8.2,0.874,0.92,Indiana State Sycamores,MVC
Tamesha Dozier,3.9,0.886,0.95,Evansville Aces,MVC
Abbie Aalsma,6.6,0.889,0.93,Drake Bulldogs,MVC
Kiley Bess,5.4,0.895,1.04,Missouri State Lady Bears,MVC
Kaiden Kreinhagen,4.5,0.896,0.91,Evansville Aces,MVC
Shannon Fornshell,4.3,0.897,0.85,Drake Bulldogs,MVC
Makiyah Williams,4.2,0.897,0.95,Illinois-Chicago Flames,MVC
Mor Shabtai,4.9,0.899,1.02,Valparaiso University,MVC
Tamia Perryman,5.4,0.899,0.96,Bradley Braves,MVC
Fiona Connolly,4.5,0.901,0.91,Valparaiso University,MVC
