Player,Poss,PPP,PPS,Team,conf
Taija Sta. Maria,6.0,0.533,0.64,Fresno State Bulldogs,MWC
Macy Spencer,2.6,0.571,0.56,UNLV Rebels,MWC
Joseana Vaz,2.3,0.623,0.7,Colorado State Rams,MWC
Elodie Lalotte,2.6,0.628,0.65,Boise State Broncos,MWC
Danae Powell,5.3,0.631,0.69,Fresno State Bulldogs,MWC
Alexis Cortez,5.4,0.633,0.77,Air Force Falcons,MWC
Jazlen Green,3.7,0.636,0.61,San Diego State Aztecs,MWC
Sofia Kelemeni,4.7,0.662,0.59,San Jose State Spartans,MWC
Allyson Fertig,8.1,0.667,0.7,Wyoming Cowgirls,MWC
Hennie Van Schaik,4.5,0.67,0.69,San Jose State Spartans,MWC
Dani Bayes,5.1,0.675,0.66,Boise State Broncos,MWC
Sophie Sene,2.4,0.688,0.76,Utah State Aggies,MWC
Erin  Houpt,3.4,0.693,0.86,San Diego State Aztecs,MWC
Emily Mellema,8.7,0.693,0.76,Wyoming Cowgirls,MWC
Cali Clark,4.8,0.695,0.74,San Diego State Aztecs,MWC
Hannah Ronsiek,10.2,0.706,0.71,Colorado State Rams,MWC
Kaylee Headrick,2.1,0.709,0.76,Colorado State Rams,MWC
Jo Huntimer,6.9,0.715,0.78,Air Force Falcons,MWC
Jasmine Singleton,5.6,0.718,0.73,San Jose State Spartans,MWC
McKinley Dickerson,3.6,0.72,0.73,Wyoming Cowgirls,MWC
Libby Hutton,2.6,0.722,0.73,Boise State Broncos,MWC
Nayli Padilla,3.2,0.728,0.8,New Mexico Lobos,MWC
Meadow Roland,5.5,0.735,0.78,UNLV Rebels,MWC
Jadyn Fife,3.9,0.736,0.79,Colorado State Rams,MWC
Paris  Lauro,2.4,0.74,0.75,New Mexico Lobos,MWC
Kim Villalobos,5.9,0.752,0.86,San Diego State Aztecs,MWC
Rylei Waugh,7.7,0.755,0.8,San Jose State Spartans,MWC
Ola Ustowska,6.2,0.759,0.79,Wyoming Cowgirls,MWC
Imbie Jones,5.1,0.763,0.75,Nevada Wolf Pack,MWC
Aaliyah Alexander,6.0,0.765,0.85,UNLV Rebels,MWC
Mya Hansen,5.7,0.768,0.83,Boise State Broncos,MWC
Veronica Sheffey,7.8,0.768,0.78,San Diego State Aztecs,MWC
Milahnie Perry,6.8,0.772,0.88,Air Force Falcons,MWC
Adryana Quezada,5.3,0.773,0.83,San Diego State Aztecs,MWC
Natalia Martinez,5.7,0.774,0.81,San Diego State Aztecs,MWC
Amhyia Moreland,5.1,0.774,0.74,New Mexico Lobos,MWC
Malene Pedersen,5.5,0.777,0.82,Wyoming Cowgirls,MWC
Mary-Kay Naro,7.1,0.78,0.8,Boise State Broncos,MWC
Kaelyn Hamilton,4.1,0.78,0.84,San Diego State Aztecs,MWC
Dymonique Maxie,8.5,0.78,0.89,Nevada Wolf Pack,MWC
Lexie Givens,5.8,0.783,0.84,Nevada Wolf Pack,MWC
Marta Leimane,8.3,0.788,0.8,Colorado State Rams,MWC
Mariah Elohim,5.7,0.789,0.88,Fresno State Bulldogs,MWC
Hulda Joaquim,7.8,0.79,0.87,New Mexico Lobos,MWC
Elise Livingston,4.8,0.791,0.85,Utah State Aggies,MWC
Brooke Carlson,6.3,0.791,0.87,Colorado State Rams,MWC
Tatum Thompson,6.4,0.794,0.85,Boise State Broncos,MWC
Viane Cumber,7.0,0.795,0.83,New Mexico Lobos,MWC
Kylee Fox,7.1,0.797,0.79,Fresno State Bulldogs,MWC
Djessira Diawara,4.6,0.797,0.82,San Jose State Spartans,MWC
Marissa Hargrave,2.4,0.806,0.92,Air Force Falcons,MWC
Macie James,3.4,0.809,0.85,UNLV Rebels,MWC
Finau Tonga,3.1,0.81,0.85,San Jose State Spartans,MWC
McKinna  Brackens,6.8,0.81,0.91,UNLV Rebels,MWC
Abby Muse,4.5,0.811,0.8,Boise State Broncos,MWC
Sanna Strom,5.3,0.812,0.96,Colorado State Rams,MWC
Emma Ronsiek,8.3,0.812,0.92,Colorado State Rams,MWC
Reza Po,3.5,0.817,1.0,New Mexico Lobos,MWC
Madi Symons,2.3,0.818,0.81,Wyoming Cowgirls,MWC
Alyssa Hargrove,7.8,0.82,0.9,New Mexico Lobos,MWC
Alyssa Brown,7.4,0.822,0.91,UNLV Rebels,MWC
Tess Barnes,6.8,0.823,0.84,Wyoming Cowgirls,MWC
