Player,Poss,PPP,PPS,Team,conf
Anna Eddy,0.8,1.417,1.5,Portland Pilots,WCC
Nadia Bernard,1.2,1.125,1.21,Saint Mary's Gaels,WCC
Jamie Kent,3.1,1.118,1.22,Pacific Tigers,WCC
Marina Hernandez,1.1,1.091,1.11,San Francisco Dons,WCC
McKynnlie Dalan,2.1,1.057,1.1,Gonzaga Bulldogs,WCC
Erica  Carr,1.4,1.056,1.0,San Diego Toreros,WCC
Bree Salenbien,5.2,1.055,1.1,Gonzaga Bulldogs,WCC
Maud Huijbens,5.0,0.973,1.02,Gonzaga Bulldogs,WCC
Kylie Horstmeyer,5.6,0.971,1.01,San Diego Toreros,WCC
Seynabou Thiam,1.8,0.97,1.03,San Francisco Dons,WCC
Christabel  Osarobo,1.7,0.933,1.0,Gonzaga Bulldogs,WCC
Zawadi Ogot,4.9,0.932,0.99,Loyola Marymount Lions,WCC
Sasha  Murphy,0.7,0.923,0.8,Saint Mary's Gaels,WCC
Luana Leite,7.9,0.914,0.99,San Francisco Dons,WCC
Zeryhia-Lee Aokuso,4.7,0.913,0.97,Saint Mary's Gaels,WCC
Carly Heidger,7.2,0.913,1.0,Loyola Marymount Lions,WCC
Edie Clarke,2.9,0.899,1.01,Saint Mary's Gaels,WCC
Kennedy  Johnson,5.4,0.896,0.91,Saint Mary's Gaels,WCC
Maia Jones,6.2,0.891,0.94,Saint Mary's Gaels,WCC
Emily Foy,4.8,0.883,0.91,Saint Mary's Gaels,WCC
Amelie Sitterud,2.9,0.881,0.9,Loyola Marymount Lions,WCC
Elizabeth Elliott,6.3,0.878,0.95,Pacific Tigers,WCC
Dresha Moore,3.2,0.876,0.83,San Diego Toreros,WCC
Lauren McCall,6.2,0.874,0.94,San Diego Toreros,WCC
Truitt Reilly,7.1,0.868,0.88,San Diego Toreros,WCC
Ava Toone,0.9,0.867,0.9,Loyola Marymount Lions,WCC
Mari Somvichian,2.2,0.864,0.85,Loyola Marymount Lions,WCC
Ali'a Matavao,3.6,0.862,0.91,Loyola Marymount Lions,WCC
Courtney Wristen,5.1,0.859,0.98,San Diego Toreros,WCC
Melesungu  Afeaki,3.1,0.857,0.96,Saint Mary's Gaels,WCC
Allison Clarke,4.4,0.857,0.96,Loyola Marymount Lions,WCC
Anaya James,6.6,0.854,0.98,Pacific Tigers,WCC
Stella Szabo,1.9,0.854,0.84,Pacific Tigers,WCC
Addi Melone,4.3,0.846,1.0,Pepperdine Waves,WCC
Claire Gallagher,1.6,0.844,0.83,San Diego Toreros,WCC
Chloe Sotell,5.6,0.844,0.86,Pepperdine Waves,WCC
Ava Ranson,6.3,0.84,0.82,San Diego Toreros,WCC
Lainey Spear,2.8,0.832,0.89,Portland Pilots,WCC
Emerita Mashaire,5.4,0.829,0.89,Pepperdine Waves,WCC
Hannah Rapp,6.8,0.825,0.86,Santa Clara Broncos,WCC
Brandi Williams,8.6,0.823,0.93,Loyola Marymount Lions,WCC
Yvonne Ejim,5.4,0.82,0.84,Gonzaga Bulldogs,WCC
Abigail Shoff,4.8,0.816,0.92,Saint Mary's Gaels,WCC
Alana  Goodchild,3.7,0.816,0.83,Santa Clara Broncos,WCC
Sydney Ward,6.6,0.814,0.92,Pacific Tigers,WCC
Paris  Santacaterina,4.0,0.813,0.71,San Diego Toreros,WCC
Naudia Evans,9.8,0.809,0.92,Loyola Marymount Lions,WCC
Helena Friend,2.6,0.806,0.92,Pepperdine Waves,WCC
Alexis Mark,4.9,0.803,0.85,Portland Pilots,WCC
Megan Harkey,4.9,0.803,0.83,Pepperdine Waves,WCC
Claire O'Connor,6.4,0.802,0.85,Gonzaga Bulldogs,WCC
Ella Brubaker,3.8,0.8,0.87,Pepperdine Waves,WCC
Emma Trawally Porta,7.1,0.799,0.86,San Francisco Dons,WCC
Dyani Ananiev,3.9,0.795,0.9,Portland Pilots,WCC
Allie Turner,7.3,0.792,0.82,Gonzaga Bulldogs,WCC
Freja Werth,10.1,0.792,0.87,San Francisco Dons,WCC
Ornela Muca,4.1,0.79,0.85,Pepperdine Waves,WCC
Georgia Grigoropoulou,4.0,0.782,0.79,Santa Clara Broncos,WCC
Madison Naro,6.1,0.781,0.83,Santa Clara Broncos,WCC
Tayla Dalton,7.8,0.78,0.85,Gonzaga Bulldogs,WCC
Aya Keita,3.4,0.778,0.85,San Francisco Dons,WCC
Jayden Rhodes,1.8,0.774,0.79,San Diego Toreros,WCC
Malia Latu,6.7,0.773,0.77,Santa Clara Broncos,WCC
Lilly Amor,1.3,0.773,0.82,San Diego Toreros,WCC
Elle Papahronis,3.8,0.765,0.78,San Francisco Dons,WCC
Madison  Watts,2.6,0.762,0.84,Loyola Marymount Lions,WCC
Maya Hernandez,7.8,0.761,0.83,Loyola Marymount Lions,WCC
Emme Shearer,5.6,0.755,0.73,Portland Pilots,WCC
Irena Korolenko,2.4,0.75,0.77,Santa Clara Broncos,WCC
Liz Smith,8.0,0.75,0.86,Pacific Tigers,WCC
Angeliki Ziaka,6.5,0.745,0.83,San Francisco Dons,WCC
Trista Hull,4.2,0.742,0.79,Portland Pilots,WCC
Mia Vuksic,2.8,0.729,0.79,San Francisco Dons,WCC
Amy  Kurkowski,3.7,0.729,0.82,Saint Mary's Gaels,WCC
Olivia Pollerd,9.7,0.729,0.72,Santa Clara Broncos,WCC
Emma Strelein,0.6,0.727,0.6,Portland Pilots,WCC
Rhyan Mogel,3.9,0.721,0.73,Portland Pilots,WCC
Malia Mastora,8.2,0.721,0.72,Pepperdine Waves,WCC
Ella  Zimmerman,0.6,0.714,0.67,Portland Pilots,WCC
Hallie Rhodes,7.1,0.71,0.71,San Diego Toreros,WCC
Mckelle Meek,4.8,0.707,0.81,Portland Pilots,WCC
Jada Hunter,4.2,0.704,0.68,Saint Mary's Gaels,WCC
Lauren Glazier,3.9,0.701,0.73,Pacific Tigers,WCC
Inês Bettencourt,4.8,0.698,0.76,Gonzaga Bulldogs,WCC
Esther Little,7.9,0.691,0.7,Gonzaga Bulldogs,WCC
Nyah Lowery,5.3,0.685,0.69,Pacific Tigers,WCC
Mia  Curtis,4.3,0.684,0.64,Santa Clara Broncos,WCC
Makena Mastora,7.4,0.683,0.76,Pepperdine Waves,WCC
Marina Radocaj,5.8,0.675,0.64,Pacific Tigers,WCC
