"_id","rowId","updated","competitionId","gameId","stint","flowStint","teamId","teamMarket","conferenceId","divisionId","isExhib","inDivision","isQualified","lineupId","periodNumber","gameFlowPeriod","sStart","sEnd","cStart","cEnd","secs","scoreStart","scoreStartFixed","scoreEnd","scoreStartAgst","scoreStartAgstFixed","scoreEndAgst","ptsScored","ptsAgst","netPts","fgm","fga","fgm2","fga2","fgm3","fga3","ftm","fta","ast","stl","tov","drb","orb","fgmAgst","fgaAgst","fgm2Agst","fga2Agst","fgm3Agst","fga3Agst","ftaAgst","astAgst","tovAgst","stlAgst","drbAgst","orbAgst","cDiff","reb","rebAgst","fg2Pct","fg3Pct","ftPct","oPoss","dPoss","avgPoss","oppp","dppp","netppp","pId1","pName1","pId2","pName2","pId3","pName3","pId4","pName4","pId5","pName5","transferKeyPctile","netpppPctile","opppPctile","dpppPctile"
"69524a6227b7ea9ac110cc0d","2695943-105097-1","2025-12-21T01:32:24Z","41098","2695943","3","1","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2118064","1","1","0","229","10:00","06:11","229","0","0","4","0","0","5","4","5","-1","2","6","2","6","0","0","0","0","1","0","1","2","2","2","4","1","3","1","1","0","2","1","0","2","0","03:49","4","2","0.3333","","","4.86","5","4.93","0.823","1","-0.177","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez","0","0.4","0.45","0.46"
"69524a6227b7ea9ac110c8ef","2695943-105097-2","2025-12-21T01:32:24Z","41098","2695943","4","2","105097","LMU (CA)","30","1","false","true","true","2270840-2291259-2291264-2481512-1696172","1","1","229","312","06:11","04:48","83","4","4","9","5","5","7","5","2","3","1","2","1","1","0","1","3","3","1","1","0","0","0","0","0","0","0","0","0","2","0","2","0","1","0","01:23","0","1","1","0","1","3.2","2.8","3","1.5625","0.7143","0.8482","2270840","Ivana Krajina","2291259","Allison Clarke","2291264","Zawadi Ogot","2481512","Kayla Jones","1696172","Paula Reus Piza","0","0.83","0.85","0.59"
"69524a6127b7ea9ac110c0ac","2695943-105097-3","2025-12-21T01:32:24Z","41098","2695943","5","3","105097","LMU (CA)","30","1","false","true","false","1925105-2291259-2291264-2118064-1696172","1","1","312","371","04:48","03:49","59","9","9","11","7","7","7","2","0","2","1","1","1","1","0","0","0","0","1","0","1","1","0","0","3","0","2","0","1","0","0","0","1","0","1","00:59","1","1","1","","","2","1.395","1.6975","1","0","1","1925105","Andjela Matic","2291259","Allison Clarke","2291264","Zawadi Ogot","2118064","Maya Hernandez","1696172","Paula Reus Piza","","","",""
"69524a6127b7ea9ac110b9eb","2695943-105097-4","2025-12-21T01:32:24Z","41098","2695943","6","4","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2118064","1","1","371","374","03:49","03:46","3","11","11","11","7","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","00:03","0","0","","","","0","0","0","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez","","","",""
"69524a6127b7ea9ac110be60","2695943-105097-5","2025-12-21T01:32:24Z","41098","2695943","8","5","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2118064","1","1","374","463","03:46","02:17","89","11","11","11","7","7","7","0","0","0","0","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","01:29","0","2","0","0","","2","1","1.5","0","0","0","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez","","","",""
"69524a6227b7ea9ac110d200","2695943-105097-6","2025-12-21T01:32:24Z","41098","2695943","9","6","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2291259-1688590-2118064","1","1","463","555.5","02:17","00:44","92.5","11","11","13","7","7","13","2","6","-4","1","3","1","3","0","0","0","0","1","0","0","1","0","2","3","2","3","0","0","3","2","0","0","2","0","01:33","1","2","0.3333","","","3","4.2","3.6","0.6667","1.4286","-0.7619","2138783","Jess Lawson","1925105","Andjela Matic","2291259","Allison Clarke","1688590","Carly Heidger","2118064","Maya Hernandez","0","0.18","0.34","0.19"
"69524a6127b7ea9ac110be61","2695943-105097-7","2025-12-21T01:32:24Z","41098","2695943","10","7","105097","LMU (CA)","30","1","false","true","false","1925105-2291259-2291264-2481512-1696172","1","1","555.5","600","00:44","00:00","44.5","13","13","13","13","13","13","0","0","0","0","1","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","1","0","00:45","2","1","","0","","1","0.8","0.9","0","0","0","1925105","Andjela Matic","2291259","Allison Clarke","2291264","Zawadi Ogot","2481512","Kayla Jones","1696172","Paula Reus Piza","","","",""
"69524a6227b7ea9ac110c7a2","2695943-105097-8","2025-12-21T01:32:24Z","41098","2695943","11","8","105097","LMU (CA)","30","1","false","true","true","1925105-2291259-2291264-2118064-1696172","2","2","600","697","10:00","08:23","97","13","13","15","13","13","15","2","2","0","1","2","1","2","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","1","2","0","1","0","01:37","0","1","0.5","","","2","3","2.5","1","0.6667","0.3333","1925105","Andjela Matic","2291259","Allison Clarke","2291264","Zawadi Ogot","2118064","Maya Hernandez","1696172","Paula Reus Piza","0","0.63","0.56","0.67"
"69524a6127b7ea9ac110c1ae","2695943-105097-9","2025-12-21T01:32:24Z","41098","2695943","12","9","105097","LMU (CA)","30","1","false","true","true","1925105-2291259-2291264-1688590-2118064","2","2","697","825","08:23","06:15","128","15","15","19","15","15","15","4","0","4","2","3","2","3","0","0","0","0","1","0","1","2","1","0","3","0","1","0","2","0","0","1","1","0","1","02:08","3","1","0.6667","","","2.93","2.93","2.93","1.3652","0","1.3652","1925105","Andjela Matic","2291259","Allison Clarke","2291264","Zawadi Ogot","1688590","Carly Heidger","2118064","Maya Hernandez","0","0.94","0.77","1"
"69524a6327b7ea9ac110d9e5","2695943-105097-10","2025-12-21T01:32:24Z","41098","2695943","13","10","105097","LMU (CA)","30","1","false","true","false","2138783-2291259-2291264-1688590-1696172","2","2","825","901","06:15","04:59","76","19","19","21","15","15","20","2","5","-3","1","1","1","1","0","0","0","0","0","0","1","0","0","2","2","1","1","1","1","0","1","0","1","0","0","01:16","0","0","1","","","2","2","2","1","2.5","-1.5","2138783","Jess Lawson","2291259","Allison Clarke","2291264","Zawadi Ogot","1688590","Carly Heidger","1696172","Paula Reus Piza","","","",""
