"_id","rowId","updated","competitionId","gameId","stint","flowStint","teamId","teamMarket","conferenceId","divisionId","isExhib","inDivision","isQualified","lineupId","periodNumber","gameFlowPeriod","sStart","sEnd","cStart","cEnd","secs","scoreStart","scoreStartFixed","scoreEnd","scoreStartAgst","scoreStartAgstFixed","scoreEndAgst","ptsScored","ptsAgst","netPts","fgm","fga","fgm2","fga2","fgm3","fga3","ftm","fta","ast","stl","tov","drb","orb","fgmAgst","fgaAgst","fgm2Agst","fga2Agst","fgm3Agst","fga3Agst","ftaAgst","astAgst","tovAgst","stlAgst","drbAgst","orbAgst","cDiff","reb","rebAgst","fg2Pct","fg3Pct","ftPct","oPoss","dPoss","avgPoss","oppp","dppp","netppp","transferKeyPctile","netpppPctile","opppPctile","dpppPctile","pId1","pName1","pId2","pName2","pId3","pName3","pId4","pName4","pId5","pName5"
"69524a6227b7ea9ac110cfd3","2750312-105097-1","2025-12-29T00:36:37Z","41098","2750312","3","1","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2118064","1","1","0","128","10:00","07:52","128","0","0","0","0","0","5","0","5","-5","0","2","0","0","0","2","0","0","0","0","1","2","0","2","4","1","2","1","2","0","2","0","0","2","0","02:08","2","2","","0","","3","4","3.5","0","1.25","-1.25","0","0.08","0.13","0.29","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"69524a6127b7ea9ac110c141","2750312-105097-2","2025-12-29T00:36:37Z","41098","2750312","4","2","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2291259-1688590-2118064","1","1","128","177","07:52","07:03","49","0","0","2","5","5","5","2","0","2","0","2","0","2","0","0","2","2","0","1","0","0","1","0","1","0","1","0","0","0","0","1","0","1","1","00:49","1","2","0","","1","1.73","0.93","1.33","1.1561","0","1.1561","","","","","2138783","Jess Lawson","1925105","Andjela Matic","2291259","Allison Clarke","1688590","Carly Heidger","2118064","Maya Hernandez"
"69524a6227b7ea9ac110c614","2750312-105097-3","2025-12-29T00:36:37Z","41098","2750312","5","3","105097","LMU (CA)","30","1","false","true","true","1925105-2291259-2291264-2118064-1696172","1","1","177","303","07:03","04:57","126","2","2","9","5","5","7","7","2","5","3","3","2","2","1","1","0","0","1","1","0","1","0","1","2","1","2","0","0","0","0","2","0","0","0","02:06","1","0","1","1","","3","4","3.5","2.3333","0.5","1.8333","0","0.98","0.98","0.78","1925105","Andjela Matic","2291259","Allison Clarke","2291264","Zawadi Ogot","2118064","Maya Hernandez","1696172","Paula Reus Piza"
"69524a6327b7ea9ac110d5d4","2750312-105097-4","2025-12-29T00:36:37Z","41098","2750312","6","4","105097","LMU (CA)","30","1","false","true","false","2138783-2270840-2291259-2118064-1696172","1","1","303","332","04:57","04:28","29","9","9","9","7","7","9","0","2","-2","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","0","0","1","0","1","0","0","00:29","0","0","","","","1","1","1","0","2","-2","","","","","2138783","Jess Lawson","2270840","Ivana Krajina","2291259","Allison Clarke","2118064","Maya Hernandez","1696172","Paula Reus Piza"
"69524a6127b7ea9ac110be19","2750312-105097-5","2025-12-29T00:36:37Z","41098","2750312","7","5","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2291259-1688590-1696172","1","1","332","350","04:28","04:10","18","9","9","9","9","9","9","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","1","1","0","1","00:18","0","1","","","","1","1.4","1.2","0","0","0","","","","","2138783","Jess Lawson","1925105","Andjela Matic","2291259","Allison Clarke","1688590","Carly Heidger","1696172","Paula Reus Piza"
"69524a6327b7ea9ac110d896","2750312-105097-6","2025-12-29T00:36:37Z","41098","2750312","8","6","105097","LMU (CA)","30","1","false","true","false","1925105-2291259-2291264-1688590-1696172","1","1","350","431","04:10","02:49","81","9","9","9","9","9","11","0","2","-2","0","1","0","1","0","0","0","0","0","0","0","0","0","1","3","1","3","0","0","0","1","0","0","1","2","01:21","0","3","0","","","1","0.86","0.93","0","2.3256","-2.3256","","","","","1925105","Andjela Matic","2291259","Allison Clarke","2291264","Zawadi Ogot","1688590","Carly Heidger","1696172","Paula Reus Piza"
"69524a6327b7ea9ac110d846","2750312-105097-7","2025-12-29T00:36:37Z","41098","2750312","9","7","105097","LMU (CA)","30","1","false","true","false","1925105-2291259-2291264-1688590-2481512","1","1","431","490","02:49","01:50","59","9","9","9","11","11","15","0","4","-4","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","0","2","0","0","0","0","0","00:59","0","0","","","","1","1.8","1.4","0","2.2222","-2.2222","","","","","1925105","Andjela Matic","2291259","Allison Clarke","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones"
"69524a6127b7ea9ac110bfea","2750312-105097-8","2025-12-29T00:36:37Z","41098","2750312","10","8","105097","LMU (CA)","30","1","false","true","true","1925105-2270840-2291264-1688590-2481512","1","1","490","600","01:50","00:00","110","9","9","11","15","15","15","2","0","2","1","3","1","3","0","0","0","0","0","0","0","2","0","0","2","0","2","0","0","0","0","0","0","1","0","01:50","2","1","0.3333","","","3","2","2.5","0.6667","0","0.6667","0","0.77","0.34","1","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones"
"69524a6127b7ea9ac110c190","2750312-105097-9","2025-12-29T00:36:37Z","41098","2750312","11","9","105097","LMU (CA)","30","1","false","true","false","1925105-2270840-2291264-2118064-1696172","2","2","600","704","10:00","08:16","104","11","11","15","15","15","15","4","0","4","2","3","2","3","0","0","0","0","1","0","0","2","0","0","4","0","4","0","0","0","0","0","0","1","2","01:44","2","3","0.6667","","","3","1.86","2.43","1.3333","0","1.3333","","","","","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","2118064","Maya Hernandez","1696172","Paula Reus Piza"
"69524a6227b7ea9ac110cf92","2750312-105097-10","2025-12-29T00:36:37Z","41098","2750312","12","10","105097","LMU (CA)","30","1","false","true","true","1925105-2270840-2291264-1688590-2118064","2","2","704","849","08:16","05:51","145","15","15","17","15","15","21","2","6","-4","1","4","1","4","0","0","0","0","0","0","0","1","0","3","5","3","5","0","0","0","0","1","0","3","1","02:25","1","4","0.25","","","4","4.93","4.465","0.5","1.217","-0.717","0","0.2","0.23","0.3","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2118064","Maya Hernandez"
"69524a6127b7ea9ac110be1a","2750312-105097-11","2025-12-29T00:36:37Z","41098","2750312","13","11","105097","LMU (CA)","30","1","false","true","false","1925105-2270840-2291259-1688590-2118064","2","2","849","881","05:51","05:19","32","17","17","17","21","21","21","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","0","0","1","1","0","1","00:32","0","1","","","","1","0.93","0.965","0","0","0","","","","","1925105","Andjela Matic","2270840","Ivana Krajina","2291259","Allison Clarke","1688590","Carly Heidger","2118064","Maya Hernandez"
"69524a6227b7ea9ac110c7dd","2750312-105097-12","2025-12-29T00:36:37Z","41098","2750312","14","12","105097","LMU (CA)","30","1","false","true","true","1925105-2291259-1688590-2481512-1696172","2","2","881","1014","05:19","03:06","133","17","17","21","21","21","23","4","2","2","1","4","1","2","0","2","2","2","0","0","0","2","2","1","3","1","3","0","0","0","1","0","0","1","0","02:13","4","1","0.5","0","1","2.66","3","2.83","1.5038","0.6667","0.8371","0","0.83","0.83","0.67","1925105","Andjela Matic","2291259","Allison Clarke","1688590","Carly Heidger","2481512","Kayla Jones","1696172","Paula Reus Piza"
"69524a6127b7ea9ac110c123","2750312-105097-13","2025-12-29T00:36:37Z","41098","2750312","15","13","105097","LMU (CA)","30","1","false","true","false","1925105-2291264-1688590-2118064-1696172","2","2","1014","1077","03:06","02:03","63","21","21","23","23","23","23","2","0","2","0","1","0","1","0","0","2","2","0","0","0","2","0","0","2","0","2","0","0","0","0","0","0","1","0","01:03","2","1","0","","1","1.8","2","1.9","1.1111","0","1.1111","","","","","1925105","Andjela Matic","2291264","Zawadi Ogot","1688590","Carly Heidger","2118064","Maya Hernandez","1696172","Paula Reus Piza"
"69524a6227b7ea9ac110ce3c","2750312-105097-14","2025-12-29T00:36:37Z","41098","2750312","16","14","105097","LMU (CA)","30","1","false","true","true","1925105-2291259-2291264-1688590-2118064","2","2","1077","1159.1","02:03","00:40","82.1","23","23","26","23","23","26","3","3","0","1","2","0","0","1","2","0","2","1","0","1","0","0","1","1","1","1","0","0","2","0","1","1","2","0","01:22","0","2","","0.5","0","3.8","2.8","3.3","0.7895","1.0714","-0.282","0","0.36","0.43","0.35","1925105","Andjela Matic","2291259","Allison Clarke","2291264","Zawadi Ogot","1688590","Carly Heidger","2118064","Maya Hernandez"
"69524a6227b7ea9ac110cedf","2750312-105097-15","2025-12-29T00:36:37Z","41098","2750312","17","15","105097","LMU (CA)","30","1","false","true","false","1925105-2291259-2291264-1688590-2481512","2","2","1159.1","1200","00:40","00:00","40.89999999999999","26","26","29","26","26","28","3","2","1","1","2","0","0","1","2","0","0","1","1","0","0","1","0","0","0","0","0","0","2","0","1","0","0","0","00:41","1","0","","0.5","","0.93","1.8","1.365","3.2258","1.1111","2.1147","","","","","1925105","Andjela Matic","2291259","Allison Clarke","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones"
"69524a6227b7ea9ac110cd10","2750312-105097-16","2025-12-29T00:36:37Z","41098","2750312","18","16","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2291259-1688590-2118064","3","3","1200","1424","10:00","06:16","224","29","29","36","28","28","34","7","6","1","1","2","1","1","0","1","5","5","0","0","1","1","0","3","5","3","4","0","1","0","2","2","0","1","1","03:44","1","2","1","0","1","5","5.93","5.465","1.4","1.0118","0.3882","0","0.66","0.78","0.4","2138783","Jess Lawson","1925105","Andjela Matic","2291259","Allison Clarke","1688590","Carly Heidger","2118064","Maya Hernandez"
"69524a6127b7ea9ac110bb81","2750312-105097-17","2025-12-29T00:36:37Z","41098","2750312","19","17","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2118064","3","3","1424","1464","06:16","05:36","40","36","36","38","34","34","34","2","0","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","00:40","0","0","1","","","1","0","0.5","2","","","","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"69524a6227b7ea9ac110cf77","2750312-105097-18","2025-12-29T00:36:37Z","41098","2750312","20","18","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-2118064-1696172","3","3","1464","1653","05:36","02:27","189","38","38","42","34","34","40","4","6","-2","1","2","0","1","1","1","1","2","1","0","1","2","0","3","5","3","5","0","0","0","2","0","1","2","0","03:09","2","2","0","1","0.5","3.8","5","4.4","1.0526","1.2","-0.1474","0","0.41","0.61","0.31","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","2118064","Maya Hernandez","1696172","Paula Reus Piza"
"69524a6127b7ea9ac110be1b","2750312-105097-19","2025-12-29T00:36:37Z","41098","2750312","21","19","105097","LMU (CA)","30","1","false","true","false","2138783-2270840-2291259-2481512-1696172","3","3","1653","1684","02:27","01:56","31","42","42","42","40","40","40","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","00:31","1","1","","","0","0.8","1","0.9","0","0","0","","","","","2138783","Jess Lawson","2270840","Ivana Krajina","2291259","Allison Clarke","2481512","Kayla Jones","1696172","Paula Reus Piza"
"69524a6127b7ea9ac110be1c","2750312-105097-20","2025-12-29T00:36:37Z","41098","2750312","22","20","105097","LMU (CA)","30","1","false","true","false","2270840-2291259-2291264-2481512-1696172","3","3","1684","1726","01:56","01:14","42","42","42","42","40","40","40","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","00:42","0","2","0","","","1","-0.07","0.465","0","0","0","","","","","2270840","Ivana Krajina","2291259","Allison Clarke","2291264","Zawadi Ogot","2481512","Kayla Jones","1696172","Paula Reus Piza"
