"_id","rowId","updated","competitionId","gameId","stint","flowStint","teamId","teamMarket","conferenceId","divisionId","isExhib","inDivision","isQualified","lineupId","periodNumber","gameFlowPeriod","sStart","sEnd","cStart","cEnd","secs","scoreStart","scoreStartFixed","scoreEnd","scoreStartAgst","scoreStartAgstFixed","scoreEndAgst","ptsScored","ptsAgst","netPts","fgm","fga","fgm2","fga2","fgm3","fga3","ftm","fta","ast","stl","tov","drb","orb","fgmAgst","fgaAgst","fgm2Agst","fga2Agst","fgm3Agst","fga3Agst","ftaAgst","astAgst","tovAgst","stlAgst","drbAgst","orbAgst","cDiff","reb","rebAgst","fg2Pct","fg3Pct","ftPct","oPoss","dPoss","avgPoss","oppp","dppp","netppp","transferKeyPctile","netpppPctile","opppPctile","dpppPctile","pId1","pName1","pId2","pName2","pId3","pName3","pId4","pName4","pId5","pName5"
"6954ef8c7acae262bb0b6e01","2750313-105097-1","2025-12-31T04:00:39Z","41098","2750313","3","1","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2118064","1","1","0","102","10:00","08:18","102","0","0","4","0","0","0","4","0","4","2","4","2","4","0","0","0","0","0","1","0","1","1","0","1","0","0","0","1","0","0","1","0","1","0","01:42","2","1","0.5","","","2.93","2","2.465","1.3652","0","1.3652","","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"6954ef8d7acae262bb0b793c","2750313-105097-2","2025-12-31T04:00:39Z","41098","2750313","4","2","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-1696172","1","1","102","185","08:18","06:55","83","4","4","6","0","0","2","2","2","0","1","2","1","1","0","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","0","1","0","1","0","01:23","0","1","1","0","","2","2","2","1","1","0","","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","1696172","Paula Reus Piza"
"6954ef8c7acae262bb0b7432","2750313-105097-3","2025-12-31T04:00:39Z","41098","2750313","5","3","105097","LMU (CA)","30","1","false","true","true","1925105-2270840-2291264-1688590-1696172","1","1","185","287","06:55","05:13","102","6","6","6","2","2","4","0","2","-2","0","2","0","1","0","1","0","0","0","0","0","2","0","1","3","1","2","0","1","0","1","0","0","2","0","01:42","2","2","0","0","","2","3","2.5","0","0.6667","-0.6667","0","0.22","0.13","0.67","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","1696172","Paula Reus Piza"
"6954ef8d7acae262bb0b840e","2750313-105097-4","2025-12-31T04:00:39Z","41098","2750313","6","4","105097","LMU (CA)","30","1","false","true","false","2270840-2291259-2291264-2118064-1696172","1","1","287","333","05:13","04:27","46","6","6","6","4","4","6","0","2","-2","0","3","0","2","0","1","0","0","0","0","0","0","1","1","1","1","1","0","0","0","1","0","0","2","0","00:46","1","2","0","0","","1.93","1","1.465","0","2","-2","","","","","2270840","Ivana Krajina","2291259","Allison Clarke","2291264","Zawadi Ogot","2118064","Maya Hernandez","1696172","Paula Reus Piza"
"6954ef8c7acae262bb0b6bab","2750313-105097-5","2025-12-31T04:00:39Z","41098","2750313","7","5","105097","LMU (CA)","30","1","false","true","false","2138783-2291259-2291264-2481512-2118064","1","1","333","369","04:27","03:51","36","6","6","6","6","6","6","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","0","0","0","00:36","2","0","0","","","-0.07","1","0.465","0","0","0","","","","","2138783","Jess Lawson","2291259","Allison Clarke","2291264","Zawadi Ogot","2481512","Kayla Jones","2118064","Maya Hernandez"
"6954ef8d7acae262bb0b8478","2750313-105097-6","2025-12-31T04:00:39Z","41098","2750313","8","6","105097","LMU (CA)","30","1","false","true","false","2138783-2291259-2291264-1688590-2481512","1","1","369","416","03:51","03:04","47","6","6","9","6","6","8","3","2","1","0","1","0","1","0","0","3","3","0","0","0","0","0","1","1","1","1","0","0","0","1","0","0","1","0","00:47","0","1","0","","1","2.2","1","1.6","1.3636","2","-0.6364","","","","","2138783","Jess Lawson","2291259","Allison Clarke","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones"
"6954ef8d7acae262bb0b81a9","2750313-105097-7","2025-12-31T04:00:39Z","41098","2750313","9","7","105097","LMU (CA)","30","1","false","true","true","1925105-2270840-2291259-1688590-2481512","1","1","416","515","03:04","01:25","99","9","9","9","8","8","13","0","5","-5","0","2","0","1","0","1","0","0","0","0","0","0","0","2","2","1","1","1","1","0","2","1","0","2","0","01:39","0","2","0","0","","2","3","2.5","0","1.6667","-1.6667","0","0.03","0.13","0.12","1925105","Andjela Matic","2270840","Ivana Krajina","2291259","Allison Clarke","1688590","Carly Heidger","2481512","Kayla Jones"
"6954ef8d7acae262bb0b8136","2750313-105097-8","2025-12-31T04:00:39Z","41098","2750313","10","8","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2118064","1","1","515","600","01:25","00:00","84.99999999999999","9","9","12","13","13","16","3","3","0","1","2","0","0","1","2","0","0","1","0","1","1","1","1","3","0","2","1","1","0","1","0","1","0","1","01:25","2","1","","0.5","","1.93","1.93","1.93","1.5544","1.5544","0","","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"6954ef8c7acae262bb0b694e","2750313-105097-9","2025-12-31T04:00:39Z","41098","2750313","10","9","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2118064","2","2","600","618","10:00","09:42","18","12","12","12","16","16","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","00:18","0","1","","","","0","-0.07","-0.035","","0","","","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"6954ef8c7acae262bb0b6bad","2750313-105097-10","2025-12-31T04:00:39Z","41098","2750313","11","10","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-2118064-1696172","2","2","618","666","09:42","08:54","48","12","12","12","16","16","16","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","00:48","1","1","0","","","1","1","1","0","0","0","","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","2118064","Maya Hernandez","1696172","Paula Reus Piza"
