"_id","rowId","updated","competitionId","gameId","stint","flowStint","teamId","teamMarket","conferenceId","divisionId","isExhib","inDivision","isQualified","lineupId","periodNumber","gameFlowPeriod","sStart","sEnd","cStart","cEnd","secs","scoreStart","scoreEnd","scoreStartAgst","scoreEndAgst","ptsScored","ptsAgst","netPts","fgm","fga","fgm2","fga2","fgm3","fga3","ftm","fta","ast","stl","tov","drb","orb","fgmAgst","fgaAgst","fgm2Agst","fga2Agst","fgm3Agst","fga3Agst","ftaAgst","astAgst","tovAgst","stlAgst","drbAgst","orbAgst","cDiff","reb","rebAgst","fg2Pct","fg3Pct","ftPct","oPoss","dPoss","avgPoss","oppp","dppp","netppp","pId1","pName1","pId2","pName2","pId3","pName3","pId4","pName4","pId5","pName5","transferKeyPctile","netpppPctile","opppPctile","dpppPctile"
"695e29e70e9e0b79ee63d4c5","2750315-105097-1","2026-01-05T00:18:47Z","41098","2750315","3","1","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2118064","1","1","0","190","10:00","06:50","190","0","13","0","6","13","6","7","6","6","5","5","1","1","0","0","5","2","1","2","0","3","5","3","5","0","0","0","2","2","1","0","0","03:10","2","0","1","1","","7","7","7","1.8571","0.8571","1","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez","0","0.87","0.94","0.5"
"695e29e60e9e0b79ee63cd79","2750315-105097-2","2026-01-05T00:18:47Z","41098","2750315","4","2","105097","LMU (CA)","30","1","false","true","false","1925105-2270840-2291264-1688590-2481512","1","1","190","240","06:50","06:00","50","13","13","6","6","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","2","0","1","0","1","0","0","0","0","1","0","00:50","1","1","0","","","1","2","1.5","0","0","0","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones","","","",""
"695e29e60e9e0b79ee63cb76","2750315-105097-3","2026-01-05T00:18:47Z","41098","2750315","5","3","105097","LMU (CA)","30","1","false","true","false","1925105-2291259-2291264-2481512-1696172","1","1","240","252","06:00","05:48","12","13","13","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","00:12","0","0","","","","1","0","0.5","0","","","1925105","Andjela Matic","2291259","Allison Clarke","2291264","Zawadi Ogot","2481512","Kayla Jones","1696172","Paula Reus Piza","","","",""
"695e29e80e9e0b79ee63ddca","2750315-105097-4","2026-01-05T00:18:47Z","41098","2750315","6","4","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2291259-2481512-1696172","1","1","252","283","05:48","05:17","31","13","13","6","8","0","2","-2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","00:31","0","0","","","","1","0.8","0.9","0","2.5","-2.5","2138783","Jess Lawson","1925105","Andjela Matic","2291259","Allison Clarke","2481512","Kayla Jones","1696172","Paula Reus Piza","","","",""
"695e29e70e9e0b79ee63dbaf","2750315-105097-5","2026-01-05T00:18:47Z","41098","2750315","7","5","105097","LMU (CA)","30","1","false","true","false","2138783-2270840-2291259-2481512-1696172","1","1","283","328","05:17","04:32","45","13","13","8","10","0","2","-2","0","3","0","3","0","0","0","0","0","0","0","0","3","1","1","1","1","0","0","0","1","0","0","0","0","00:45","3","0","0","","","-0.21","1","0.395","0","2","-2","2138783","Jess Lawson","2270840","Ivana Krajina","2291259","Allison Clarke","2481512","Kayla Jones","1696172","Paula Reus Piza","","","",""
"695e29e70e9e0b79ee63d6bc","2750315-105097-6","2026-01-05T00:18:47Z","41098","2750315","8","6","105097","LMU (CA)","30","1","false","true","false","2138783-2270840-2291259-2118064-1696172","1","1","328","418","04:32","03:02","90","13","17","10","12","4","2","2","2","2","2","2","0","0","0","0","0","1","0","0","0","1","2","1","2","0","0","0","0","1","0","0","1","01:30","0","1","1","","","2","1.93","1.965","2","1.0363","0.9637","2138783","Jess Lawson","2270840","Ivana Krajina","2291259","Allison Clarke","2118064","Maya Hernandez","1696172","Paula Reus Piza","","","",""
"695e29eb0e9e0b79ee640eb7","2750315-105097-7","2026-01-05T00:18:47Z","41098","2750315","9","7","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-2118064-1696172","1","1","418","489","03:02","01:51","71","17","20","12","15","3","3","0","1","1","1","1","0","0","1","2","0","1","1","0","0","1","1","0","0","1","1","0","1","1","0","0","0","01:11","0","0","1","","0.5","2.8","2","2.4","1.0714","1.5","-0.4286","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","2118064","Maya Hernandez","1696172","Paula Reus Piza","","","",""
"695e29eb0e9e0b79ee6407de","2750315-105097-8","2026-01-05T00:18:47Z","41098","2750315","10","8","105097","LMU (CA)","30","1","false","true","true","1925105-2270840-2291259-1688590-2118064","1","1","489","600","01:51","00:00","111","20","20","15","17","0","2","-2","0","3","0","1","0","2","0","0","0","0","0","2","0","1","3","1","3","0","0","0","1","0","0","2","0","01:51","2","2","0","0","","3","3","3","0","0.6667","-0.6667","1925105","Andjela Matic","2270840","Ivana Krajina","2291259","Allison Clarke","1688590","Carly Heidger","2118064","Maya Hernandez","0","0.22","0.13","0.68"
"695e29eb0e9e0b79ee641142","2750315-105097-9","2026-01-05T00:18:47Z","41098","2750315","11","9","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2118064","2","2","600","714","10:00","08:06","114","20","26","17","21","6","4","2","1","1","0","0","1","1","3","4","1","0","0","0","0","2","2","2","2","0","0","0","1","0","0","0","0","01:54","0","0","","1","0.75","2.6","2","2.3","2.3077","2","0.3077","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez","","","",""
"695e29ea0e9e0b79ee6403b3","2750315-105097-10","2026-01-05T00:18:47Z","41098","2750315","12","10","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2481512","2","2","714","842","08:06","05:58","128","26","28","21","21","2","0","2","1","4","1","2","0","2","0","0","0","0","0","3","1","0","4","0","3","0","1","0","0","0","0","1","1","02:08","4","2","0.5","0","","2.395","2.93","2.6625","0.8351","0","0.8351","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2481512","Kayla Jones","0","0.83","0.46","1"
