"_id","rowId","updated","competitionId","gameId","stint","flowStint","teamId","teamMarket","conferenceId","divisionId","isExhib","inDivision","isQualified","lineupId","periodNumber","gameFlowPeriod","sStart","sEnd","cStart","cEnd","secs","scoreStart","scoreEnd","scoreStartAgst","scoreEndAgst","ptsScored","ptsAgst","netPts","fgm","fga","fgm2","fga2","fgm3","fga3","ftm","fta","ast","stl","tov","drb","orb","fgmAgst","fgaAgst","fgm2Agst","fga2Agst","fgm3Agst","fga3Agst","ftaAgst","astAgst","tovAgst","stlAgst","drbAgst","orbAgst","cDiff","reb","rebAgst","fg2Pct","fg3Pct","ftPct","oPoss","dPoss","avgPoss","oppp","dppp","netppp","pId1","pName1","pId2","pName2","pId3","pName3","pId4","pName4","pId5","pName5","transferKeyPctile","netpppPctile","opppPctile","dpppPctile"
"69621f643bf79ef2ade55c23","2750316-105097-1","2026-01-09T04:24:23Z","41098","2750316","3","1","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2118064","1","1","0","53","10:00","09:07","53","0","2","0","4","2","4","-2","1","1","1","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","2","1","0","0","0","0","00:53","0","0","1","","","1","1.8","1.4","2","2.2222","-0.2222","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez","","","",""
"69621f633bf79ef2ade552f7","2750316-105097-2","2026-01-09T04:24:23Z","41098","2750316","4","2","105097","LMU (CA)","30","1","false","true","true","2118049-2138783-1925105-1688590-2118064","1","1","53","191","09:07","06:49","138","2","6","4","8","4","4","0","2","3","2","3","0","0","0","0","0","0","1","1","0","2","3","2","3","0","0","0","1","0","0","1","0","02:18","1","1","0.6667","","","4","3","3.5","1","1.3333","-0.3333","2118049","Mari Somvichian","2138783","Jess Lawson","1925105","Andjela Matic","1688590","Carly Heidger","2118064","Maya Hernandez","0","0.33","0.56","0.24"
"69621f633bf79ef2ade554ec","2750316-105097-3","2026-01-09T04:24:23Z","41098","2750316","5","3","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-2481512-1696172","1","1","191","327","06:49","04:33","136","6","8","8","14","2","6","-4","1","4","1","3","0","1","0","0","0","0","0","1","1","3","4","3","4","0","0","0","1","0","0","2","0","02:16","2","2","0.3333","0","","2.93","4","3.465","0.6826","1.5","-0.8174","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","2481512","Kayla Jones","1696172","Paula Reus Piza","0","0.16","0.36","0.16"
"69621f623bf79ef2ade5495f","2750316-105097-4","2026-01-09T04:24:23Z","41098","2750316","6","4","105097","LMU (CA)","30","1","false","true","true","1925105-2270840-2291264-2118064-1696172","1","1","327","450","04:33","02:30","123","8","13","14","17","5","3","2","2","3","1","2","1","1","0","0","2","0","1","1","0","1","2","0","1","1","1","0","0","2","1","1","0","02:03","1","1","0.5","1","","4","4","4","1.25","0.75","0.5","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","2118064","Maya Hernandez","1696172","Paula Reus Piza","0","0.7","0.7","0.57"
"69621f613bf79ef2ade538f4","2750316-105097-5","2026-01-09T04:24:23Z","41098","2750316","7","5","105097","LMU (CA)","30","1","false","true","false","2138783-2270840-2291259-2481512-1696172","1","1","450","471","02:30","02:09","21","13","15","17","17","2","0","2","0","1","0","1","0","0","2","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","00:21","1","0","0","","1","0.73","0","0.365","2.7397","","","2138783","Jess Lawson","2270840","Ivana Krajina","2291259","Allison Clarke","2481512","Kayla Jones","1696172","Paula Reus Piza","","","",""
"69621f643bf79ef2ade55990","2750316-105097-6","2026-01-09T04:24:23Z","41098","2750316","8","6","105097","LMU (CA)","30","1","false","true","true","2138783-2270840-2291259-1688590-2481512","1","1","471","583.4","02:09","00:16","112.4","15","17","17","23","2","6","-4","1","3","1","3","0","0","0","0","0","0","1","0","1","3","3","3","3","0","0","0","3","0","1","1","0","01:52","1","1","0.3333","","","2.93","3","2.965","0.6826","2","-1.3174","2138783","Jess Lawson","2270840","Ivana Krajina","2291259","Allison Clarke","1688590","Carly Heidger","2481512","Kayla Jones","0","0.07","0.36","0.05"
"69621f613bf79ef2ade53a0f","2750316-105097-7","2026-01-09T04:24:23Z","41098","2750316","9","7","105097","LMU (CA)","30","1","false","true","false","1925105-2291259-2291264-2481512-1696172","1","1","583.4","600","00:16","00:00","16.6","17","17","23","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","00:17","0","1","","","","0","-0.07","-0.035","","0","","1925105","Andjela Matic","2291259","Allison Clarke","2291264","Zawadi Ogot","2481512","Kayla Jones","1696172","Paula Reus Piza","","","",""
"69621f623bf79ef2ade5459a","2750316-105097-8","2026-01-09T04:24:23Z","41098","2750316","10","8","105097","LMU (CA)","30","1","false","true","false","1925105-2291259-2291264-2118064-1696172","2","2","600","663","10:00","08:57","63","17","18","23","24","1","1","0","0","2","0","1","0","1","1","2","0","1","0","0","1","0","0","0","0","0","0","2","0","1","0","1","0","01:03","1","1","0","0","0.5","1.73","1.8","1.765","0.578","0.5556","0.0225","1925105","Andjela Matic","2291259","Allison Clarke","2291264","Zawadi Ogot","2118064","Maya Hernandez","1696172","Paula Reus Piza","","","",""
"69621f643bf79ef2ade5595d","2750316-105097-9","2026-01-09T04:24:23Z","41098","2750316","11","9","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-2118064-1696172","2","2","663","726","08:57","07:54","63","18","18","24","26","0","2","-2","0","2","0","2","0","0","0","0","0","0","0","0","1","1","1","1","1","0","0","0","1","0","0","1","0","01:03","1","1","0","","","0.93","1","0.965","0","2","-2","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","2118064","Maya Hernandez","1696172","Paula Reus Piza","","","",""
"69621f643bf79ef2ade557ec","2750316-105097-10","2026-01-09T04:24:23Z","41098","2750316","12","10","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-1696172","2","2","726","863","07:54","05:37","137","18","21","26","31","3","5","-2","1","5","0","4","1","1","0","0","1","1","0","0","1","2","6","1","3","1","3","0","1","1","0","3","4","02:17","1","7","0","1","","3.93","2.72","3.325","0.7634","1.8382","-1.0749","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","1696172","Paula Reus Piza","0","0.1","0.42","0.07"
"69621f623bf79ef2ade54265","2750316-105097-11","2026-01-09T04:24:23Z","41098","2750316","13","11","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2481512","2","2","863","887","05:37","05:13","24","21","24","31","31","3","0","3","1","1","0","0","1","1","0","0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","00:24","1","0","","1","","1","1","1","3","0","3","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2481512","Kayla Jones","","","",""
