"_id","rowId","updated","competitionId","gameId","stint","flowStint","teamId","teamMarket","conferenceId","divisionId","isExhib","inDivision","isQualified","lineupId","periodNumber","gameFlowPeriod","sStart","sEnd","cStart","cEnd","secs","scoreStart","scoreStartFixed","scoreEnd","scoreStartAgst","scoreStartAgstFixed","scoreEndAgst","ptsScored","ptsAgst","netPts","fgm","fga","fgm2","fga2","fgm3","fga3","ftm","fta","ast","stl","tov","drb","orb","fgmAgst","fgaAgst","fgm2Agst","fga2Agst","fgm3Agst","fga3Agst","ftaAgst","astAgst","tovAgst","stlAgst","drbAgst","orbAgst","cDiff","reb","rebAgst","fg2Pct","fg3Pct","ftPct","oPoss","dPoss","avgPoss","oppp","dppp","netppp","transferKeyPctile","netpppPctile","opppPctile","dpppPctile","pId1","pName1","pId2","pName2","pId3","pName3","pId4","pName4","pId5","pName5"
"693fd810a9a4229a729648a1","2695940-105097-1","2025-12-13T22:29:11Z","41098","2695940","3","1","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2118064","1","1","0","195","10:00","06:45","195","0","0","0","0","0","0","0","0","0","0","4","0","4","0","0","0","0","0","2","1","3","0","0","4","0","1","0","3","0","0","2","1","4","1","03:15","3","5","0","","","5","4.93","4.965","0","0","0","0","0.5","0.13","1","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a7296562b","2695940-105097-2","2025-12-13T22:29:11Z","41098","2695940","4","2","105097","LMU (CA)","30","1","false","true","false","2138783-2291259-2291264-2481512-1696172","1","1","195","233","06:45","06:07","38","0","0","0","0","0","2","0","2","-2","0","1","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","4","0","0","0","0","0","00:38","2","0","0","","","0.93","1.6","1.265","0","1.25","-1.25","","","","","2138783","Jess Lawson","2291259","Allison Clarke","2291264","Zawadi Ogot","2481512","Kayla Jones","1696172","Paula Reus Piza"
"693fd810a9a4229a729645b0","2695940-105097-3","2025-12-13T22:29:11Z","41098","2695940","5","3","105097","LMU (CA)","30","1","false","true","false","2138783-2291259-2291264-2118064-1696172","1","1","233","275","06:07","05:25","42","0","0","1","2","2","2","1","0","1","0","2","0","2","0","0","1","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","00:42","2","1","0","","0.5","1.3733","0","0.6866","0.7282","","","","","","","2138783","Jess Lawson","2291259","Allison Clarke","2291264","Zawadi Ogot","2118064","Maya Hernandez","1696172","Paula Reus Piza"
"693fd810a9a4229a72965a41","2695940-105097-4","2025-12-13T22:29:11Z","41098","2695940","6","4","105097","LMU (CA)","30","1","false","true","true","1925105-2291259-2291264-1688590-2481512","1","1","275","454","05:25","02:26","179","1","1","5","2","2","13","4","11","-7","2","8","2","3","0","5","0","0","0","0","0","0","3","3","4","0","1","3","3","2","3","2","0","3","1","02:59","3","4","0.6667","0","","4.79","5.73","5.26","0.8351","1.9197","-1.0846","0","0.1","0.46","0.06","1925105","Andjela Matic","2291259","Allison Clarke","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones"
"693fd810a9a4229a72964bc4","2695940-105097-5","2025-12-13T22:29:11Z","41098","2695940","7","5","105097","LMU (CA)","30","1","false","true","false","2138783-2291259-2291264-1688590-2118064","1","1","454","474","02:26","02:06","20","5","5","7","13","13","13","2","0","2","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","00:20","0","0","1","","","1","1","1","2","0","2","","","","","2138783","Jess Lawson","2291259","Allison Clarke","2291264","Zawadi Ogot","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72965654","2695940-105097-6","2025-12-13T22:29:11Z","41098","2695940","8","6","105097","LMU (CA)","30","1","false","true","true","2138783-2270840-2291259-1688590-2118064","1","1","474","600","02:06","00:00","125.99999999999999","7","7","13","13","13","18","6","5","1","2","4","1","3","1","1","1","1","1","0","0","1","0","2","3","1","2","1","1","0","1","1","0","2","0","02:06","1","2","0.3333","1","1","4.4","4","4.2","1.3636","1.25","0.1136","0","0.54","0.77","0.29","2138783","Jess Lawson","2270840","Ivana Krajina","2291259","Allison Clarke","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72964faf","2695940-105097-7","2025-12-13T22:29:11Z","41098","2695940","9","7","105097","LMU (CA)","30","1","false","true","true","2138783-2270840-2291264-1688590-2118064","2","2","600","707","10:00","08:13","107","13","13","19","18","18","20","6","2","4","3","3","3","3","0","0","0","1","0","1","1","1","0","1","2","1","1","0","1","0","1","1","0","1","0","01:47","1","1","1","","0","4.4","3","3.7","1.3636","0.6667","0.697","0","0.78","0.77","0.67","2138783","Jess Lawson","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a729657cf","2695940-105097-8","2025-12-13T22:29:11Z","41098","2695940","10","8","105097","LMU (CA)","30","1","false","true","true","1925105-2291259-2291264-1688590-2118064","2","2","707","857","08:13","05:43","150","19","19","21","20","20","27","2","7","-5","1","4","1","4","0","0","0","0","0","0","0","2","0","3","7","2","5","1","2","0","2","0","0","3","2","02:30","2","5","0.25","","","4","4.86","4.43","0.5","1.4403","-0.9403","0","0.14","0.23","0.19","1925105","Andjela Matic","2291259","Allison Clarke","2291264","Zawadi Ogot","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a7296489e","2695940-105097-9","2025-12-13T22:29:11Z","41098","2695940","11","9","105097","LMU (CA)","30","1","false","true","false","2138783-2291259-2291264-2481512-1696172","2","2","857","947","05:43","04:13","90","21","21","21","27","27","27","0","0","0","0","2","0","2","0","0","0","0","0","1","1","1","0","0","2","0","2","0","0","0","0","1","0","1","1","01:30","1","2","0","","","3","1.93","2.465","0","0","0","","","","","2138783","Jess Lawson","2291259","Allison Clarke","2291264","Zawadi Ogot","2481512","Kayla Jones","1696172","Paula Reus Piza"
"693fd810a9a4229a729644ce","2695940-105097-10","2025-12-13T22:29:11Z","41098","2695940","12","10","105097","LMU (CA)","30","1","false","true","false","2138783-2291259-2291264-1688590-2481512","2","2","947","948","04:13","04:12","1","21","21","21","27","27","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","00:01","1","0","","","","0","0","0","","","","","","","","2138783","Jess Lawson","2291259","Allison Clarke","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones"
