"_id","rowId","updated","competitionId","gameId","stint","flowStint","teamId","teamMarket","conferenceId","divisionId","isExhib","inDivision","isQualified","lineupId","periodNumber","gameFlowPeriod","sStart","sEnd","cStart","cEnd","secs","scoreStart","scoreStartFixed","scoreEnd","scoreStartAgst","scoreStartAgstFixed","scoreEndAgst","ptsScored","ptsAgst","netPts","fgm","fga","fgm2","fga2","fgm3","fga3","ftm","fta","ast","stl","tov","drb","orb","fgmAgst","fgaAgst","fgm2Agst","fga2Agst","fgm3Agst","fga3Agst","ftaAgst","astAgst","tovAgst","stlAgst","drbAgst","orbAgst","cDiff","reb","rebAgst","fg2Pct","fg3Pct","ftPct","oPoss","dPoss","avgPoss","oppp","dppp","netppp","transferKeyPctile","netpppPctile","opppPctile","dpppPctile","pId1","pName1","pId2","pName2","pId3","pName3","pId4","pName4","pId5","pName5"
"693fd810a9a4229a72965381","2695431-105097-1","2025-11-12T19:04:13Z","41098","2695431","3","1","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2118064","1","1","0","114","10:00","08:06","114","0","0","5","0","0","2","5","2","3","1","2","1","2","0","0","3","3","1","0","0","1","0","1","2","1","1","0","1","0","1","0","0","0","0","01:54","1","0","0.5","","1","3.2","2","2.6","1.5625","1","0.5625","0","0.72","0.85","0.46","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72964cc7","2695431-105097-2","2025-11-12T19:04:13Z","41098","2695431","4","2","105097","LMU (CA)","30","1","false","true","false","2118049-2270840-2291264-1688590-2481512","1","1","114","149","08:06","07:31","35","5","5","8","2","2","2","3","0","3","1","1","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","00:35","0","0","","1","","1","1","1","3","0","3","","","","","2118049","Mari Somvichian","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones"
"693fd810a9a4229a72964fff","2695431-105097-3","2025-11-12T19:04:13Z","41098","2695431","5","3","105097","LMU (CA)","30","1","false","true","false","2118049-2270840-2291264-2481512-2118064","1","1","149","226","07:31","06:14","77","8","8","8","2","2","4","0","2","-2","0","3","0","3","0","0","0","0","0","1","0","1","1","1","3","1","2","0","1","0","0","1","0","2","1","01:17","2","3","0","","","1.93","2.93","2.43","0","0.6826","-0.6826","","","","","2118049","Mari Somvichian","2270840","Ivana Krajina","2291264","Zawadi Ogot","2481512","Kayla Jones","2118064","Maya Hernandez"
"693fd810a9a4229a72964a97","2695431-105097-4","2025-11-12T19:04:13Z","41098","2695431","6","4","105097","LMU (CA)","30","1","false","true","true","2118049-2138783-1925105-1688590-2118064","1","1","226","344","06:14","04:16","118","8","8","13","4","4","4","5","0","5","2","3","1","2","1","1","0","0","2","2","1","1","0","0","1","0","1","0","0","0","0","3","1","1","0","01:58","1","1","0.5","1","","4","4","4","1.25","0","1.25","0","0.92","0.7","1","2118049","Mari Somvichian","2138783","Jess Lawson","1925105","Andjela Matic","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72964870","2695431-105097-5","2025-11-12T19:04:13Z","41098","2695431","7","5","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2481512","1","1","344","429","04:16","02:51","85","13","13","13","4","4","4","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","2","0","1","0","1","0","0","0","0","1","1","01:25","1","2","0","","","2","0.93","1.465","0","0","0","","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2481512","Kayla Jones"
"693fd810a9a4229a72965006","2695431-105097-6","2025-11-12T19:04:13Z","41098","2695431","8","6","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2118064","1","1","429","546.5","02:51","00:53","117.5","13","13","15","4","4","6","2","2","0","1","3","1","3","0","0","0","0","0","0","0","2","0","1","4","1","2","0","2","0","0","0","0","2","1","01:58","2","3","0.3333","","","3","2.93","2.965","0.6667","0.6826","-0.0159","0","0.46","0.34","0.62","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72965f5a","2695431-105097-7","2025-11-12T19:04:13Z","41098","2695431","9","7","105097","LMU (CA)","30","1","false","true","false","2118049-2270840-2291264-1688590-2481512","1","1","546.5","600","00:53","00:00","53.5","15","15","15","6","6","8","0","2","-2","0","1","0","0","0","1","0","0","0","0","0","0","0","0","3","0","3","0","0","2","0","0","0","1","1","00:54","0","2","","0","","1","0.59","0.795","0","3.3898","-3.3898","","","","","2118049","Mari Somvichian","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones"
"693fd810a9a4229a729654eb","2695431-105097-8","2025-11-12T19:04:13Z","41098","2695431","10","8","105097","LMU (CA)","30","1","false","true","false","1925105-2270840-2291264-1688590-2118064","2","2","600","703","10:00","08:17","103","15","15","20","8","8","11","5","3","2","2","3","1","1","1","2","0","0","1","0","0","0","1","1","2","1","1","0","1","2","0","1","0","0","1","01:43","1","1","1","0.5","","1.93","2.73","2.33","2.5907","1.0989","1.4918","","","","","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72964a4d","2695431-105097-9","2025-11-12T19:04:13Z","41098","2695431","11","9","105097","LMU (CA)","30","1","false","true","false","1925105-2270840-2291264-2481512-2118064","2","2","703","761","08:17","07:19","58","20","20","22","11","11","11","2","0","2","1","3","1","2","0","1","0","0","1","0","0","1","1","0","1","0","1","0","0","0","0","0","0","1","0","00:58","2","1","0.5","0","","1.93","1","1.465","1.0363","0","1.0363","","","","","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","2481512","Kayla Jones","2118064","Maya Hernandez"
"693fd810a9a4229a72965adb","2695431-105097-10","2025-11-12T19:04:13Z","41098","2695431","12","10","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-2481512-2118064","2","2","761","834","07:19","06:06","73","22","22","22","11","11","15","0","4","-4","0","1","0","0","0","1","0","0","0","0","0","0","0","2","2","2","2","0","0","0","0","0","0","0","0","01:13","0","0","","0","","1","2","1.5","0","2","-2","","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","2481512","Kayla Jones","2118064","Maya Hernandez"
