"_id","rowId","updated","competitionId","gameId","stint","flowStint","teamId","teamMarket","conferenceId","divisionId","isExhib","inDivision","isQualified","lineupId","periodNumber","gameFlowPeriod","sStart","sEnd","cStart","cEnd","secs","scoreStart","scoreStartFixed","scoreEnd","scoreStartAgst","scoreStartAgstFixed","scoreEndAgst","ptsScored","ptsAgst","netPts","fgm","fga","fgm2","fga2","fgm3","fga3","ftm","fta","ast","stl","tov","drb","orb","fgmAgst","fgaAgst","fgm2Agst","fga2Agst","fgm3Agst","fga3Agst","ftaAgst","astAgst","tovAgst","stlAgst","drbAgst","orbAgst","cDiff","reb","rebAgst","fg2Pct","fg3Pct","ftPct","oPoss","dPoss","avgPoss","oppp","dppp","netppp","pId1","pName1","pId2","pName2","pId3","pName3","pId4","pName4","pId5","pName5","transferKeyPctile","netpppPctile","opppPctile","dpppPctile"
"693fd810a9a4229a729650f3","2695937-105097-1","2025-11-30T03:00:17Z","41098","2695937","3","1","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2118064","1","1","0","227","10:00","06:13","227","0","0","5","0","0","5","5","5","0","2","4","1","3","1","1","0","0","2","0","2","2","0","2","4","2","4","0","0","2","1","2","1","2","0","03:47","2","2","0.3333","1","","6","6.8","6.4","0.8333","0.7353","0.098","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez","0","0.54","0.46","0.57"
"693fd810a9a4229a72965708","2695937-105097-2","2025-11-30T03:00:17Z","41098","2695937","4","2","105097","LMU (CA)","30","1","false","true","true","1925105-2270840-2291264-1688590-2481512","1","1","227","335","06:13","04:25","108","5","5","9","5","5","9","4","4","0","2","3","2","3","0","0","0","0","0","1","1","0","0","2","2","2","2","0","0","0","2","1","0","1","0","01:48","0","1","0.6667","","","4","3","3.5","1","1.3333","-0.3333","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones","0","0.33","0.56","0.24"
"693fd810a9a4229a729652fb","2695937-105097-3","2025-11-30T03:00:17Z","41098","2695937","5","3","105097","LMU (CA)","30","1","false","true","true","2118049-1925105-2291264-2118064-2283300","1","1","335","424","04:25","02:56","89","9","9","11","9","9","13","2","4","-2","1","3","1","3","0","0","0","0","0","0","0","2","0","2","4","2","4","0","0","0","1","0","0","2","0","01:29","2","2","0.3333","","","3","4","3.5","0.6667","1","-0.3333","2118049","Mari Somvichian","1925105","Andjela Matic","2291264","Zawadi Ogot","2118064","Maya Hernandez","2283300","Ana Milanovic","0","0.33","0.34","0.46"
"693fd810a9a4229a72965094","2695937-105097-4","2025-11-30T03:00:17Z","41098","2695937","6","4","105097","LMU (CA)","30","1","false","true","false","2118049-2138783-2291264-1688590-2481512","1","1","424","479","02:56","02:01","55","11","11","14","13","13","14","3","1","2","1","4","1","3","0","1","1","1","1","0","0","0","2","0","0","0","0","0","0","1","0","1","0","1","0","00:55","2","1","0.3333","0","1","2.26","1.4","1.83","1.3274","0.7143","0.6131","2118049","Mari Somvichian","2138783","Jess Lawson","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones","","","",""
"693fd810a9a4229a72964715","2695937-105097-5","2025-11-30T03:00:17Z","41098","2695937","7","5","105097","LMU (CA)","30","1","false","true","false","2118049-2270840-2291264-1688590-2481512","1","1","479","494","02:01","01:46","15","14","14","14","14","14","14","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","00:15","0","0","","","","0","1","0.5","","0","","2118049","Mari Somvichian","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones","","","",""
"693fd810a9a4229a72965b7b","2695937-105097-6","2025-11-30T03:00:17Z","41098","2695937","8","6","105097","LMU (CA)","30","1","false","true","false","2118049-2138783-2270840-1688590-2481512","1","1","494","547.9","01:46","00:52","53.9","14","14","16","14","14","16","2","2","0","1","1","1","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","1","0","0","0","0","00:54","0","0","1","","","1","1","1","2","2","0","2118049","Mari Somvichian","2138783","Jess Lawson","2270840","Ivana Krajina","1688590","Carly Heidger","2481512","Kayla Jones","","","",""
"693fd810a9a4229a72965c71","2695937-105097-7","2025-11-30T03:00:17Z","41098","2695937","9","7","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2118064","1","1","547.9","600","00:52","00:00","52.1","16","16","21","16","16","18","5","2","3","2","2","1","1","1","1","0","0","1","0","0","0","0","1","2","1","1","0","1","0","0","0","0","0","1","00:52","0","1","1","1","","2","0.93","1.465","2.5","2.1505","0.3495","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez","","","",""
"693fd810a9a4229a7296585e","2695937-105097-8","2025-11-30T03:00:17Z","41098","2695937","9","8","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2118064","2","2","600","681","10:00","08:39","81","21","21","25","18","18","21","4","3","1","2","3","2","3","0","0","0","0","1","0","1","1","1","1","2","0","1","1","1","0","1","0","1","0","0","01:21","2","0","0.6667","","","2.93","2","2.465","1.3652","1.5","-0.1348","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez","","","",""
"693fd810a9a4229a72965ae5","2695937-105097-9","2025-11-30T03:00:17Z","41098","2695937","10","9","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2481512","2","2","681","744","08:39","07:36","63","25","25","25","21","21","25","0","4","-4","0","1","0","0","0","1","0","0","0","0","0","0","0","2","2","2","2","0","0","0","0","0","0","1","0","01:03","0","1","","0","","1","2","1.5","0","2","-2","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2481512","Kayla Jones","","","",""
"693fd810a9a4229a72964ba4","2695937-105097-10","2025-11-30T03:00:17Z","41098","2695937","11","10","105097","LMU (CA)","30","1","false","true","false","2118049-2138783-2270840-1688590-2481512","2","2","744","784","07:36","06:56","40","25","25","27","25","25","25","2","0","2","1","1","1","1","0","0","0","0","0","0","0","2","0","0","1","0","1","0","0","1","0","0","0","0","0","00:40","2","0","1","","","1","1.4","1.2","2","0","2","2118049","Mari Somvichian","2138783","Jess Lawson","2270840","Ivana Krajina","1688590","Carly Heidger","2481512","Kayla Jones","","","",""
