"_id","rowId","updated","competitionId","gameId","stint","flowStint","teamId","teamMarket","conferenceId","divisionId","isExhib","inDivision","isQualified","lineupId","periodNumber","gameFlowPeriod","sStart","sEnd","cStart","cEnd","secs","scoreStart","scoreStartFixed","scoreEnd","scoreStartAgst","scoreStartAgstFixed","scoreEndAgst","ptsScored","ptsAgst","netPts","fgm","fga","fgm2","fga2","fgm3","fga3","ftm","fta","ast","stl","tov","drb","orb","fgmAgst","fgaAgst","fgm2Agst","fga2Agst","fgm3Agst","fga3Agst","ftaAgst","astAgst","tovAgst","stlAgst","drbAgst","orbAgst","cDiff","reb","rebAgst","fg2Pct","fg3Pct","ftPct","oPoss","dPoss","avgPoss","oppp","dppp","netppp","pId1","pName1","pId2","pName2","pId3","pName3","pId4","pName4","pId5","pName5","transferKeyPctile","netpppPctile","opppPctile","dpppPctile"
"693fd810a9a4229a72964a2b","2695936-105097-1","2025-11-24T00:11:04Z","41098","2695936","3","1","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2118064","1","1","0","157","10:00","07:23","157","0","0","4","0","0","0","4","0","4","2","5","2","4","0","1","0","0","0","1","0","1","1","0","2","0","2","0","0","0","0","3","0","2","0","02:37","2","2","0.5","0","","3.93","5","4.465","1.0178","0","1.0178","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez","0","0.88","0.58","1"
"693fd810a9a4229a7296449c","2695936-105097-2","2025-11-24T00:11:04Z","41098","2695936","4","2","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2481512","1","1","157","174","07:23","07:06","17","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","00:17","0","0","","","","0","0","0","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2481512","Kayla Jones","","","",""
"693fd810a9a4229a7296501e","2695936-105097-3","2025-11-24T00:11:04Z","41098","2695936","5","3","105097","LMU (CA)","30","1","false","true","true","1925105-2270840-2291264-1688590-2481512","1","1","174","263","07:06","05:37","89","4","4","8","0","0","2","4","2","2","1","1","1","1","0","0","2","2","0","0","1","1","0","1","3","1","3","0","0","0","0","1","0","0","1","01:29","1","1","1","","1","2.8","2.93","2.865","1.4286","0.6826","0.746","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones","0","0.8","0.8","0.62"
"693fd810a9a4229a72965ed9","2695936-105097-4","2025-11-24T00:11:04Z","41098","2695936","6","4","105097","LMU (CA)","30","1","false","true","false","2118049-2138783-1925105-1688590-2118064","1","1","263","332","05:37","04:28","69","8","8","8","2","2","5","0","3","-3","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","1","0","0","1","0","01:09","0","1","0","","","1","1","1","0","3","-3","2118049","Mari Somvichian","2138783","Jess Lawson","1925105","Andjela Matic","1688590","Carly Heidger","2118064","Maya Hernandez","","","",""
"693fd810a9a4229a72965aba","2695936-105097-5","2025-11-24T00:11:04Z","41098","2695936","7","5","105097","LMU (CA)","30","1","false","true","false","2118049-2138783-2270840-1688590-2118064","1","1","332","384","04:28","03:36","52","8","8","8","5","5","7","0","2","-2","0","2","0","1","0","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","2","0","00:52","0","2","0","0","","2","1","1.5","0","2","-2","2118049","Mari Somvichian","2138783","Jess Lawson","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez","","","",""
"693fd810a9a4229a72964e14","2695936-105097-6","2025-11-24T00:11:04Z","41098","2695936","8","6","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2118064","1","1","384","513","03:36","01:27","129","8","8","12","7","7","9","4","2","2","2","4","2","2","0","2","0","0","0","0","1","2","1","1","3","1","3","0","0","0","0","1","1","1","0","02:09","3","1","1","0","","3.93","4","3.965","1.0178","0.5","0.5178","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez","0","0.71","0.58","0.77"
"693fd810a9a4229a72965542","2695936-105097-7","2025-11-24T00:11:04Z","41098","2695936","9","7","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-2283482-2118064","1","1","513","600","01:27","00:00","87","12","12","13","9","9","11","1","2","-1","0","2","0","0","0","2","1","1","0","1","0","0","0","1","4","1","4","0","0","0","0","1","0","2","2","01:27","0","4","","0","1","2.4","1.79","2.095","0.4167","1.1173","-0.7007","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","2283482","Lova Lagerlid","2118064","Maya Hernandez","","","",""
"693fd810a9a4229a72964d3c","2695936-105097-8","2025-11-24T00:11:04Z","41098","2695936","10","8","105097","LMU (CA)","30","1","false","true","true","1925105-2270840-2291264-1688590-2481512","2","2","600","708","10:00","08:12","108","13","13","17","11","11","12","4","1","3","2","4","2","3","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","2","0","2","0","2","0","01:48","0","2","0.6667","0","","4","2.8","3.4","1","0.3571","0.6429","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones","0","0.75","0.56","0.83"
"693fd810a9a4229a72965b97","2695936-105097-9","2025-11-24T00:11:04Z","41098","2695936","11","9","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2118064","2","2","708","742","08:12","07:38","34","17","17","21","12","12","14","4","2","2","0","0","0","0","0","0","4","4","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","00:34","0","0","","","1","1.6","1","1.3","2.5","2","0.5","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez","","","",""
"693fd810a9a4229a7296534a","2695936-105097-10","2025-11-24T00:11:04Z","41098","2695936","12","10","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-2283482-2118064","2","2","742","887","07:38","05:13","145","21","21","25","14","14","18","4","4","0","2","3","2","2","0","1","0","0","1","0","0","1","0","2","3","2","2","0","1","0","1","1","0","1","0","02:25","1","1","1","0","","3","4","3.5","1.3333","1","0.3333","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","2283482","Lova Lagerlid","2118064","Maya Hernandez","0","0.63","0.75","0.46"
