"_id","rowId","updated","competitionId","gameId","stint","flowStint","teamId","teamMarket","conferenceId","divisionId","isExhib","inDivision","isQualified","lineupId","periodNumber","gameFlowPeriod","sStart","sEnd","cStart","cEnd","secs","scoreStart","scoreStartFixed","scoreEnd","scoreStartAgst","scoreStartAgstFixed","scoreEndAgst","ptsScored","ptsAgst","netPts","fgm","fga","fgm2","fga2","fgm3","fga3","ftm","fta","ast","stl","tov","drb","orb","fgmAgst","fgaAgst","fgm2Agst","fga2Agst","fgm3Agst","fga3Agst","ftaAgst","astAgst","tovAgst","stlAgst","drbAgst","orbAgst","cDiff","reb","rebAgst","fg2Pct","fg3Pct","ftPct","oPoss","dPoss","avgPoss","oppp","dppp","netppp","pId1","pName1","pId2","pName2","pId3","pName3","pId4","pName4","pId5","pName5","transferKeyPctile","netpppPctile","opppPctile","dpppPctile"
"693fd810a9a4229a729652c9","2695432-105097-1","2025-11-13T20:36:20Z","41098","2695432","3","1","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2118064","1","1","0","138","10:00","07:42","138","0","0","2","0","0","4","2","4","-2","1","2","1","2","0","0","0","0","0","0","2","0","0","2","2","2","2","0","0","0","1","2","0","1","0","02:18","0","1","0.5","","","4","4","4","0.5","1","-0.5","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez","0","0.28","0.23","0.46"
"693fd810a9a4229a729648f8","2695432-105097-2","2025-11-13T20:36:20Z","41098","2695432","4","2","105097","LMU (CA)","30","1","false","true","true","2118049-2270840-2291264-1688590-2481512","1","1","138","221","07:42","06:19","83","2","2","2","4","4","4","0","0","0","0","3","0","3","0","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","1","0","3","0","01:23","1","3","0","","","3","2","2.5","0","0","0","2118049","Mari Somvichian","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones","0","0.5","0.13","1"
"693fd810a9a4229a72964b05","2695432-105097-3","2025-11-13T20:36:20Z","41098","2695432","5","3","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-2481512-2118064","1","1","221","312","06:19","04:48","91","2","2","5","4","4","4","3","0","3","1","1","0","0","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","01:31","0","0","","1","","2","3","2.5","1.5","0","1.5","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","2481512","Kayla Jones","2118064","Maya Hernandez","0","0.96","0.83","1"
"693fd810a9a4229a72965008","2695432-105097-4","2025-11-13T20:36:20Z","41098","2695432","6","4","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2118064","1","1","312","444","04:48","02:36","132","5","5","7","4","4","6","2","2","0","1","3","1","3","0","0","0","0","1","0","1","1","1","1","3","1","2","0","1","0","0","1","1","1","1","02:12","2","2","0.3333","","","2.93","2.93","2.93","0.6826","0.6826","0","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez","0","0.5","0.37","0.62"
"693fd810a9a4229a729645d5","2695432-105097-5","2025-11-13T20:36:20Z","41098","2695432","7","5","105097","LMU (CA)","30","1","false","true","false","2118049-2270840-2291264-1688590-2118064","1","1","444","444","02:36","02:36","0","7","7","8","6","6","6","1","0","1","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","00:00","0","0","","","0.5","0.8","0","0.4","1.25","","","2118049","Mari Somvichian","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2118064","Maya Hernandez","","","",""
"693fd810a9a4229a729648f9","2695432-105097-6","2025-11-13T20:36:20Z","41098","2695432","8","6","105097","LMU (CA)","30","1","false","true","false","2118049-2270840-2291264-1688590-2481512","1","1","444","492","02:36","01:48","48","8","8","8","6","6","6","0","0","0","0","2","0","2","0","0","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","0","0","0","00:48","2","0","0","","","-0.14","1","0.43","0","0","0","2118049","Mari Somvichian","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones","","","",""
"693fd810a9a4229a729644fa","2695432-105097-7","2025-11-13T20:36:20Z","41098","2695432","9","7","105097","LMU (CA)","30","1","false","true","false","2118049-1925105-2291264-1688590-2481512","1","1","492","495","01:48","01:45","3","8","8","8","6","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","00:03","1","0","","","","0","0","0","","","","2118049","Mari Somvichian","1925105","Andjela Matic","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones","","","",""
"693fd810a9a4229a729645aa","2695432-105097-8","2025-11-13T20:36:20Z","41098","2695432","10","8","105097","LMU (CA)","30","1","false","true","false","2118049-2270840-2291264-1688590-2481512","1","1","495","502","01:45","01:38","7","8","8","8","6","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","00:07","0","0","","","","1","0","0.5","0","","","2118049","Mari Somvichian","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones","","","",""
"693fd810a9a4229a72965a7b","2695432-105097-9","2025-11-13T20:36:20Z","41098","2695432","11","9","105097","LMU (CA)","30","1","false","true","false","2118049-1925105-2291264-1688590-2481512","1","1","502","537","01:38","01:03","35","8","8","8","6","6","8","0","2","-2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","1","0","0","0","0","00:35","0","0","","","","0","1","0.5","","2","","2118049","Mari Somvichian","1925105","Andjela Matic","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones","","","",""
"693fd810a9a4229a729645ef","2695432-105097-10","2025-11-13T20:36:20Z","41098","2695432","12","10","105097","LMU (CA)","30","1","false","true","false","2118049-1925105-2291264-1688590-2118064","1","1","537","549.6","01:03","00:50","12.6","8","8","9","8","8","8","1","0","1","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","00:13","0","0","","","0.5","0.8","0","0.4","1.25","","","2118049","Mari Somvichian","1925105","Andjela Matic","2291264","Zawadi Ogot","1688590","Carly Heidger","2118064","Maya Hernandez","","","",""
