"_id","rowId","updated","competitionId","gameId","stint","flowStint","teamId","teamMarket","conferenceId","divisionId","isExhib","inDivision","isQualified","lineupId","periodNumber","gameFlowPeriod","sStart","sEnd","cStart","cEnd","secs","scoreStart","scoreStartFixed","scoreEnd","scoreStartAgst","scoreStartAgstFixed","scoreEndAgst","ptsScored","ptsAgst","netPts","fgm","fga","fgm2","fga2","fgm3","fga3","ftm","fta","ast","stl","tov","drb","orb","fgmAgst","fgaAgst","fgm2Agst","fga2Agst","fgm3Agst","fga3Agst","ftaAgst","astAgst","tovAgst","stlAgst","drbAgst","orbAgst","cDiff","reb","rebAgst","fg2Pct","fg3Pct","ftPct","oPoss","dPoss","avgPoss","oppp","dppp","netppp","pId1","pName1","pId2","pName2","pId3","pName3","pId4","pName4","pId5","pName5","transferKeyPctile","netpppPctile","opppPctile","dpppPctile"
"693fd810a9a4229a7296512e","2695939-105097-1","2025-12-06T04:05:40Z","41098","2695939","3","1","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2118064","1","1","0","144","10:00","07:36","144","0","0","4","0","0","3","4","3","1","2","4","2","3","0","1","0","0","2","0","0","2","0","1","4","0","1","1","3","0","1","1","0","2","1","02:24","2","3","0.6667","0","","4","3.93","3.965","1","0.7634","0.2366","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez","0","0.59","0.56","0.55"
"693fd810a9a4229a729648bc","2695939-105097-2","2025-12-06T04:05:40Z","41098","2695939","4","2","105097","LMU (CA)","30","1","false","true","true","1925105-2270840-2291264-1688590-1696172","1","1","144","216","07:36","06:24","72","4","4","4","3","3","3","0","0","0","0","1","0","1","0","0","0","0","0","1","2","2","0","0","2","0","1","0","1","0","0","2","1","1","0","01:12","2","1","0","","","3","4","3.5","0","0","0","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","1696172","Paula Reus Piza","0","0.5","0.13","1"
"693fd810a9a4229a7296459b","2695939-105097-3","2025-12-06T04:05:40Z","41098","2695939","5","3","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2291264-1688590-1696172","1","1","216","227","06:24","06:13","11","4","4","4","3","3","3","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","00:11","1","0","","0","","-0.07","0","-0.035","0","","","2138783","Jess Lawson","1925105","Andjela Matic","2291264","Zawadi Ogot","1688590","Carly Heidger","1696172","Paula Reus Piza","","","",""
"693fd810a9a4229a7296564b","2695939-105097-4","2025-12-06T04:05:40Z","41098","2695939","6","4","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2291264-1696172-2283300","1","1","227","325","06:13","04:35","98","4","4","9","3","3","8","5","5","0","2","4","2","4","0","0","1","2","1","1","0","0","1","2","2","1","1","1","1","0","1","2","0","2","0","01:38","1","2","0.5","","0.5","4.0867","4","4.0434","1.2235","1.25","-0.0265","2138783","Jess Lawson","1925105","Andjela Matic","2291264","Zawadi Ogot","1696172","Paula Reus Piza","2283300","Ana Milanovic","0","0.45","0.68","0.29"
"693fd810a9a4229a729657b6","2695939-105097-5","2025-12-06T04:05:40Z","41098","2695939","7","5","105097","LMU (CA)","30","1","false","true","true","2138783-2270840-2291264-1688590-2118064","1","1","325","446","04:35","02:34","121","9","9","13","8","8","12","4","4","0","1","2","1","2","0","0","2","2","1","0","1","0","0","1","1","0","0","1","1","2","1","1","0","1","0","02:01","0","1","0.5","","1","3.8","2.8","3.3","1.0526","1.4286","-0.3759","2138783","Jess Lawson","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2118064","Maya Hernandez","0","0.32","0.61","0.19"
"693fd810a9a4229a72964e01","2695939-105097-6","2025-12-06T04:05:40Z","41098","2695939","8","6","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2481512","1","1","446","536","02:34","01:04","90","13","13","15","12","12","14","2","2","0","1","2","1","2","0","0","0","0","1","1","1","1","0","1","2","1","1","0","1","0","1","2","1","1","0","01:30","1","1","0.5","","","3","4","3.5","0.6667","0.5","0.1667","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2481512","Kayla Jones","0","0.56","0.34","0.77"
"693fd810a9a4229a729648ae","2695939-105097-7","2025-12-06T04:05:40Z","41098","2695939","9","7","105097","LMU (CA)","30","1","false","true","false","1925105-2270840-2291264-1688590-2118064","1","1","536","600","01:04","00:00","64","15","15","15","14","14","14","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","01:04","1","0","0","","","2","1","1.5","0","0","0","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2118064","Maya Hernandez","","","",""
"693fd810a9a4229a72964f87","2695939-105097-8","2025-12-06T04:05:40Z","41098","2695939","10","8","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-2118064-1696172","2","2","600","699","10:00","08:21","99","15","15","19","14","14","16","4","2","2","1","2","0","1","1","1","1","2","1","1","2","0","1","1","1","1","1","0","0","0","0","2","1","1","0","01:39","1","1","0","1","0.5","4.265","3","3.6325","0.9379","0.6667","0.2712","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","2118064","Maya Hernandez","1696172","Paula Reus Piza","0","0.61","0.5","0.67"
"693fd810a9a4229a729644d7","2695939-105097-9","2025-12-06T04:05:40Z","41098","2695939","11","9","105097","LMU (CA)","30","1","false","true","false","2138783-2270840-2291264-1688590-1696172","2","2","699","736","08:21","07:44","37","19","19","19","16","16","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","00:37","0","0","","","","0","0","0","","","","2138783","Jess Lawson","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","1696172","Paula Reus Piza","","","",""
"693fd810a9a4229a72964d56","2695939-105097-10","2025-12-06T04:05:40Z","41098","2695939","12","10","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-1696172","2","2","736","852","07:44","05:48","116","19","19","19","16","16","18","0","2","-2","0","3","0","2","0","1","0","0","0","1","2","3","1","1","4","1","1","0","3","0","0","1","2","1","0","01:56","4","1","0","0","","3.395","5","4.1975","0","0.4","-0.4","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","1696172","Paula Reus Piza","0","0.31","0.13","0.81"
"693fd810a9a4229a729649c4","2695939-105097-11","2025-12-06T04:05:40Z","41098","2695939","13","11","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2118064","2","2","852","1021","05:48","02:59","169","19","19","22","18","18","18","3","0","3","1","5","0","3","1","2","0","0","1","1","1","2","2","0","3","0","2","0","1","0","0","1","1","1","1","02:49","4","2","0","0.5","","3.1467","2.93","3.0384","0.9534","0","0.9534","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez","0","0.85","0.51","1"
"693fd810a9a4229a729652ac","2695939-105097-12","2025-12-06T04:05:40Z","41098","2695939","14","12","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1696172-2283300","2","2","1021","1082","02:59","01:58","61","22","22","22","18","18","20","0","2","-2","0","0","0","0","0","0","0","0","0","0","1","1","0","1","2","1","2","0","0","0","0","0","1","0","0","01:01","1","0","","","","1","2","1.5","0","1","-1","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1696172","Paula Reus Piza","2283300","Ana Milanovic","","","",""
"693fd810a9a4229a72965db4","2695939-105097-13","2025-12-06T04:05:40Z","41098","2695939","15","13","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-2118064-2283300","2","2","1082","1108","01:58","01:32","26","22","22","22","20","20","21","0","1","-1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","00:26","0","0","","","","1","0.4","0.7","0","2.5","-2.5","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","2118064","Maya Hernandez","2283300","Ana Milanovic","","","",""
