"_id","rowId","updated","competitionId","gameId","stint","flowStint","teamId","teamMarket","conferenceId","divisionId","isExhib","inDivision","isQualified","lineupId","periodNumber","gameFlowPeriod","sStart","sEnd","cStart","cEnd","secs","scoreStart","scoreStartFixed","scoreEnd","scoreStartAgst","scoreStartAgstFixed","scoreEndAgst","ptsScored","ptsAgst","netPts","fgm","fga","fgm2","fga2","fgm3","fga3","ftm","fta","ast","stl","tov","drb","orb","fgmAgst","fgaAgst","fgm2Agst","fga2Agst","fgm3Agst","fga3Agst","ftaAgst","astAgst","tovAgst","stlAgst","drbAgst","orbAgst","cDiff","reb","rebAgst","fg2Pct","fg3Pct","ftPct","oPoss","dPoss","avgPoss","oppp","dppp","netppp","transferKeyPctile","netpppPctile","opppPctile","dpppPctile","pId1","pName1","pId2","pName2","pId3","pName3","pId4","pName4","pId5","pName5"
"693fd810a9a4229a72964d7a","2695429-105097-1","2025-11-06T03:04:17Z","41098","2695429","3","1","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2118064","1","1","0","185","10:00","06:55","185","0","0","6","0","0","2","6","2","4","2","3","1","1","1","2","1","2","1","0","3","4","1","1","5","1","3","0","2","0","1","0","0","1","0","03:05","5","1","1","0.5","0.5","6.265","5","5.6325","0.9577","0.4","0.5577","0","0.72","0.51","0.81","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72964fb8","2695429-105097-2","2025-11-06T03:04:17Z","41098","2695429","4","2","105097","LMU (CA)","30","1","false","true","true","1925105-2270840-2291264-1688590-2481512","1","1","185","273","06:55","05:27","88","6","6","9","2","2","4","3","2","1","1","1","0","0","1","1","0","0","1","0","1","1","0","1","2","1","2","0","0","0","1","1","1","0","0","01:28","1","0","","1","","2","3","2.5","1.5","0.6667","0.8333","0","0.83","0.83","0.67","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones"
"693fd810a9a4229a72964b9c","2695429-105097-3","2025-11-06T03:04:17Z","41098","2695429","5","3","105097","LMU (CA)","30","1","false","true","false","1925105-2270840-2291264-1688590-2118064","1","1","273","314","05:27","04:46","41","9","9","11","4","4","4","2","0","2","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","00:41","0","0","1","","","1","1","1","2","0","2","","","","","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a7296457a","2695429-105097-4","2025-11-06T03:04:17Z","41098","2695429","6","4","105097","LMU (CA)","30","1","false","true","false","2138783-2270840-2291264-2481512-2118064","1","1","314","344","04:46","04:16","30","11","11","11","4","4","4","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","00:30","0","1","0","","","1","0","0.5","0","","","","","","","2138783","Jess Lawson","2270840","Ivana Krajina","2291264","Zawadi Ogot","2481512","Kayla Jones","2118064","Maya Hernandez"
"693fd810a9a4229a72965cb5","2695429-105097-5","2025-11-06T03:04:17Z","41098","2695429","7","5","105097","LMU (CA)","30","1","false","true","false","1925105-2270840-2291264-2481512-2118064","1","1","344","422","04:16","02:58","78","11","11","13","4","4","8","2","4","-2","1","2","1","1","0","1","0","0","0","0","0","1","0","1","1","0","0","1","1","2","1","0","0","0","0","01:18","1","0","1","0","","2","1.8","1.9","1","2.2222","-1.2222","","","","","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","2481512","Kayla Jones","2118064","Maya Hernandez"
"693fd810a9a4229a729646ff","2695429-105097-6","2025-11-06T03:04:17Z","41098","2695429","8","6","105097","LMU (CA)","30","1","false","true","false","1925105-2270840-2291264-1688590-2481512","1","1","422","435","02:58","02:45","13","13","13","13","8","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","00:13","0","0","","","","0","1","0.5","","0","","","","","","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones"
"693fd810a9a4229a72965b33","2695429-105097-7","2025-11-06T03:04:17Z","41098","2695429","9","7","105097","LMU (CA)","30","1","false","true","false","2118049-1925105-2291264-1688590-2481512","1","1","435","517","02:45","01:23","82","13","13","15","8","8","10","2","2","0","1","2","1","2","0","0","0","0","1","0","0","0","0","1","1","1","1","0","0","0","1","0","0","1","0","01:22","0","1","0.5","","","2","1","1.5","1","2","-1","","","","","2118049","Mari Somvichian","1925105","Andjela Matic","2291264","Zawadi Ogot","1688590","Carly Heidger","2481512","Kayla Jones"
"693fd810a9a4229a72965dcb","2695429-105097-8","2025-11-06T03:04:17Z","41098","2695429","10","8","105097","LMU (CA)","30","1","false","true","false","2118049-2138783-2270840-1688590-2118064","1","1","517","522","01:23","01:18","5","15","15","15","10","10","12","0","2","-2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","00:05","0","0","","","","1","0.8","0.9","0","2.5","-2.5","","","","","2118049","Mari Somvichian","2138783","Jess Lawson","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72964957","2695429-105097-9","2025-11-06T03:04:17Z","41098","2695429","11","9","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-1688590-2118064","1","1","522","600","01:18","00:00","78","15","15","17","12","12","12","2","0","2","1","3","1","1","0","2","0","0","1","0","0","3","0","0","4","0","3","0","1","0","0","0","0","1","1","01:18","3","2","1","0","","3","2.93","2.965","0.6667","0","0.6667","0","0.77","0.34","1","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72964853","2695429-105097-10","2025-11-06T03:04:17Z","41098","2695429","12","10","105097","LMU (CA)","30","1","false","true","false","2118049-1925105-2270840-1688590-2118064","2","2","600","669","10:00","08:51","69","17","17","17","12","12","12","0","0","0","0","1","0","1","0","0","0","0","0","1","1","1","0","0","1","0","0","0","1","0","0","1","1","1","0","01:09","1","1","0","","","2","2","2","0","0","0","","","","","2118049","Mari Somvichian","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72964852","2695429-105097-11","2025-11-06T03:04:17Z","41098","2695429","13","11","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2481512","2","2","669","741","08:51","07:39","72","17","17","17","12","12","12","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","1","0","1","0","0","0","0","1","1","1","0","01:12","1","1","","0","","2","2","2","0","0","0","","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2481512","Kayla Jones"
"693fd810a9a4229a72964e9d","2695429-105097-12","2025-11-06T03:04:17Z","41098","2695429","14","12","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-2481512-2118064","2","2","741","766","07:39","07:14","25","17","17","17","12","12","13","0","1","-1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","2","0","0","1","0","0","00:25","1","0","","","","1","1.8","1.4","0","0.5556","-0.5556","","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","2481512","Kayla Jones","2118064","Maya Hernandez"
"693fd810a9a4229a72964955","2695429-105097-13","2025-11-06T03:04:17Z","41098","2695429","15","13","105097","LMU (CA)","30","1","false","true","true","2118049-2138783-1925105-2481512-2118064","2","2","766","845","07:14","05:55","79","17","17","19","13","13","13","2","0","2","1","2","1","2","0","0","0","0","1","0","1","2","0","0","2","0","1","0","1","0","0","0","1","1","0","01:19","2","1","0.5","","","3","2","2.5","0.6667","0","0.6667","0","0.77","0.34","1","2118049","Mari Somvichian","2138783","Jess Lawson","1925105","Andjela Matic","2481512","Kayla Jones","2118064","Maya Hernandez"
"693fd810a9a4229a7296581f","2695429-105097-14","2025-11-06T03:04:17Z","41098","2695429","16","14","105097","LMU (CA)","30","1","false","true","true","2118049-2138783-1925105-1688590-2118064","2","2","845","900","05:55","05:00","55","19","19","19","13","13","19","0","6","-6","0","0","0","0","0","0","0","0","0","0","3","0","0","3","3","3","3","0","0","0","1","1","3","0","0","00:55","0","0","","","","3","4","3.5","0","1.5","-1.5","0","0.04","0.13","0.16","2118049","Mari Somvichian","2138783","Jess Lawson","1925105","Andjela Matic","1688590","Carly Heidger","2118064","Maya Hernandez"
