lineup,poss_total,PM_p40,plus_minus,net_rtg,minutes,o_poss,d_poss,pts_for,pts_against,o_eFG%,o_TOV%,o_orbR,o_ftaR,off_rtg,d_eFG%,d_TOV%,d_orbR,d_ftaR,def_rtg,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg,team_minutes,team_plus_minus,team_pts_for,team_pts_against,team_o_poss,team_d_poss,team_poss_total,team_off_rtg,team_def_rtg,team_net_rtg,team_PM_p40
JL-AM-IK-MH-CH,27.4,12.592,2,13.427,6.353,13.8,13.6,12,10,0.143,0.145,0.0,1.714,86.957,0.333,0.0,0.0,0.333,73.529,4.592,-27.312,-22.536,-4.776,40.0,8,76,68,66.51,70.785,137.295,114.269,96.066,18.203,8.0
AC-IK-ZO-MH-CH,18.79,27.119,4,53.243,5.9,8.93,9.86,12,8,0.6,0.0,0.112,0.0,134.378,0.667,0.609,0.203,0.0,81.136,19.119,20.11,-14.93,35.04,40.0,8,76,68,66.51,70.785,137.295,114.269,96.066,18.203,8.0
JL-AM-AC-KJ-PR,11.73,44.24,4,71.233,3.617,5.8,5.93,10,6,1.125,0.172,0.0,0.5,172.414,0.5,0.169,0.169,0.0,101.18,36.24,58.145,5.115,53.03,40.0,8,76,68,66.51,70.785,137.295,114.269,96.066,18.203,8.0
JL-AM-IK-KJ-CH,7.4,-30.0,-2,-24.242,2.667,3.0,4.4,2,4,0.333,0.0,0.0,0.0,66.667,0.75,0.455,0.0,0.5,90.909,-38.0,-47.602,-5.156,-42.445,40.0,8,76,68,66.51,70.785,137.295,114.269,96.066,18.203,8.0
AM-IK-ZO-PR-CH,7.33,-59.504,-3,-45.377,2.017,2.93,4.4,2,5,0.25,0.0,0.341,0.0,68.259,0.667,0.227,0.0,0.333,113.636,-67.504,-46.009,17.571,-63.58,40.0,8,76,68,66.51,70.785,137.295,114.269,96.066,18.203,8.0
JL-AM-IK-KJ-PR,6.86,0.0,0,-29.706,1.967,3.86,3.0,4,4,0.4,0.259,0.518,0.0,103.627,1.0,0.333,0.0,0.0,133.333,-8.0,-10.642,37.268,-47.909,40.0,8,76,68,66.51,70.785,137.295,114.269,96.066,18.203,8.0
JL-AM-AC-MH-PR,7.6,63.158,3,78.947,1.9,3.8,3.8,8,5,1.0,0.0,0.0,0.667,210.526,1.0,0.263,0.0,1.0,131.579,55.158,96.258,35.513,60.744,40.0,8,76,68,66.51,70.785,137.295,114.269,96.066,18.203,8.0
JL-AM-IK-PR-CH,5.8,-66.79,-3,-95.238,1.797,2.8,3.0,2,5,0.0,0.357,0.0,2.0,71.429,0.833,0.0,0.0,0.0,166.667,-74.79,-42.84,70.601,-113.441,40.0,8,76,68,66.51,70.785,137.295,114.269,96.066,18.203,8.0
JL-AM-IK-MH-PR,5.13,93.204,4,73.642,1.717,3.13,2.0,7,3,0.667,0.0,0.319,1.0,223.642,1.5,0.5,0.0,0.0,150.0,85.204,109.374,53.934,55.439,40.0,8,76,68,66.51,70.785,137.295,114.269,96.066,18.203,8.0
AM-IK-ZO-MH-CH,5.0,47.059,2,66.667,1.7,3.0,2.0,2,0,0.333,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,0.0,39.059,-47.602,-96.066,48.464,40.0,8,76,68,66.51,70.785,137.295,114.269,96.066,18.203,8.0
JL-AM-AC-MH-CH,3.46,72.727,3,84.366,1.65,2.13,1.33,5,2,0.5,0.0,0.469,1.5,234.742,0.5,0.0,0.752,0.5,150.376,64.727,120.473,54.31,66.163,40.0,8,76,68,66.51,70.785,137.295,114.269,96.066,18.203,8.0
AM-AC-IK-MH-CH,5.8,-101.053,-4,-142.857,1.583,3.0,2.8,0,4,0.0,0.333,0.0,0.0,0.0,1.5,0.357,0.0,2.0,142.857,-109.053,-114.269,46.792,-161.06,40.0,8,76,68,66.51,70.785,137.295,114.269,96.066,18.203,8.0
JL-AM-AC-PR-CH,4.0,92.308,3,150.0,1.3,2.0,2.0,5,2,1.25,0.0,0.0,0.0,250.0,0.5,0.0,0.0,0.0,100.0,84.308,135.731,3.934,131.797,40.0,8,76,68,66.51,70.785,137.295,114.269,96.066,18.203,8.0
MS-AM-IK-MH-PR,4.8,30.769,1,55.556,1.3,1.8,3.0,1,0,0.0,0.0,0.0,2.0,55.556,0.0,0.0,0.0,0.0,0.0,22.769,-58.713,-96.066,37.353,40.0,8,76,68,66.51,70.785,137.295,114.269,96.066,18.203,8.0
JL-AC-IK-KJ-CH,3.73,0.0,0,15.607,1.267,1.73,2.0,2,2,0.0,0.578,0.578,2.0,115.607,1.0,0.5,0.0,0.0,100.0,-8.0,1.338,3.934,-2.596,40.0,8,76,68,66.51,70.785,137.295,114.269,96.066,18.203,8.0
AM-AC-IK-MH-PR,4.265,-35.821,-1,-44.15,1.117,2.0,2.265,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.442,0.442,2.0,44.15,-43.821,-114.269,-51.915,-62.353,40.0,8,76,68,66.51,70.785,137.295,114.269,96.066,18.203,8.0
JL-AC-IK-MH-CH,5.2,-181.818,-5,-94.771,1.1,1.8,3.4,2,7,0.0,0.0,0.0,2.0,111.111,1.0,0.0,0.0,0.333,205.882,-189.818,-3.157,109.817,-112.974,40.0,8,76,68,66.51,70.785,137.295,114.269,96.066,18.203,8.0
AM-IK-ZO-MH-PR,3.0,0.0,0,0.0,1.05,1.0,2.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-114.269,-96.066,-18.203,40.0,8,76,68,66.51,70.785,137.295,114.269,96.066,18.203,8.0
