players,plus_minus,o_poss,d_poss,pts_for,pts_against,minutes,off_rtg,def_rtg,net_rtg,PM_p40,team_PM_p40,team_off_rtg,team_def_rtg
PR,19,224.1,218.9,243,224,133.9,108.45,102.33,6.12,5.67,1.47,109.04,106.07
MH,21,366.1,364.9,405,384,213.7,110.62,105.24,5.38,3.93,1.47,109.04,106.07
AM,20,407.3,411.0,449,429,249.4,110.24,104.38,5.85,3.21,1.47,109.04,106.07
JL,11,309.9,305.7,364,353,182.9,117.46,115.46,2.0,2.41,1.47,109.04,106.07
KJ,3,87.3,92.2,96,93,59.9,110.01,100.82,9.19,2.0,1.47,109.04,106.07
AC,5,261.9,260.0,275,270,155.6,104.99,103.83,1.15,1.29,1.47,109.04,106.07
IK,5,281.6,284.1,298,293,173.3,105.82,103.12,2.7,1.15,1.47,109.04,106.07
ZO,-10,199.2,209.2,208,218,123.1,104.39,104.19,0.2,-3.25,1.47,109.04,106.07
CH,-17,318.5,325.8,341,358,196.0,107.07,109.89,-2.82,-3.47,1.47,109.04,106.07
MS,-1,18.5,19.2,19,20,11.4,102.93,104.17,-1.24,-3.52,1.47,109.04,106.07
AM7,-1,1.8,2.4,2,3,1.0,111.11,125.0,-13.89,-42.11,1.47,109.04,106.07
