lineup,poss_total,PM_p40,plus_minus,net_rtg,minutes,o_poss,d_poss,pts_for,pts_against,o_eFG%,o_TOV%,o_orbR,o_ftaR,off_rtg,d_eFG%,d_TOV%,d_orbR,d_ftaR,def_rtg,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg,team_minutes,team_plus_minus,team_pts_for,team_pts_against,team_o_poss,team_d_poss,team_poss_total,team_off_rtg,team_def_rtg,team_net_rtg,team_PM_p40
JL-AM-IK-MH-CH,178.985,16.134,23,21.976,57.022,90.95,88.035,114,91,0.557,0.132,0.165,0.23,125.344,0.533,0.193,0.102,0.171,103.368,14.668,16.306,-2.706,19.012,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
JL-AM-AC-MH-CH,73.333,-1.95,-1,-1.76,20.515,36.51,36.823,41,42,0.422,0.164,0.219,0.469,112.298,0.577,0.272,0.217,0.731,114.058,-3.416,3.26,7.984,-4.724,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
JL-AM-IK-MH-PR,67.39,12.413,6,21.668,19.335,33.208,34.181,48,42,0.414,0.151,0.331,0.931,144.542,0.629,0.176,0.146,0.258,122.874,10.946,35.504,16.8,18.704,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
AM-AC-ZO-MH-PR,59.045,30.934,13,49.728,16.81,28.52,30.525,31,18,0.458,0.14,0.14,0.5,108.696,0.342,0.36,0.066,0.421,58.968,29.467,-0.342,-47.106,46.764,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
AM-AC-ZO-MH-CH,43.64,-2.997,-1,-2.214,13.347,21.58,22.06,23,24,0.435,0.139,0.278,0.217,106.58,0.594,0.227,0.091,0.5,108.794,-4.464,-2.458,2.72,-5.178,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
AM-IK-ZO-MH-PR,36.25,21.654,6,15.638,11.083,19.73,16.52,21,15,0.679,0.304,0.051,0.143,106.437,0.406,0.242,0.242,0.125,90.799,20.187,-2.601,-15.275,12.674,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
JL-AM-ZO-MH-CH,39.17,-31.683,-8,-11.042,10.1,17.19,21.98,20,28,0.5,0.175,0.175,0.4,116.347,0.524,0.227,0.273,0.286,127.389,-33.15,7.309,21.314,-14.005,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
AM-AC-ZO-KJ-PR,26.207,8.303,2,22.096,9.635,12.617,13.59,13,11,0.542,0.159,0.159,0.083,103.038,0.458,0.294,0.221,0.167,80.942,6.836,-6.0,-25.133,19.133,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
JL-AM-AC-MH-PR,26.537,15.814,3,-10.433,7.588,15.26,11.277,16,13,0.429,0.066,0.131,0.429,104.849,0.545,0.266,0.355,0.273,115.282,14.347,-4.189,9.207,-13.396,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
AC-IK-ZO-MH-CH,21.79,32.579,6,73.533,7.367,9.93,11.86,14,8,0.636,0.0,0.101,0.0,140.987,0.5,0.506,0.169,0.0,67.454,31.113,31.949,-38.621,70.57,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
AM-AC-IK-MH-CH,22.53,-22.378,-4,-40.659,7.15,11.8,10.73,4,8,0.188,0.254,0.0,0.25,33.898,0.438,0.28,0.093,0.25,74.557,-23.844,-75.14,-31.517,-43.623,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
AM-AC-ZO-PR-CH,21.26,-16.981,-3,-39.075,7.067,11.0,10.26,15,18,0.75,0.091,0.0,0.0,136.364,0.667,0.097,0.195,0.667,175.439,-18.448,27.326,69.364,-42.039,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
JL-AC-IK-KJ-CH,21.39,-24.909,-4,-35.201,6.423,10.59,10.8,10,14,0.364,0.189,0.283,0.182,94.429,0.667,0.093,0.0,0.222,129.63,-26.376,-14.609,23.555,-38.165,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
JL-AC-IK-MH-CH,22.06,-31.513,-5,-38.988,6.347,10.66,11.4,8,13,0.429,0.469,0.188,0.286,75.047,0.667,0.175,0.0,0.111,114.035,-32.979,-33.991,7.961,-41.952,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
AM-IK-ZO-MH-CH,21.52,-76.596,-12,-77.103,6.267,9.0,12.52,6,18,0.375,0.111,0.0,0.0,66.667,0.533,0.08,0.319,0.133,143.77,-78.062,-42.371,37.696,-80.067,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
JL-AC-ZO-MH-CH,21.73,0.0,0,1.211,5.747,10.8,10.93,11,11,0.571,0.093,0.0,1.0,101.852,0.9,0.457,0.183,1.0,100.64,-1.467,-7.186,-5.434,-1.752,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
JL-AM-IK-PR-CH,16.45,-36.608,-5,-75.257,5.463,8.73,7.72,7,12,0.312,0.115,0.115,0.25,80.183,0.6,0.259,0.518,0.0,155.44,-38.074,-28.855,49.366,-78.221,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
JL-AM-AC-KJ-PR,18.73,44.61,6,43.998,5.38,10.0,8.73,17,11,1.083,0.2,0.0,0.833,170.0,0.562,0.115,0.115,0.25,126.002,43.143,60.962,19.928,41.034,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
JL-AC-IK-MH-PR,21.66,7.643,1,-5.848,5.233,11.4,10.26,16,15,0.917,0.263,0.0,1.0,140.351,0.7,0.195,0.195,0.1,146.199,6.177,31.313,40.124,-8.812,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
JL-AM-IK-KJ-CH,14.725,23.077,3,61.441,5.2,6.395,8.33,7,4,0.438,0.0,0.156,0.0,109.461,0.214,0.24,0.12,0.143,48.019,21.61,0.422,-58.055,58.478,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
JL-AM-IK-KJ-PR,13.79,-37.795,-4,-54.492,4.233,6.79,7.0,6,10,0.333,0.147,0.442,0.0,88.365,0.833,0.143,0.0,0.0,142.857,-39.262,-20.673,36.783,-57.455,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
AM-AC-IK-PR-CH,13.73,20.084,2,30.239,3.983,6.8,6.93,5,3,0.833,0.441,0.0,0.667,73.529,0.214,0.144,0.144,0.0,43.29,18.617,-35.509,-62.784,27.276,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
AM-IK-ZO-PR-CH,12.33,-53.812,-5,-54.027,3.717,4.93,7.4,2,7,0.167,0.0,0.203,0.0,40.568,0.5,0.135,0.0,0.167,94.595,-55.278,-68.47,-11.48,-56.99,299.998,11,540,529,495.24,498.706,993.946,109.038,106.074,2.964,1.467
