player1,player2,player3,minutes,pts_for,pts_against,o_poss,d_poss,plus_minus,off_rtg,def_rtg,net_rtg,PM_p40,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg
AM,MH,CH,119.9,219,221,198.43,200.948,-2,110.36637605200825,109.97870095746163,0.38767509454662274,-0.6672226855713094,-2.133879574525383,1.3283338906319386,3.904180097475944,-2.5758462068440053
JL,AM,MH,119.153,247,226,201.918,198.096,21,122.3268851712081,114.08609966884742,8.24078550236068,7.049759552843822,5.583102663889749,13.288843009831794,8.011578808861742,5.277264200970052
JL,AM,CH,109.263,212,197,179.895,179.948,15,117.84652158203394,109.47607086491654,8.370450717117407,5.491337415227479,4.024680526273405,8.808479420657633,3.4015500049308542,5.406929415726779
AM,IK,MH,103.927,195,175,169.888,167.251,20,114.78150310792992,104.63315615452224,10.148346953407682,7.697710893223127,6.231054004269053,5.743460946553611,-1.4413647054634424,7.184825652017054
JL,MH,CH,102.031,200,190,170.91,172.968,10,117.02065414545669,109.84690809860784,7.173746046848848,3.9203771402808947,2.453720251326821,7.982611984080378,3.7723872386221586,4.21022474545822
AM,IK,CH,93.119,147,148,144.605,148.665,-1,101.65623595311367,99.55268556822386,2.1035503848898003,-0.429557877554527,-1.8962147665086009,-7.381806208262645,-6.521835291761818,-0.8599709165008278
JL,IK,MH,91.80199999999999,195,168,156.40800000000002,152.476,27,124.67392972226483,110.18127443007424,14.492655292190591,11.764449576261956,10.297792687307883,15.63588756088852,4.106753570088557,11.529133990799963
JL,AM,IK,91.456,182,159,147.073,145.266,23,123.74807068598585,109.45438024038661,14.293690445599239,10.059482155353393,8.59282526639932,14.710028524609541,3.37985938040093,11.330169144208611
IK,MH,CH,84.153,146,139,132.34,135.345,7,110.32189814115159,102.70050611400494,7.621392027146655,3.3272729433294117,1.8606160543753378,1.2838559797752822,-3.3740147459807446,4.657870725756027
JL,IK,CH,80.455,146,135,127.325,127.085,11,114.66719026114274,106.22811504111422,8.439075220028514,5.4688956559567465,4.002238767002673,5.629148099766425,0.15359418112853973,5.475553918637885
AM,AC,MH,67.999,118,108,119.67,116.48,10,98.6044956964987,92.71978021978022,5.884715476718483,5.882439447638936,4.415782558684862,-10.433546464877608,-13.354740640205463,2.921194175327855
AM,AC,CH,65.133,112,121,109.6,109.533,-9,102.18978102189782,110.4689910803137,-8.279210058415885,-5.527152134862512,-6.993809023816587,-6.848261139478495,4.394470220328017,-11.242731359806513
AM,MH,PR,62.372,124,97,110.318,105.368,27,112.40232781595026,92.05830992331639,20.34401789263387,17.315462066311806,15.848805177357733,3.3642856545739477,-14.016210936669296,17.380496591243244
AC,MH,CH,62.175000000000004,105,111,105.41,106.603,-6,99.61104259557916,104.1246494001107,-4.513606804531534,-3.8600723763570564,-5.32672926531113,-9.426999565797146,-1.9498714598749842,-7.477128105922162
AM,AC,PR,61.733,112,83,101.187,99.777,29,110.68615533615977,83.18550367319122,27.50065166296855,18.790598221372687,17.323941332418613,1.648113174783461,-22.88901718679446,24.537130361577923
AM,ZO,MH,60.204,105,107,100.82,107.60499999999999,-2,104.14600277722674,99.43775846847267,4.708244308754075,-1.3288153611055744,-2.7954722500596483,-4.8920393841495695,-6.636762391513017,1.7447230073634472
AM,IK,PR,55.118,97,96,89.248,90.946,1,108.68590892793115,105.55714379961736,3.1287651283137876,0.72571573714576,-0.7409411518083139,-0.35213323344515857,-0.5173770603683181,0.16524382692315953
AM,ZO,PR,55.105,90,78,86.457,87.085,12,104.09799090877547,89.56766377676982,14.530327132005652,8.710643317303331,7.243986428349258,-4.940051252600838,-16.506857083215863,11.566805830615024
AM,ZO,CH,51.52,84,114,81.56,91.41,-30,102.99166257969591,124.71283229405974,-21.721169714363825,-23.291925465838506,-24.75858235479258,-6.046379581680398,18.638311434074055,-24.684691015754453
JL,AM,PR,49.665,104,101,85.318,79.968,3,121.89690334982069,126.30052020808323,-4.403616858262538,2.4161884627000907,0.9495315737460168,12.85886118844438,20.225999348097545,-7.367138159653166
JL,AC,CH,49.449,90,101,85.73,86.153,-11,104.98075352851977,117.23329425556857,-12.252540727048796,-8.89805658355073,-10.364713472504803,-4.05728863285654,11.158773395582884,-15.216062028439424
AM,AC,ZO,49.241,88,79,77.847,80.965,9,113.04224954076587,97.5730253813376,15.469224159428265,7.310980686826019,5.844323797871946,4.004207379389555,-8.501495478648081,12.505702858037637
AC,ZO,MH,48.488,86,75,80.82,84.705,11,106.40930462756744,88.54258898530193,17.866715642265504,9.074410163339383,7.60775327438531,-2.6287375338088736,-17.53193187468375,14.903194340874876
ZO,MH,CH,46.525,81,97,75.63,85.14999999999999,-16,107.10035700119,113.91661773341164,-6.816260732221636,-13.756045137023106,-15.22270202597718,-1.9376851601863052,7.842096873425959,-9.779782033612264
