interval_num,interval_len,lineup,minutes,rel_PM_p40,PM_p40,o_poss,d_poss,plus_minus,net_rtg,off_rtg,def_rtg,poss_total,rel_net_rtg,team_minutes,team_plus_minus,team_pts_for,team_pts_against,team_o_poss,team_d_poss,team_poss_total,team_off_rtg,team_def_rtg,team_net_rtg,team_PM_p40,interval_start,interval_end,pts_for,pts_against,net_pts,o_eFG%,d_eFG%,o_TOV%,d_TOV%,o_orbR,d_orbR,o_ftaR,d_ftaR,rel_off_rtg,rel_def_rtg
1,3,JL-AM-IK-MH-CH,21.567,-3.231,-5.564,39.055,34.73,-3,-16.929,66.573,83.501,73.785,-13.39,120.0,-7.0,200.0,207.0,205.955,205.67,411.625,97.109,100.647,-3.538,-2.333,241213,241221,26,29,-3,0.276,0.42,0.23,0.173,0.077,0.029,0.414,0.48,-30.536,-17.145
1,3,JL-AM-AC-MH-CH,9.39,-10.446,-12.78,16.19,17.73,-3,-7.8,105.003,112.803,33.92,-4.262,120.0,-7.0,200.0,207.0,205.955,205.67,411.625,97.109,100.647,-3.538,-2.333,241213,241221,17,20,-3,0.429,0.65,0.185,0.226,0.247,0.113,0.429,1.2,7.894,12.156
1,3,JL-AC-IK-MH-CH,9.3,2.333,0.0,14.92,15.92,0,8.42,134.048,125.628,30.84,11.958,120.0,-7.0,200.0,207.0,205.955,205.67,411.625,97.109,100.647,-3.538,-2.333,241213,241221,20,20,0,0.406,0.531,0.0,0.188,0.268,0.251,0.5,0.188,36.94,24.981
1,3,AM-AC-ZO-MH-CH,8.1,-27.296,-29.63,10.79,14.59,-6,-21.813,74.143,95.956,25.38,-18.275,120.0,-7.0,200.0,207.0,205.955,205.67,411.625,97.109,100.647,-3.538,-2.333,241213,241221,8,14,-6,0.333,0.429,0.185,0.206,0.278,0.206,0.0,0.143,-22.966,-4.691
1,3,AC-IK-ZO-MH-CH,6.183,28.209,25.876,10.93,10.86,4,36.125,109.79,73.665,21.79,39.663,120.0,-7.0,200.0,207.0,205.955,205.67,411.625,97.109,100.647,-3.538,-2.333,241213,241221,12,8,4,0.545,0.667,0.091,0.645,0.091,0.184,0.0,0.0,12.681,-26.982
1,3,JL-IK-ZO-MH-CH,5.532,74.644,72.311,13.595,13.4,10,72.486,147.113,74.627,26.995,76.024,120.0,-7.0,200.0,207.0,205.955,205.67,411.625,97.109,100.647,-3.538,-2.333,241213,241221,20,10,10,0.773,0.5,0.074,0.373,0.221,0.0,0.727,1.0,50.004,-26.02
1,3,JL-AM-IK-MH-PR,4.55,37.498,35.165,7.417,6.0,4,38.014,121.348,83.333,13.417,41.553,120.0,-7.0,200.0,207.0,205.955,205.67,411.625,97.109,100.647,-3.538,-2.333,241213,241221,9,5,4,0.375,0.5,0.0,0.167,0.27,0.0,0.375,0.0,24.239,-17.313
1,3,JL-AC-ZO-PR-CH,3.973,-48.002,-50.336,5.0,5.0,-5,-100.0,100.0,200.0,10.0,-96.462,120.0,-7.0,200.0,207.0,205.955,205.67,411.625,97.109,100.647,-3.538,-2.333,241213,241221,5,10,-5,0.833,1.25,0.4,0.2,0.0,0.0,0.0,0.0,2.891,99.353
1,3,JL-AM-AC-KJ-PR,3.617,46.573,44.24,5.8,5.93,4,71.233,172.414,101.18,11.73,74.771,120.0,-7.0,200.0,207.0,205.955,205.67,411.625,97.109,100.647,-3.538,-2.333,241213,241221,10,6,4,1.125,0.5,0.172,0.169,0.0,0.169,0.5,0.0,75.305,0.534
1,3,AM-AC-ZO-KJ-CH,2.983,-91.521,-93.855,4.79,5.73,-7,-108.465,83.507,191.972,10.52,-104.927,120.0,-7.0,200.0,207.0,205.955,205.67,411.625,97.109,100.647,-3.538,-2.333,241213,241221,4,11,-7,0.25,1.125,0.0,0.349,0.626,0.175,0.0,0.5,-13.601,91.325
1,3,AM-IK-ZO-MH-PR,2.95,-24.785,-27.119,3.93,3.86,-2,-52.736,50.891,103.627,7.79,-49.198,120.0,-7.0,200.0,207.0,205.955,205.67,411.625,97.109,100.647,-3.538,-2.333,241213,241221,2,4,-2,0.25,0.333,0.254,0.0,0.254,0.518,0.0,0.0,-46.218,2.98
1,3,JL-AM-IK-KJ-CH,2.667,-27.667,-30.0,3.0,4.4,-2,-24.242,66.667,90.909,7.4,-20.704,120.0,-7.0,200.0,207.0,205.955,205.67,411.625,97.109,100.647,-3.538,-2.333,241213,241221,2,4,-2,0.333,0.75,0.0,0.455,0.0,0.0,0.0,0.5,-30.442,-9.738
1,3,AM-AC-ZO-MH-PR,2.6,33.103,30.769,4.0,4.395,2,54.494,100.0,45.506,8.395,58.032,120.0,-7.0,200.0,207.0,205.955,205.67,411.625,97.109,100.647,-3.538,-2.333,241213,241221,4,2,2,0.667,0.25,0.25,0.455,0.0,0.228,0.0,0.0,2.891,-55.14
1,3,JL-AC-IK-KJ-CH,2.417,-30.77,-33.103,2.66,4.0,-2,-24.812,75.188,100.0,6.66,-21.274,120.0,-7.0,200.0,207.0,205.955,205.67,411.625,97.109,100.647,-3.538,-2.333,241213,241221,2,4,-2,0.0,1.0,0.376,0.5,0.752,0.0,0.667,0.0,-21.921,-0.647
