team,isHome,player,initial,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
Idaho St.,False,alyse aby,,EOG,22.02,3,5,0,1,0,0,6,1,1,2,0,0,0,4,5,20251123
Idaho St.,False,alyse aby,,Q1,3.95,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,20251123
Idaho St.,False,alyse aby,,Q3,9.98,1,2,0,1,0,0,2,1,1,2,0,0,0,1,1,20251123
Idaho St.,False,alyse aby,,Q4,6.78,2,2,0,0,0,0,4,0,0,0,0,0,0,2,2,20251123
Idaho St.,False,asa wolfram,,EOG,11.97,3,4,0,0,0,0,6,0,2,2,0,0,0,0,0,20251123
Idaho St.,False,asa wolfram,,Q1,3.47,1,2,0,0,0,0,2,0,1,1,0,0,0,0,0,20251123
Idaho St.,False,asa wolfram,,Q2,5.27,1,1,0,0,0,0,2,0,1,1,0,0,0,0,0,20251123
Idaho St.,False,asa wolfram,,Q4,2.2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,20251123
Idaho St.,False,aspen caldwell,,EOG,18.55,2,3,0,0,2,2,6,1,2,3,0,0,0,1,5,20251123
Idaho St.,False,aspen caldwell,,Q1,3.47,1,1,0,0,0,0,2,0,2,2,0,0,0,0,0,20251123
Idaho St.,False,aspen caldwell,,Q2,5.2,1,1,0,0,2,2,4,0,0,0,0,0,0,1,2,20251123
Idaho St.,False,aspen caldwell,,Q3,6.53,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,20251123
Idaho St.,False,aspen caldwell,,Q4,3.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20251123
Idaho St.,False,halle wright,,EOG,19.98,1,3,0,2,2,2,4,0,0,0,0,0,0,0,3,20251123
Idaho St.,False,halle wright,,Q1,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20251123
Idaho St.,False,halle wright,,Q2,7.62,0,1,0,1,2,2,2,0,0,0,0,0,0,0,1,20251123
Idaho St.,False,halle wright,,Q3,2.37,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,20251123
Idaho St.,False,halle wright,,Q4,7.22,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,20251123
Idaho St.,False,kacey spink,,EOG,33.45,4,8,0,0,0,0,8,2,4,6,0,0,0,5,7,20251123
Idaho St.,False,kacey spink,,Q1,5.07,0,3,0,0,0,0,0,1,0,1,0,0,0,2,2,20251123
Idaho St.,False,kacey spink,,Q2,9.98,1,1,0,0,0,0,2,0,1,1,0,0,0,1,1,20251123
Idaho St.,False,kacey spink,,Q3,8.95,2,3,0,0,0,0,4,0,3,3,0,0,0,0,1,20251123
Idaho St.,False,kacey spink,,Q4,9.45,1,1,0,0,0,0,2,1,0,1,0,0,0,2,3,20251123
Idaho St.,False,maeva gauffrenet,,EOG,18.3,2,4,1,1,0,0,5,0,0,0,0,0,0,2,2,20251123
Idaho St.,False,maeva gauffrenet,,Q1,5.62,1,1,1,1,0,0,3,0,0,0,0,0,0,1,0,20251123
Idaho St.,False,maeva gauffrenet,,Q2,5.25,1,1,0,0,0,0,2,0,0,0,0,0,0,1,1,20251123
Idaho St.,False,maeva gauffrenet,,Q3,3.05,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,20251123
