team,isHome,period,PTS_POT,PTS_SCP,PTS_FBP,PTS_PIP,game_date
Gonzaga,True,EOG,18,15,10,40,20251228
Gonzaga,True,OT1,2,3,2,4,20251228
Gonzaga,True,OT2,2,0,6,2,20251228
Gonzaga,True,Q1,8,2,0,10,20251228
Gonzaga,True,Q2,2,2,2,4,20251228
Gonzaga,True,Q3,2,4,0,10,20251228
Gonzaga,True,Q4,2,4,0,10,20251228
LMU,False,EOG,16,13,8,36,20251228
LMU,False,OT1,3,2,0,6,20251228
LMU,False,OT2,0,0,0,2,20251228
LMU,False,Q1,3,0,3,6,20251228
LMU,False,Q2,2,7,2,8,20251228
LMU,False,Q3,2,0,3,0,20251228
LMU,False,Q4,6,4,0,14,20251228
