team,isHome,period,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,OREB,DREB,REB,AST,STL,BLK,TO,PF,game_date
LMU,True,EOG,231.26,29,62,3,10,16,24,77,10,21,31,0,0,0,11,39,20260122
LMU,True,Q1,47.22,7,17,1,4,0,0,15,1,7,8,0,0,0,2,6,20260122
LMU,True,Q2,63.43,6,19,1,2,3,3,16,6,4,10,0,0,0,4,10,20260122
LMU,True,Q3,49.25,6,12,1,4,5,7,18,2,6,8,0,0,0,3,9,20260122
LMU,True,Q4,51.75,10,14,0,0,8,14,28,1,4,5,0,0,0,2,14,20260122
Portland,False,EOG,233.51,26,62,5,17,11,12,68,11,16,27,0,0,0,16,39,20260122
Portland,False,Q1,45.07,5,16,1,5,5,5,16,3,6,9,0,0,0,3,6,20260122
Portland,False,Q2,53.67,7,13,1,2,1,1,16,2,3,5,0,0,0,5,10,20260122
Portland,False,Q3,58.120000000000005,7,19,1,6,4,4,19,4,5,9,0,0,0,1,9,20260122
Portland,False,Q4,54.05,7,14,2,4,1,2,17,2,2,4,0,0,0,7,14,20260122
