team,mean_rank,median_rank,best_rank,worst_rank,seasons_count,mean_normalized_rank,rank_stability
South Carolina,2.0,1,1,5,5,0.3,1.7
Connecticut,2.2,2,1,4,5,0.3,1.1
Stanford,12.4,3,1,50,5,3.2,21.1
Texas,9.2,4,3,22,5,2.3,7.9
Notre Dame,18.0,5,4,56,5,4.9,21.6
UCLA,16.4,6,5,41,5,4.3,15.4
LSU,22.2,7,3,66,5,6.1,25.7
North Carolina State,11.6,8,2,17,5,3.0,5.8
Maryland,17.4,9,4,31,5,4.6,10.9
Iowa,13.6,10,5,24,5,3.6,8.2
Indiana,16.0,11,5,34,5,4.2,11.2
Tennessee,18.4,12,12,30,5,4.9,6.9
Baylor,15.4,13,3,32,5,4.0,11.1
Ohio State,17.6,14,9,27,5,4.7,6.4
Oregon,36.4,15,10,99,5,9.9,37.0
Virginia Tech,23.4,16,9,47,5,6.3,16.5
Louisville,17.8,17,5,35,5,4.7,12.6
Duke,29.4,18,7,58,5,8.1,24.0
North Carolina,24.4,19,6,38,5,6.6,13.4
Gonzaga,37.8,20,12,95,5,10.3,34.2
West Virginia,35.8,21,13,62,5,9.8,23.3
Ole Miss,27.2,22,11,39,5,7.4,11.1
Michigan,26.0,23,14,48,5,7.0,13.3
Iowa State,23.4,24,10,36,5,6.3,11.6
Arizona,30.4,25,7,61,5,8.2,19.9
Utah,35.2,26,7,103,5,9.8,39.0
Creighton,39.2,27,18,93,5,10.9,30.5
USC,38.2,28,6,74,5,10.6,32.3
Alabama,33.4,29,17,53,5,9.1,13.0
Colorado,34.4,30,16,56,5,9.4,16.2
Georgia Tech,48.0,31,31,77,5,13.2,22.6
Georgia,55.6,32,15,106,5,15.2,41.7
Michigan State,38.6,33,21,71,5,10.6,20.6
Kentucky,61.8,34,19,149,5,17.0,54.2
Oklahoma,35.4,35,14,61,5,9.8,17.1
Washington State,55.8,36,29,124,5,15.4,40.0
Kansas State,45.2,37,9,99,5,12.6,37.3
Kansas,57.0,38,37,92,5,15.8,27.2
Nebraska,37.0,39,23,54,5,10.2,13.0
Princeton,96.6,40,20,343,5,27.6,138.1
Marquette,47.8,41,32,66,5,13.1,14.1
South Florida,58.6,42,30,109,5,16.1,33.6
Florida State,40.0,43,23,55,5,11.0,15.8
FGCU,46.8,44,36,62,5,12.9,10.9
South Dakota State,42.2,45,30,55,5,11.6,10.3
Oklahoma State,47.2,46,21,83,5,13.0,24.8
Mississippi State,45.4,47,33,60,5,12.5,10.2
Arkansas,63.4,48,24,136,5,17.4,44.9
Illinois,96.0,49,29,216,5,27.0,81.4
Oregon State,54.0,50,17,120,5,14.8,39.9
Texas A&M,66.0,51,13,114,5,18.1,44.7
UNLV,64.4,52,26,121,5,18.0,36.1
Miami (FL),59.8,53,40,84,5,16.6,18.4
Middle Tennessee,57.2,54,28,108,5,16.0,30.7
Missouri,62.6,55,47,85,5,17.3,14.8
Syracuse,67.2,56,44,108,5,18.6,27.8
Columbia,118.6,57,42,343,5,33.7,127.8
Villanova,52.2,58,12,70,5,14.4,23.5
Florida,63.0,59,48,83,5,17.5,16.0
Northern Iowa,73.6,60,54,96,5,20.4,19.4
Stephen F. Austin,77.8,61,28,147,5,21.5,44.5
Seton Hall,68.4,62,52,87,5,18.9,13.2
Belmont,63.8,63,45,81,5,17.7,15.9
Drake,63.8,64,51,80,5,17.7,12.4
Missouri State,70.2,65,20,114,5,19.3,40.6
Toledo,96.2,66,63,167,5,27.0,45.4
Washington,64.0,67,42,94,5,17.8,21.6
Green Bay,83.0,68,50,120,5,23.2,28.6
Clemson,78.8,69,58,111,5,21.9,22.0
DePaul,84.4,70,58,127,5,23.4,29.7
Virginia,114.2,71,53,229,5,32.2,76.0
Vanderbilt,82.2,72,22,160,5,23.1,51.9
Texas Tech,81.2,73,68,107,5,22.7,15.3
Purdue,88.4,74,49,137,5,24.6,34.6
Ball State,94.8,75,66,143,5,26.6,32.4
Houston,99.0,76,67,178,5,27.5,46.0
Rhode Island,89.8,77,67,117,5,25.1,24.3
Portland,100.4,78,78,161,5,28.1,35.6
Boston College,74.6,79,47,87,5,20.7,16.2
California,101.6,80,39,238,5,28.7,78.8
BYU,65.2,81,11,105,5,18.0,38.0
Saint John's,98.4,82,55,142,5,27.6,39.8
Auburn,83.6,83,45,128,5,23.4,31.6
Wake Forest,89.2,84,53,129,5,24.7,29.0
Penn State,84.0,85,27,130,5,23.4,36.9
Harvard,132.8,86,38,343,5,37.7,120.9
Minnesota,84.2,87,37,126,5,23.5,34.3
UCF,84.6,88,16,148,5,23.3,56.4
Colorado State,97.4,89,87,121,5,27.1,13.8
Tulane,101.4,90,57,159,5,28.1,42.7
UMass,125.0,91,46,284,5,34.8,96.3
Richmond,89.6,92,32,141,5,25.1,46.7
Saint Joseph's,109.8,93,53,178,5,30.9,56.5
Fordham,129.4,94,72,200,5,36.0,58.2
TCU,89.6,95,8,160,5,25.0,62.7
Jackson State,137.0,96,85,281,5,38.2,81.5
Buffalo,131.6,97,64,212,5,36.6,63.4
New Mexico,113.6,98,59,156,5,31.5,40.6
Fairfield,133.4,99,57,250,5,37.4,76.9
Rice,108.0,100,46,176,5,30.0,46.6
Wyoming,102.4,101,85,118,5,28.6,12.6
James Madison,114.8,102,60,177,5,32.1,43.1
Murray State,112.6,103,52,170,5,31.6,43.1
Cleveland State,109.2,104,69,149,5,30.6,34.1
Liberty,106.8,105,76,135,5,29.9,28.1
North Texas,123.0,106,87,199,5,34.3,44.0
Arizona State,97.8,107,49,133,5,27.2,33.1
Kent State,121.2,108,107,164,5,33.9,24.1
Troy,116.4,109,105,140,5,32.5,13.7
Tulsa,131.8,110,101,189,5,37.0,35.1
Rutgers,111.6,111,12,166,5,30.9,60.4
Georgetown,148.8,112,86,228,5,41.8,64.5
VCU,133.8,113,70,233,5,37.3,64.6
Stony Brook,151.8,114,72,277,5,42.3,79.7
Temple,116.2,115,94,146,5,32.5,21.2
Northwestern,106.0,116,27,191,5,29.3,62.8
Illinois State,104.8,117,69,125,5,29.1,25.0
Montana State,121.2,118,55,163,5,33.9,42.6
Northern Arizona,135.6,119,88,180,5,38.0,38.1
