,team,composite_score,mean_rank,median_rank,best_rank,worst_rank,seasons_count,mean_srs,median_srs,best_srs,worst_srs,most_common_conference,mean_normalized_rank,mean_normalized_srs,composite_rank,rank_stability,srs_stability
0,South Carolina,99.2,2.0,1.0,1,5,5,41.7,44.5,34.8,45.3,SEC,0.3,97.9,1,1.7,4.8
1,Connecticut,96.9,2.2,2.0,1,4,5,38.5,37.6,32.7,45.7,Big East,0.3,93.8,2,1.1,4.6
2,Texas,93.8,8.0,4.0,3,22,5,33.2,36.5,22.6,41.0,Big 12,2.0,87.3,3,8.0,7.2
3,UCLA,91.3,12.6,6.0,6,39,5,31.2,34.0,18.1,38.0,Pac-12,3.3,84.6,4,14.8,7.6
4,Notre Dame,90.7,16.0,8.0,4,48,5,28.9,32.3,14.9,39.8,ACC,4.3,81.9,5,18.1,9.4
5,Iowa,90.3,11.2,10.0,3,25,5,30.3,27.0,24.3,37.0,Big Ten,2.9,83.6,6,9.2,6.2
6,NC State,90.2,9.6,10.0,2,15,5,30.8,30.4,27.8,35.1,ACC,2.4,84.1,7,4.7,2.7
7,Louisiana State,89.8,18.6,8.0,5,54,5,27.9,34.1,13.8,35.3,SEC,5.1,80.7,8,20.9,9.5
8,Baylor,89.1,11.4,15.0,3,16,5,30.6,28.2,28.2,38.3,Big 12,2.9,83.6,9,5.7,4.4
9,Stanford,88.7,12.4,7.0,1,44,5,32.4,33.9,17.4,42.3,Pac-12,3.2,85.9,10,17.9,9.1
10,Ohio State,88.7,14.2,14.0,9,22,5,28.2,29.7,22.0,31.8,Big Ten,3.7,80.8,11,5.5,4.3
11,Southern California,87.6,27.6,11.0,5,61,5,25.4,30.2,12.8,39.5,Pac-12,7.6,77.5,12,25.9,11.4
12,Tennessee,87.0,18.0,18.0,9,24,5,26.2,24.5,23.8,33.8,SEC,4.8,78.3,13,6.4,4.3
13,Indiana,86.7,16.0,12.0,9,30,5,27.4,29.5,23.5,30.2,Big Ten,4.2,79.7,14,8.3,3.2
14,Duke,85.8,29.6,18.0,7,59,5,23.7,27.6,12.9,35.4,ACC,8.2,75.4,15,21.9,9.4
15,West Virginia,85.7,25.6,19.0,13,53,5,24.8,27.5,14.8,32.1,Big 12,6.9,76.5,16,15.8,6.7
16,Kansas State,85.7,31.4,16.0,11,78,5,23.8,28.2,10.0,33.2,Big 12,8.7,75.5,17,27.8,9.2
17,Maryland,85.0,20.2,26.0,4,30,5,26.7,25.7,22.6,36.3,Big Ten,5.4,78.7,18,12.0,5.6
18,Louisville,85.0,19.2,23.0,5,35,5,26.3,24.6,22.6,30.4,ACC,5.1,78.3,19,11.9,3.4
19,Utah,84.6,29.2,24.0,13,69,5,23.2,26.1,11.0,28.7,Pac-12,8.0,74.7,20,23.1,7.4
20,Oklahoma,84.6,28.4,26.0,10,52,5,22.9,23.2,13.9,33.4,Big 12,7.8,74.3,21,15.1,7.0
21,Michigan State,83.8,30.8,21.0,21,64,5,23.1,26.7,12.4,28.8,Big Ten,8.4,74.3,22,18.7,6.7
22,North Carolina,83.6,27.0,34.0,6,36,5,23.5,21.0,17.8,29.6,ACC,7.3,74.9,23,12.9,5.1
23,Mississippi,83.5,28.8,33.0,14,39,5,22.4,21.3,16.8,31.2,SEC,7.9,73.6,24,9.7,5.3
24,Iowa State,83.3,24.2,28.0,9,33,5,23.5,22.9,22.5,26.3,Big 12,6.5,74.9,25,9.2,1.5
25,Virginia Tech,82.9,26.2,20.0,16,43,5,23.0,24.5,17.6,26.9,ACC,7.1,74.3,26,11.1,4.3
26,Michigan,82.6,28.4,24.0,12,44,5,23.4,23.7,19.1,28.1,Big Ten,7.7,74.7,27,14.9,4.3
27,Colorado,82.2,28.2,29.0,14,51,5,22.3,20.5,15.2,28.6,Pac-12,7.7,73.3,28,15.4,6.1
28,Alabama,82.0,34.4,32.0,18,52,5,20.9,21.8,14.9,29.2,SEC,9.4,71.7,29,12.3,5.5
29,Nebraska,81.6,31.4,29.0,20,41,5,21.2,22.5,16.0,22.8,Big Ten,8.6,72.1,30,8.3,3.0
30,Florida State,80.5,38.8,40.0,22,47,5,19.7,19.8,15.3,28.3,ACC,10.7,70.2,31,9.9,5.3
31,Creighton,80.2,41.6,31.0,27,84,5,19.4,21.8,8.6,23.1,Big East,11.5,69.8,32,24.2,6.1
32,Arizona,80.1,30.4,35.0,8,55,5,22.3,21.2,14.8,31.0,Pac-12,8.2,73.1,33,17.9,5.8
33,Mississippi State,79.0,41.8,38.0,31,58,5,18.5,20.0,13.3,23.4,SEC,11.5,68.6,34,10.2,4.0
34,Oklahoma State,78.1,44.2,51.0,21,70,5,18.7,17.0,11.8,25.0,Big 12,12.1,68.7,35,19.7,5.3
35,Gonzaga,78.0,39.0,27.0,22,95,5,20.3,21.0,7.5,26.3,WCC,10.6,70.7,36,31.5,7.7
36,TCU,77.0,63.8,47.0,12,127,5,16.0,18.2,2.6,32.9,Big 12,17.8,65.6,37,44.0,11.5
37,Georgia Tech,76.9,46.0,35.0,29,68,5,17.9,19.8,12.6,24.5,ACC,12.6,67.7,38,20.2,5.2
38,Oregon State,76.4,43.8,17.0,17,126,5,20.0,23.9,4.1,27.9,Pac-12,12.0,70.3,39,47.2,10.1
39,Washington,76.1,53.2,46.0,40,83,5,16.3,18.6,9.6,20.6,Pac-12,14.7,65.8,40,17.1,4.5
40,Oregon,76.0,45.6,34.0,7,87,5,19.4,22.8,9.0,31.0,Pac-12,12.4,69.3,41,39.1,9.9
41,Kansas,75.8,50.8,37.0,33,80,5,16.5,19.9,9.8,20.3,Big 12,14.1,66.1,42,21.3,5.1
42,Vanderbilt,75.8,68.4,53.0,20,151,5,14.7,16.4,-0.8,28.9,SEC,19.2,64.0,43,49.1,10.6
43,Texas A&M,75.7,44.0,34.0,19,88,5,18.1,21.3,8.7,23.7,SEC,12.0,67.8,44,26.3,6.1
44,Penn State,75.3,55.4,61.0,25,104,5,15.4,12.7,4.9,23.6,Big Ten,15.4,64.7,45,32.7,8.1
45,Marquette,75.2,50.0,45.0,40,63,5,16.1,16.8,12.4,19.0,Big East,13.8,65.4,46,9.6,3.1
46,Florida,74.6,54.8,56.0,42,70,5,14.9,15.4,10.9,17.7,SEC,15.2,64.0,47,10.3,2.5
47,South Dakota State,74.3,52.8,56.0,34,64,5,15.3,13.5,13.2,19.8,Summit,14.6,64.4,48,12.9,2.9
48,Auburn,74.0,64.6,48.0,39,111,5,13.7,15.8,4.6,19.9,SEC,18.1,62.6,49,32.4,7.0
49,Nevada-Las Vegas,73.8,64.8,53.0,42,107,5,13.9,15.1,5.0,19.6,MWC,18.1,62.8,50,28.2,6.4
50,Syracuse,73.6,56.6,41.0,35,95,5,15.0,17.7,6.6,19.7,ACC,15.6,64.1,51,25.7,5.8
