"","Team","Record","NET Rank","NET Delta"
" "," Stanford","31 - 2","1",""
" "," Connecticut","28 - 2","2",""
" "," Baylor","28 - 3","3",""
" "," Maryland","26 - 3","4",""
" "," South Carolina","26 - 5","5",""
" "," Louisville","26 - 4","6",""
" "," Arizona","21 - 6","7",""
" "," UCLA","17 - 6","8",""
" "," Indiana","21 - 6","9",""
" "," Oregon","15 - 9","10",""
" "," North Carolina State","22 - 3","11",""
" "," Rutgers","14 - 5","12",""
" "," Texas A&M","25 - 3","13",""
" "," Michigan","16 - 6","14",""
" "," Georgia","21 - 7","15",""
" "," Tennessee","17 - 8","16",""
" "," Gonzaga","23 - 4","17",""
" "," Ohio State","13 - 7","18",""
" "," Iowa","20 - 10","19",""
" "," Missouri State","22 - 3","20",""
" "," Oklahoma State","19 - 9","21",""
" "," Texas","21 - 10","22",""
" "," West Virginia","22 - 7","23",""
" "," Arkansas","19 - 9","24",""
" "," Iowa State","17 - 11","25",""
" "," Kentucky","18 - 9","26",""
" "," Northwestern","16 - 9","27",""
" "," Stephen F. Austin","22 - 3","28",""
" "," Oregon State","11 - 8","29",""
" "," South Florida","19 - 4","30",""
" "," Georgia Tech","17 - 9","31",""
" "," Marquette","19 - 7","32",""
" "," Virginia Tech","15 - 10","33",""
" "," Michigan State","15 - 9","34",""
" "," South Dakota","18 - 6","35",""
" "," Alabama","17 - 10","36",""
" "," Washington State","12 - 12","37",""
" "," North Carolina","13 - 11","38",""
" "," Ole Miss","15 - 12","39",""
" "," UCF","16 - 5","40",""
" "," Bucknell","9 - 1","41",""
" "," BYU","19 - 6","42",""
" "," FGCU","24 - 3","43",""
" "," Syracuse","14 - 9","44",""
" "," Colorado","11 - 11","45",""
" "," Rice","23 - 4","46",""
" "," Missouri","9 - 13","47",""
" "," Mississippi State","10 - 9","48",""
" "," South Dakota State","21 - 4","49",""
" "," IUPUI","15 - 5","50",""
" "," Drake","18 - 12","51",""
" "," Seton Hall","14 - 7","52",""
" "," Wake Forest","12 - 13","53",""
" "," Nebraska","13 - 13","54",""
" "," Florida State","10 - 9","55",""
" "," Notre Dame","10 - 10","56",""
" "," Tulane","18 - 9","57",""
" "," Duke","3 - 1","58",""
" "," New Mexico","14 - 5","59",""
" "," Villanova","17 - 7","60",""
" "," Oklahoma","12 - 12","61",""
" "," Delaware","23 - 5","62",""
" "," Northern Iowa","17 - 13","63",""
" "," Belmont","21 - 6","64",""
" "," Bowling Green","21 - 8","65",""
" "," LSU","9 - 13","66",""
" "," Houston","17 - 8","67",""
" "," Milwaukee","20 - 8","68",""
" "," Illinois State","15 - 9","69",""
" "," USC","11 - 12","70",""
" "," Clemson","12 - 14","71",""
" "," Washington","7 - 14","72",""
" "," DePaul","14 - 10","73",""
" "," Miami (FL)","11 - 11","74",""
" "," UC Davis","13 - 3","75",""
" "," Florida","12 - 14","76",""
" "," Wright State","19 - 8","77",""
" "," Tennessee-Martin","22 - 6","78",""
" "," Bradley","16 - 12","79",""
" "," Idaho State","21 - 4","80",""
" "," Arizona State","12 - 12","81",""
" "," Fresno State","17 - 11","82",""
" "," Dayton","14 - 5","83",""
" "," Penn State","9 - 15","84",""
" "," Boston College","7 - 12","85",""
" "," Saint Louis","14 - 5","86",""
" "," Colorado State","13 - 6","87",""
" "," California Baptist","24 - 1","88",""
" "," Lehigh","10 - 6","89",""
" "," Central Michigan","18 - 9","90",""
" "," Maine","17 - 3","91",""
" "," Kansas","7 - 18","92",""
" "," Creighton","10 - 12","93",""
" "," UMass","16 - 8","94",""
" "," Ohio","15 - 10","95",""
" "," Boston University","12 - 3","96",""
" "," Fordham","12 - 6","97",""
" "," TCU","10 - 15","98",""
" "," Kansas State","9 - 18","99",""
" "," Buffalo","15 - 9","100",""
" "," San Francisco","15 - 11","101",""
" "," Drexel","14 - 9","102",""
" "," Utah","5 - 16","103",""
" "," Wyoming","14 - 10","104",""
" "," Green Bay","15 - 7","105",""
" "," Charlotte","10 - 12","106",""
" "," Texas Tech","9 - 15","107",""
" "," Middle Tennessee","17 - 8","108",""
" "," Purdue","7 - 16","109",""
" "," Marist","18 - 4","110",""
" "," North Dakota State","15 - 9","111",""
" "," San Diego","11 - 7","112",""
" "," Montana State","17 - 7","113",""
" "," Troy","20 - 6","114",""
" "," Stony Brook","15 - 6","115",""
" "," VCU","16 - 11","116",""
" "," Rhode Island","11 - 8","117",""
" "," North Texas","13 - 7","118",""
" "," Pacific","11 - 11","119",""
" "," Jackson State","18 - 6","120",""
" "," UNLV","15 - 9","121",""
" "," Valparaiso","12 - 13","122",""
" "," Santa Clara","14 - 11","123",""
" "," Old Dominion","13 - 11","124",""
" "," North Carolina A&T","13 - 3","125",""
" "," Minnesota","8 - 13","126",""
" "," Northern Kentucky","8 - 11","127",""
" "," Auburn","5 - 19","128",""
" "," Pittsburgh","5 - 14","129",""
" "," Mount Saint Mary's","17 - 7","130",""
" "," James Madison","14 - 10","131",""
" "," UTEP","17 - 8","132",""
" "," Idaho","17 - 7","133",""
" "," Northern Illinois","12 - 12","134",""
" "," Liberty","17 - 8","135",""
" "," Eastern Michigan","10 - 10","136",""
" "," Jacksonville State","15 - 9","137",""
" "," Louisiana Tech","14 - 10","138",""
" "," Saint John's","8 - 15","139",""
" "," Boise State","13 - 9","140",""
" "," Richmond","13 - 9","141",""
" "," Tennessee Tech","15 - 10","142",""
" "," Ball State","14 - 11","143",""
" "," Mercer","18 - 7","144",""
" "," Illinois","5 - 18","145",""
" "," Temple","11 - 11","146",""
" "," Louisiana","16 - 8","147",""
" "," Marshall","8 - 11","148",""
" "," Cleveland State","13 - 9","149",""
" "," Long Beach State","11 - 9","150",""
" "," Cincinnati","8 - 16","151",""
" "," Wisconsin","5 - 19","152",""
" "," Wichita State","6 - 12","153",""
" "," Towson","12 - 9","154",""
" "," Loyola-Chicago","11 - 15","155",""
" "," Elon","7 - 8","156",""
" "," Southeast Missouri","14 - 11","157",""
" "," FAU","10 - 11","158",""
" "," East Carolina","8 - 14","159",""
" "," Vanderbilt","4 - 4","160",""
" "," Portland","13 - 13","161",""
" "," Sam Houston State","12 - 8","162",""
" "," Nevada","11 - 9","163",""
" "," Kent State","11 - 9","164",""
" "," Grand Canyon","15 - 7","165",""
" "," Alabama State","16 - 4","166",""
" "," Toledo","12 - 12","167",""
" "," Samford","12 - 11","168",""
" "," Fairfield","11 - 5","169",""
" "," Murray State","16 - 11","170",""
" "," Austin Peay","11 - 11","171",""
" "," Cal Poly","13 - 11","172",""
" "," George Washington","8 - 14","173",""
" "," Providence","7 - 14","174",""
" "," UTA","11 - 7","175",""
" "," Quinnipiac","13 - 8","176",""
" "," Southern Illinois","9 - 16","177",""
" "," Saint Joseph's","6 - 10","178",""
" "," Youngstown State","10 - 8","179",""
" "," Northern Arizona","15 - 14","180",""
" "," UC Irvine","14 - 9","181",""
" "," High Point","21 - 7","182",""
" "," Northeastern","7 - 13","183",""
" "," Lafayette","5 - 8","184",""
" "," Little Rock","15 - 11","185",""
" "," Northern Colorado","14 - 12","186",""
" "," American","7 - 4","187",""
" "," Hawaii","8 - 7","188",""
" "," Tulsa","5 - 14","189",""
" "," Southern Utah","10 - 9","190",""
" "," Howard","15 - 4","191",""
" "," San Jose State","2 - 2","192",""
" "," Western Kentucky","7 - 16","193",""
" "," Southern","12 - 11","194",""
" "," UAB","8 - 13","195",""
" "," Alabama A&M","10 - 7","196",""
" "," La Salle","12 - 14","197",""
" "," UMass-Lowell","12 - 9","198",""
" "," Vermont","4 - 2","199",""
" "," Oakland","12 - 12","200",""
" "," Holy Cross","7 - 8","201",""
" "," Campbell","16 - 7","202",""
" "," Saint Mary's College","7 - 19","203",""
" "," Loyola-Marymount","7 - 19","204",""
" "," FIU","12 - 13","205",""
" "," Texas State","11 - 11","206",""
" "," Davidson","9 - 14","207",""
" "," Georgetown","2 - 15","208",""
" "," William & Mary","6 - 7","209",""
" "," Western Michigan","6 - 15","210",""
" "," Eastern Illinois","11 - 15","211",""
" "," Akron","6 - 14","212",""
" "," Omaha","7 - 13","213",""
" "," Xavier","5 - 10","214",""
" "," Air Force","7 - 17","215",""
" "," Chattanooga","14 - 10","216",""
" "," Utah Valley","12 - 7","217",""
" "," UMKC","8 - 12","218",""
" "," Robert Morris","4 - 13","219",""
" "," New Mexico State","8 - 12","220",""
" "," Southeastern Louisiana","11 - 8","221",""
" "," Duquesne","5 - 11","222",""
" "," UC Riverside","6 - 12","223",""
" "," Cal State Bakersfield","9 - 9","224",""
" "," UC Santa Barbara","7 - 14","225",""
" "," San Diego State","7 - 17","226",""
" "," Fairleigh Dickinson","16 - 8","227",""
" "," Hofstra","8 - 12","228",""
" "," Virginia","0 - 5","229",""
" "," Saint Francis (PA)","14 - 9","230",""
" "," Appalachian State","15 - 12","231",""
" "," Denver","7 - 16","232",""
" "," Memphis","4 - 15","233",""
" "," North Florida","13 - 11","234",""
" "," Western Illinois","8 - 16","235",""
" "," Manhattan","11 - 9","236",""
" "," Miami (OH)","4 - 20","237",""
" "," California","1 - 16","238",""
" "," Georgia State","12 - 11","239",""
" "," SMU","0 - 6","240",""
" "," Southern Miss","6 - 12","241",""
" "," Eastern Kentucky","9 - 15","242",""
" "," Morgan State","12 - 4","243",""
" "," Grambling State","10 - 10","244",""
" "," Saint Bonaventure","6 - 15","245",""
" "," Wagner","13 - 6","246",""
" "," Montana","11 - 11","247",""
" "," Navy","5 - 7","248",""
" "," Abilene Christian","9 - 13","249",""
" "," Lamar","10 - 14","250",""
" "," Georgia Southern","8 - 13","251",""
" "," North Dakota","2 - 19","252",""
" "," Presbyterian College","11 - 10","253",""
" "," Wofford","12 - 11","254",""
" "," Pepperdine","4 - 18","255",""
" "," Oral Roberts","5 - 15","256",""
" "," UC San Diego","6 - 9","257",""
" "," Portland State","9 - 13","258",""
" "," Army","9 - 11","259",""
" "," Central Arkansas","13 - 14","260",""
" "," Furman","8 - 14","261",""
" "," Sacred Heart","8 - 10","262",""
" "," Longwood","14 - 11","263",""
" "," South Alabama","11 - 13","264",""
" "," Stetson","8 - 15","265",""
" "," Albany","7 - 11","266",""
" "," Lipscomb","10 - 10","267",""
" "," Long Island","7 - 11","268",""
" "," Butler","3 - 17","269",""
" "," Morehead State","6 - 16","270",""
" "," North Alabama","7 - 18","271",""
" "," Saint Peter's","13 - 15","272",""
" "," Merrimack","5 - 10","273",""
" "," Charleston","5 - 9","274",""
" "," Arkansas State","5 - 12","275",""
" "," Seattle University","8 - 14","276",""
" "," Norfolk State","4 - 9","277",""
" "," Cal State Fullerton","3 - 18","278",""
" "," UNCW","7 - 14","279",""
" "," Indiana State","5 - 15","280",""
" "," Saint Francis (NY)","4 - 10","281",""
" "," Gardner-Webb","11 - 13","282",""
" "," Binghamton","5 - 11","283",""
" "," UMBC","2 - 6","284",""
" "," NJIT","4 - 14","285",""
" "," Utah State","4 - 20","286",""
" "," Iona","6 - 9","287",""
" "," UNCG","7 - 14","288",""
" "," Loyola-Maryland","0 - 13","289",""
" "," Rider","8 - 18","290",""
" "," Siena","4 - 9","291",""
" "," Eastern Washington","5 - 17","292",""
" "," Sacramento State","3 - 22","293",""
" "," East Tennessee State","3 - 16","294",""
" "," Houston Baptist","8 - 11","295",""
" "," Niagara","4 - 7","296",""
