"Team","Record","NET Rank","NET Delta"
"   Connecticut  ","37-3","1",""
"   South Carolina  ","35-4","2",""
"   Texas  ","35-4","3",""
"   Notre Dame  ","28-6","4",""
"   UCLA  ","34-3","5",""
"   USC  ","31-4","6",""
"   Duke  ","29-8","7",""
"   TCU  ","34-4","8",""
"   Kansas State  ","28-8","9",""
"   LSU  ","31-6","10",""
"   Ole Miss  ","22-11","11",""
"   Tennessee  ","24-10","12",""
"   West Virginia  ","25-8","13",""
"   Oklahoma  ","27-8","14",""
"   North Carolina State  ","28-7","15",""
"   Baylor  ","28-8","16",""
"   Alabama  ","24-9","17",""
"   Ohio State  ","25-7","18",""
"   Kentucky  ","23-8","19",""
"   North Carolina  ","29-8","20",""
"   Michigan State  ","22-10","21",""
"   Vanderbilt  ","22-11","22",""
"   Florida State  ","24-9","23",""
"   Iowa  ","23-11","24",""
"   Michigan  ","23-11","25",""
"   Maryland  ","25-8","26",""
"   Utah  ","22-9","27",""
"   Oklahoma State  ","25-7","28",""
"   Illinois  ","22-10","29",""
"   Creighton  ","26-7","30",""
"   Georgia Tech  ","22-11","31",""
"   Richmond  ","28-7","32",""
"   Mississippi State  ","22-12","33",""
"   Indiana  ","20-13","34",""
"   Louisville  ","22-11","35",""
"   Iowa State  ","23-12","36",""
"   Minnesota  ","25-11","37",""
"   Harvard  ","24-5","38",""
"   California  ","25-9","39",""
"   Nebraska  ","21-12","40",""
"   Oregon  ","20-12","41",""
"   Columbia  ","24-7","42",""
"   South Dakota State  ","28-4","43",""
"   Washington  ","19-14","44",""
"   George Mason  ","26-6","45",""
"   Princeton  ","21-8","46",""
"   Virginia Tech  ","19-13","47",""
"   Florida  ","19-18","48",""
"   UNLV  ","26-8","49",""
"   Stanford  ","16-15","50",""
"   Belmont  ","26-13","51",""
"   Murray State  ","25-8","52",""
"   Saint Joseph's  ","23-10","53",""
"   Middle Tennessee  ","26-9","54",""
"   Montana State  ","28-4","55",""
"   Colorado  ","21-13","56",""
"   Fairfield  ","27-5","57",""
"   Grand Canyon  ","30-3","58",""
"   Marquette  ","20-11","59",""
"   James Madison  ","30-6","60",""
"   Arizona  ","19-14","61",""
"   FGCU  ","28-4","62",""
"   Clemson  ","14-17","63",""
"   Auburn  ","11-18","64",""
"   Missouri State  ","26-9","65",""
"   Ball State  ","26-8","66",""
"   Villanova  ","21-15","67",""
"   Texas Tech  ","19-18","68",""
"   Missouri  ","14-18","69",""
"   Green Bay  ","27-6","70",""
"   Drake  ","22-12","71",""
"   Saint John's  ","16-15","72",""
"   Virginia  ","17-15","73",""
"   Boston College  ","16-18","74",""
"   Seton Hall  ","23-10","75",""
"   Liberty  ","24-7","76",""
"   South Florida  ","23-11","77",""
"   Norfolk State  ","28-5","78",""
"   UTSA  ","26-5","79",""
"   Portland  ","30-5","80",""
"   Kansas  ","16-14","81",""
"   Purdue Fort Wayne  ","25-9","82",""
"   Syracuse  ","12-18","83",""
"   Miami (FL)  ","14-15","84",""
"   Wyoming  ","20-12","85",""
"   BYU  ","13-17","86",""
"   Penn State  ","10-19","87",""
"   Northern Arizona  ","26-8","88",""
"   Davidson  ","18-14","89",""
"   Stephen F. Austin  ","27-6","90",""
"   Cincinnati  ","15-14","91",""
"   Colorado State  ","20-10","92",""
"   Northern Iowa  ","16-17","93",""
"   Vermont  ","21-12","94",""
"   Gonzaga  ","24-11","95",""
"   Charleston  ","24-8","96",""
"   Buffalo  ","28-7","97",""
"   Temple  ","20-11","98",""
"   Lamar  ","20-8","99",""
"   Oral Roberts  ","21-9","100",""
"   North Texas  ","25-9","101",""
"   San Diego State  ","23-10","102",""
"   Quinnipiac  ","28-5","103",""
"   Wake Forest  ","9-20","104",""
"   Southeastern Louisiana  ","24-6","105",""
"   Georgia  ","13-19","106",""
"   Western Kentucky  ","21-9","107",""
"   Cleveland State  ","24-10","108",""
"   Troy  ","22-14","109",""
"   Lehigh  ","26-7","110",""
"   Wisconsin  ","13-17","111",""
"   Rutgers  ","13-20","112",""
"   Kent State  ","18-12","113",""
"   Texas A&M  ","10-19","114",""
"   Rhode Island  ","17-16","115",""
"   Georgetown  ","11-19","116",""
"   Toledo  ","23-9","117",""
"   Rice  ","17-17","118",""
"   Northwestern  ","9-18","119",""
"   Oregon State  ","18-16","120",""
"   Illinois State  ","23-13","121",""
"   Coastal Carolina  ","21-9","122",""
"   SMU  ","10-20","123",""
"   Washington State  ","20-14","124",""
"   Albany  ","25-7","125",""
"   Duquesne  ","20-13","126",""
"   DePaul  ","13-19","127",""
"   Butler  ","16-18","128",""
"   UCF  ","12-18","129",""
"   Tulane  ","17-13","130",""
"   Tennessee Tech  ","24-6","131",""
"   North Dakota State  ","19-12","132",""
"   Arizona State  ","10-22","133",""
"   Providence  ","12-19","134",""
"   Pittsburgh  ","13-19","135",""
"   Arkansas  ","10-22","136",""
"   Purdue  ","10-19","137",""
"   East Carolina  ","17-15","138",""
"   Bowling Green  ","18-13","139",""
"   San Francisco  ","15-16","140",""
"   Tulsa  ","17-15","141",""
"   UMass  ","17-15","142",""
"   UNCG  ","21-7","143",""
"   UIC  ","14-18","144",""
"   UC Davis  ","19-12","145",""
"   Miami (OH)  ","17-12","146",""
"   Abilene Christian  ","19-13","147",""
"   Arkansas State  ","20-11","148",""
"   Southern Indiana  ","20-13","149",""
"   Hawaii  ","22-10","150",""
"   New Mexico State  ","16-16","151",""
"   North Carolina A&T  ","17-12","152",""
"   Idaho  ","16-12","153",""
"   Boise State  ","16-15","154",""
"   Colgate  ","21-10","155",""
"   New Mexico  ","17-14","156",""
"   UC Irvine  ","21-10","157",""
"   Campbell  ","20-13","158",""
