Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,South Carolina,SEC,,38,0,85.4,56.6,28.89,,16.37,,26.76,18.51,45.27,123.17,63.87,59.30
2,Connecticut,Big East,,33,6,79.7,57.2,22.46,,16.62,,22.09,15.56,37.65,119.66,68.22,51.44
3,Iowa,Big Ten,,34,5,91.0,71.9,19.10,,17.95,,32.73,4.32,37.05,126.21,77.95,48.26
4,Texas,Big 12,,33,5,80.1,57.7,22.42,,14.05,,21.14,15.33,36.47,119.16,69.75,49.41
5,Louisiana State,SEC,,31,6,85.9,63.3,22.59,,11.46,,25.71,8.34,34.06,116.36,73.55,42.81
6,UCLA,Pac-12,,27,7,77.3,61.1,16.18,,17.82,,19.24,14.76,34.00,116.38,70.44,45.94
7,Stanford,Pac-12,,30,6,77.5,60.0,17.47,,16.43,,20.62,13.28,33.90,120.63,73.71,46.92
8,Notre Dame,ACC,,28,7,78.6,61.1,17.51,,14.74,,19.24,13.02,32.26,110.98,68.75,42.23
9,Ohio State,Big Ten,,26,6,79.3,64.0,15.31,,16.76,,19.21,12.58,31.79,114.75,72.47,42.28
10,NC State,ACC,,31,7,73.4,60.7,12.71,,17.70,,16.26,14.15,30.41,111.21,70.86,40.35
11,Southern California,Pac-12,,29,6,74.9,62.5,12.43,,17.78,,17.79,12.41,30.21,114.98,73.58,41.40
12,Indiana,Big Ten,,26,6,79.5,64.4,15.13,,14.38,,18.03,11.47,29.50,117.01,77.45,39.56
13,Utah,Pac-12,,23,11,77.4,62.0,15.38,,15.46,,18.07,10.62,28.68,116.61,77.84,38.77
14,Colorado,Pac-12,,24,10,75.2,64.3,10.94,,17.67,,17.75,10.86,28.61,113.65,74.96,38.69
15,Baylor,Big 12,,26,8,74.8,60.4,14.38,,13.86,,16.15,12.09,28.24,109.10,71.37,37.73
16,Kansas State,Big 12,,26,8,71.7,57.9,13.74,,14.42,,11.85,16.30,28.15,107.42,69.68,37.74
17,Oregon State,Pac-12,,27,8,70.9,59.8,11.17,,16.76,,13.53,14.41,27.93,112.39,74.17,38.21
18,Duke,ACC,,22,12,68.2,57.9,10.32,,17.25,,10.02,17.55,27.57,106.70,69.53,37.17
19,West Virginia,Big 12,,25,8,73.7,57.8,15.85,,11.67,,13.54,13.98,27.52,107.91,71.61,36.30
20,Virginia Tech,ACC,,25,8,75.2,61.7,13.48,,13.40,,15.29,11.59,26.88,115.94,79.24,36.69
21,Michigan State,Big Ten,,22,9,82.8,67.0,15.77,,10.91,,20.65,6.04,26.69,116.30,81.28,35.02
22,Gonzaga,WCC,,32,4,80.0,60.3,19.67,,6.64,,17.97,8.33,26.30,119.17,82.28,36.90
23,Louisville,ACC,,24,10,73.4,63.3,10.09,,14.48,,14.18,10.39,24.57,111.60,78.32,33.29
24,Tennessee,SEC,,20,13,76.3,69.7,6.58,,17.97,,17.87,6.68,24.54,112.23,80.01,32.22
25,Penn State,Big Ten,,22,13,82.7,71.8,10.91,,12.65,,22.40,1.16,23.56,112.41,81.94,30.48
26,Oklahoma,Big 12,,23,10,76.5,69.1,7.36,,15.85,,18.36,4.85,23.21,107.33,76.94,30.39
27,Creighton,Big East,,26,6,73.4,62.8,10.59,,12.53,,14.72,8.40,23.13,114.53,82.61,31.92
28,Iowa State,Big 12,,21,12,75.4,69.1,6.24,,16.70,,16.35,6.59,22.94,112.52,81.94,30.58
29,Nebraska,Big Ten,,23,12,72.4,64.2,8.20,,14.64,,12.43,10.41,22.84,108.65,77.42,31.23
30,Maryland,Big Ten,,19,14,77.9,73.3,4.64,,17.97,,18.54,4.06,22.60,109.79,80.39,29.40
31,Washington State,Pac-12,,21,15,69.1,61.8,7.31,,14.57,,10.26,11.62,21.88,108.25,78.62,29.64
32,Alabama,SEC,,24,10,73.1,62.2,10.94,,10.84,,11.90,9.88,21.78,108.02,78.64,29.39
33,Mississippi,SEC,,24,9,68.5,59.4,9.12,,12.19,,7.79,13.52,21.31,103.18,74.43,28.75
34,Texas A&M,SEC,,19,13,68.4,58.7,9.66,,11.60,,7.72,13.54,21.26,102.95,74.28,28.67
35,Arizona,Pac-12,,18,16,69.9,65.8,4.09,,17.17,,12.64,8.61,21.25,106.01,77.07,28.94
36,North Carolina,ACC,,20,13,67.8,62.5,5.27,,15.69,,9.52,11.44,20.96,104.49,76.16,28.33
37,Kansas,Big 12,,20,13,68.2,64.3,3.88,,16.46,,10.53,9.81,20.34,108.47,80.54,27.93
38,Mississippi State,SEC,,23,12,75.6,65.8,9.86,,10.19,,14.87,5.19,20.05,111.24,84.64,26.60
39,Auburn,SEC,,20,12,66.4,58.8,7.56,,12.35,,6.20,13.71,19.91,97.75,71.74,26.01
40,Florida State,ACC,,23,11,78.5,71.5,7.06,,12.79,,18.80,1.05,19.85,107.16,81.22,25.95
41,Syracuse,ACC,,24,8,74.0,65.7,8.34,,11.34,,13.20,6.48,19.68,108.42,82.39,26.03
