team,mean_rank,median_rank,most_common_conference,rank_stability
South Carolina,2.0,1.0,SEC,1.7
Connecticut,2.2,2.0,Big East,1.1
Texas,8.0,4.0,Big 12,8.0
UCLA,12.6,6.0,Pac-12,14.8
Notre Dame,16.0,8.0,ACC,18.1
Iowa,11.2,10.0,Big Ten,9.2
NC State,9.6,10.0,ACC,4.7
Louisiana State,18.6,8.0,SEC,20.9
Baylor,11.4,15.0,Big 12,5.7
Stanford,12.4,7.0,Pac-12,17.9
Ohio State,14.2,14.0,Big Ten,5.5
Southern California,27.6,11.0,Pac-12,25.9
Tennessee,18.0,18.0,SEC,6.4
Indiana,16.0,12.0,Big Ten,8.3
Duke,29.6,18.0,ACC,21.9
West Virginia,25.6,19.0,Big 12,15.8
Kansas State,31.4,16.0,Big 12,27.8
Maryland,20.2,26.0,Big Ten,12.0
Louisville,19.2,23.0,ACC,11.9
Utah,29.2,24.0,Pac-12,23.1
Oklahoma,28.4,26.0,Big 12,15.1
Michigan State,30.8,21.0,Big Ten,18.7
North Carolina,27.0,34.0,ACC,12.9
Mississippi,28.8,33.0,SEC,9.7
Iowa State,24.2,28.0,Big 12,9.2
Virginia Tech,26.2,20.0,ACC,11.1
Michigan,28.4,24.0,Big Ten,14.9
Colorado,28.2,29.0,Pac-12,15.4
Alabama,34.4,32.0,SEC,12.3
Nebraska,31.4,29.0,Big Ten,8.3
Florida State,38.8,40.0,ACC,9.9
Creighton,41.6,31.0,Big East,24.2
Arizona,30.4,35.0,Pac-12,17.9
Mississippi State,41.8,38.0,SEC,10.2
Oklahoma State,44.2,51.0,Big 12,19.7
Gonzaga,39.0,27.0,WCC,31.5
TCU,63.8,47.0,Big 12,44.0
Georgia Tech,46.0,35.0,ACC,20.2
Oregon State,43.8,17.0,Pac-12,47.2
Washington,53.2,46.0,Pac-12,17.1
Oregon,45.6,34.0,Pac-12,39.1
Kansas,50.8,37.0,Big 12,21.3
Vanderbilt,68.4,53.0,SEC,49.1
Texas A&M,44.0,34.0,SEC,26.3
Penn State,55.4,61.0,Big Ten,32.7
Marquette,50.0,45.0,Big East,9.6
Florida,54.8,56.0,SEC,10.3
South Dakota State,52.8,56.0,Summit,12.9
Auburn,64.6,48.0,SEC,32.4
Nevada-Las Vegas,64.8,53.0,MWC,28.2
Syracuse,56.6,41.0,ACC,25.7
Miami (FL),54.6,48.0,ACC,14.4
California,73.4,54.0,Pac-12,42.3
Minnesota,67.0,60.0,Big Ten,22.3
Washington State,53.8,31.0,Pac-12,41.2
Illinois,80.8,43.0,Big Ten,63.9
Villanova,61.8,66.0,Big East,12.0
Kentucky,63.6,32.0,SEC,52.6
Missouri,58.8,56.0,SEC,11.7
Middle Tennessee,68.6,60.0,CUSA,25.1
Florida Gulf Coast,60.2,59.0,A-Sun,11.1
Brigham Young,58.2,76.0,Big 12,27.9
Boston College,63.8,69.0,ACC,12.4
Texas Tech,69.0,65.0,Big 12,11.8
Belmont,68.4,74.0,MVC,11.4
Georgia,58.4,83.0,SEC,34.3
Drake,68.6,66.0,MVC,10.6
Seton Hall,69.0,62.0,Big East,12.4
Arkansas,61.2,67.0,SEC,36.3
Clemson,72.6,77.0,ACC,17.2
Richmond,90.8,61.0,A-10,51.4
UCF,65.0,75.0,Big 12,31.6
South Florida,72.2,73.0,AAC,30.3
Virginia,97.0,59.0,ACC,60.7
Purdue,77.6,74.0,Big Ten,19.7
Missouri State,73.8,69.0,MVC,35.7
Princeton,50.5,50.0,Ivy,10.6
Green Bay,85.8,89.0,Horizon,27.5
Arizona State,79.0,95.0,Pac-12,28.4
Northern Iowa,85.0,85.0,MVC,18.3
St. John's (NY),94.4,81.0,Big East,21.8
