NAME,GP,ROLE,COUNTRY,FIBA_CLASS,FIBA_YEAR,SCRAPE_TIMESTAMP,POSS,PTS,PPP,AST,TO,FG%,3FG_ATT,3FG%,EFG%,TOT_REB,FT_ATT,FT%,STL_BLK,AST_TO
Ana De Oliveira,6,Secondary ball handler,Brazil,U18,2022,2025-05-27 11:52:08.592494,16.0,11.3,0.708,3.5,3.7,39.1%,4.0,16.7%,42.0%,3.3,2.2,76.9%,3.3,0.95
Ana Alves,6,Slashing wing,Brazil,U18,2022,2025-05-27 11:52:08.609039,15.5,9.5,0.613,0.7,2.7,28.1%,3.3,20.0%,31.3%,10.2,4.7,60.7%,1.7,0.25
Stephany Goncalves,6,Secondary ball handler,Brazil,U18,2022,2025-05-27 11:52:08.624911,17.0,9.2,0.539,2.5,4.2,31.4%,3.5,9.5%,32.9%,5.5,2.5,60.0%,1.7,0.60
Taissa Nascimento,6,Playmaking wing,Brazil,U18,2022,2025-05-27 11:52:08.639865,19.2,7.7,0.400,2.5,4.0,22.6%,3.3,10.0%,23.8%,10.7,2.5,40.0%,0.7,0.63
Arianny De Oliveira,6,Post-up big,Brazil,U18,2022,2025-05-27 11:52:08.655691,11.2,7.3,0.657,0.2,2.0,34.0%,0.0,-,34.0%,5.2,2.8,70.6%,2.0,0.08
Letycia Vasconcelos,6,Post-up big,Brazil,U18,2022,2025-05-27 11:52:08.670696,6.2,2.8,0.459,0.3,1.3,23.1%,0.0,-,23.1%,4.2,1.5,55.6%,0.8,0.25
Diully Feitosa,6,Playmaking wing,Brazil,U18,2022,2025-05-27 11:52:08.686336,4.2,1.7,0.400,1.0,1.0,23.5%,0.3,0.0%,23.5%,3.3,0.7,50.0%,1.0,1.00
Manuella Alves,2,,Brazil,U18,2022,2025-05-27 11:52:08.711386,,,,,,,,,,,,,,
Alexia Araujo,6,,Brazil,U18,2022,2025-05-27 11:52:08.727257,,,,,,,,,,,,,,
Manuella Aquino,4,,Brazil,U18,2022,2025-05-27 11:52:08.742811,,,,,,,,,,,,,,
Vitoria Romualdo,6,,Brazil,U18,2022,2025-05-27 11:52:08.757530,,,,,,,,,,,,,,
Paula Bernardo,3,,Brazil,U18,2022,2025-05-27 11:52:08.771879,,,,,,,,,,,,,,
Giovanna Rocha Da Silva,4,Rim-finishing big,Brazil,U18,2021,2025-05-27 11:52:25.142517,16.5,12.5,0.758,0.5,1.5,34.0%,1.0,50.0%,36.0%,11.8,5.8,60.9%,1.3,0.33
Taissa Nascimento Queiroz,5,Slashing wing,Brazil,U18,2021,2025-05-27 11:52:25.162498,18.4,12.2,0.663,1.8,2.6,31.4%,2.8,14.3%,32.9%,11.2,4.8,62.5%,2.0,0.69
Stephany Goncalves,5,Secondary ball handler,Brazil,U18,2021,2025-05-27 11:52:25.179132,16.2,9.0,0.556,4.2,3.6,24.1%,4.6,17.4%,27.8%,5.6,3.8,78.9%,1.4,1.17
Ana Alves,5,Slashing wing,Brazil,U18,2021,2025-05-27 11:52:25.195129,13.6,8.4,0.618,1.2,3.6,37.5%,1.6,25.0%,40.0%,11.2,4.2,47.6%,2.2,0.33
Arianny De Oliveira,5,Rim-finishing big,Brazil,U18,2021,2025-05-27 11:52:25.210829,7.8,7.0,0.897,0.4,1.2,50.0%,0.0,-,50.0%,4.2,1.6,62.5%,0.6,0.33
Ana De Oliveira,5,Playmaking wing,Brazil,U18,2021,2025-05-27 11:52:25.227729,14.4,6.0,0.417,4.0,3.8,26.0%,4.0,15.0%,29.0%,4.2,1.2,16.7%,4.2,1.05
Vitoria Romualdo Kons,5,Playmaking wing,Brazil,U18,2021,2025-05-27 11:52:25.244513,8.4,5.2,0.619,1.4,2.4,34.5%,3.2,25.0%,41.4%,3.2,0.4,100.0%,1.4,0.58
Alexia Araujo,3,,Brazil,U18,2021,2025-05-27 11:52:25.273720,,,,,,,,,,,,,,
Marcella Prande Freitas,3,,Brazil,U18,2021,2025-05-27 11:52:25.289986,,,,,,,,,,,,,,
Maria Soares Lourenco,3,,Brazil,U18,2021,2025-05-27 11:52:25.305479,,,,,,,,,,,,,,
Manuella Alves,3,,Brazil,U18,2021,2025-05-27 11:52:25.321327,,,,,,,,,,,,,,
Ana Ramos Pires,3,,Brazil,U18,2021,2025-05-27 11:52:25.336351,,,,,,,,,,,,,,
Alexia Araujo,5,,Brazil,U17,2023,2025-05-27 11:52:37.697290,,,,,,,,,,,,,,
Micaela Cavalcanti,5,,Brazil,U17,2023,2025-05-27 11:52:37.713016,,,,,,,,,,,,,,
Sther Ubaka,4,,Brazil,U17,2023,2025-05-27 11:52:37.727239,,,,,,,,,,,,,,
Manuella Alves,5,,Brazil,U17,2023,2025-05-27 11:52:37.741793,,,,,,,,,,,,,,
Izabela Da Silva,5,,Brazil,U17,2023,2025-05-27 11:52:37.757722,,,,,,,,,,,,,,
Sara Martins,5,,Brazil,U17,2023,2025-05-27 11:52:37.772969,,,,,,,,,,,,,,
Mikaelly De Freitas,5,,Brazil,U17,2023,2025-05-27 11:52:37.788152,,,,,,,,,,,,,,
Sofia Moschen,5,,Brazil,U17,2023,2025-05-27 11:52:37.803281,,,,,,,,,,,,,,
Raissa Zanolla,4,,Brazil,U17,2023,2025-05-27 11:52:37.819490,,,,,,,,,,,,,,
Maria Clara Soares,5,,Brazil,U17,2023,2025-05-27 11:52:37.834166,,,,,,,,,,,,,,
Nicolly Sanches,4,,Brazil,U17,2023,2025-05-27 11:52:37.848558,,,,,,,,,,,,,,
Vitoria Da Silva,4,,Brazil,U17,2023,2025-05-27 11:52:37.863114,,,,,,,,,,,,,,
Sther Ubaka,6,Stretch big,Brazil,U16,2023,2025-05-27 11:52:48.095107,16.8,11.5,0.683,1.5,2.7,34.8%,0.2,100.0%,35.6%,11.8,6.7,55.0%,4.0,0.56
Sara Martins,6,Slashing wing,Brazil,U16,2023,2025-05-27 11:52:48.112515,16.5,10.0,0.606,1.0,4.8,32.3%,4.8,31.0%,39.2%,6.3,2.0,75.0%,0.7,0.21
Micaela Cavalcanti,6,Secondary ball handler,Brazil,U16,2023,2025-05-27 11:52:48.142405,18.8,9.2,0.487,4.7,5.8,23.7%,9.0,29.6%,34.2%,4.0,0.8,60.0%,1.7,0.80
Sofia Borges,6,Stretch big,Brazil,U16,2023,2025-05-27 11:52:48.159468,13.8,8.2,0.590,1.0,2.0,29.5%,0.8,0.0%,29.5%,10.0,3.5,61.9%,2.7,0.50
Nicolly Sanches,6,Playmaking wing,Brazil,U16,2023,2025-05-27 11:52:48.174980,11.0,7.0,0.636,2.0,2.7,35.4%,4.3,23.1%,41.7%,1.3,0.7,50.0%,1.8,0.75
Rebeca Soares,4,,Brazil,U16,2023,2025-05-27 11:52:48.189266,,,,,,,,,,,,,,
Giovana De Freitas,6,,Brazil,U16,2023,2025-05-27 11:52:48.203894,,,,,,,,,,,,,,
Isadira Mileo,5,,Brazil,U16,2023,2025-05-27 11:52:48.224921,,,,,,,,,,,,,,
Ana De Oliveira,5,Playmaking wing,Brazil,U16,2023,2025-05-27 11:52:48.239918,5.4,0.8,0.148,1.0,3.0,10.0%,1.4,0.0%,10.0%,1.2,0.8,50.0%,0.8,0.33
Raissa Lucas,4,,Brazil,U16,2023,2025-05-27 11:52:48.255063,,,,,,,,,,,,,,
Ana Krause,3,,Brazil,U16,2023,2025-05-27 11:52:48.269209,,,,,,,,,,,,,,
Sara Araujo,2,,Brazil,U16,2023,2025-05-27 11:52:48.284329,,,,,,,,,,,,,,
Taissa Queiroz,6,Stretch big,Brazil,U16,2021,2025-05-27 11:52:56.844533,17.5,12.7,0.724,1.8,2.7,34.2%,3.5,42.9%,39.9%,13.8,3.8,56.5%,1.2,0.69
Ana Alves,6,Rim-finishing big,Brazil,U16,2021,2025-05-27 11:52:56.867691,13.2,10.3,0.785,1.7,2.3,43.4%,0.3,0.0%,43.4%,10.2,4.5,59.3%,0.7,0.71
Aaliyah Guyton,6,Playmaking wing,Brazil,U16,2021,2025-05-27 11:52:56.885949,13.7,8.3,0.610,2.0,2.8,23.2%,5.7,32.4%,33.0%,4.0,3.2,68.4%,0.8,0.71
Giovanna da Silva,6,Rim-finishing big,Brazil,U16,2021,2025-05-27 11:52:56.900950,12.5,8.2,0.653,0.8,2.3,40.8%,0.0,-,40.8%,8.8,4.3,34.6%,1.3,0.36
Arianny de Oliveira,6,Rim-finishing big,Brazil,U16,2021,2025-05-27 11:52:56.915751,7.0,5.0,0.714,0.0,1.2,39.3%,0.0,-,39.3%,4.7,2.3,57.1%,0.5,0.00
Marcella Prande,6,Secondary ball handler,Brazil,U16,2021,2025-05-27 11:52:56.930854,12.2,3.8,0.315,2.7,4.3,16.7%,2.5,13.3%,19.0%,3.7,2.0,58.3%,2.2,0.62
Ana Ferreira,6,Spot-up shooting wing,Brazil,U16,2021,2025-05-27 11:52:56.945880,6.7,3.2,0.475,0.5,0.8,20.0%,4.5,18.5%,27.1%,0.8,0.0,-,0.2,0.60
Fernanda da Cunha,6,Playmaking wing,Brazil,U16,2021,2025-05-27 11:52:56.961308,4.5,3.2,0.704,1.3,1.2,36.8%,2.0,41.7%,50.0%,1.3,0.3,0.0%,0.7,1.14
Clarice Borges,6,Slashing wing,Brazil,U16,2021,2025-05-27 11:52:56.976998,11.3,2.7,0.235,1.2,1.3,10.5%,2.7,6.3%,11.4%,3.0,1.0,50.0%,1.2,0.88
Letycia Vasconcelos,5,Post-up big,Brazil,U16,2021,2025-05-27 11:52:56.993779,5.2,2.2,0.423,0.4,0.8,26.3%,0.2,100.0%,28.9%,3.6,1.2,0.0%,1.0,0.50
Alexia Araujo,5,,Brazil,U16,2021,2025-05-27 11:52:57.009063,,,,,,,,,,,,,,
Manuella Alves,5,,Brazil,U16,2021,2025-05-27 11:52:57.023993,,,,,,,,,,,,,,
