NAME,GP,ROLE,COUNTRY,FIBA_CLASS,FIBA_YEAR,SCRAPE_TIMESTAMP,POSS,PTS,PPP,AST,TO,FG%,3FG_ATT,3FG%,EFG%,TOT_REB,FT_ATT,FT%,STL_BLK,AST_TO,PTS/G_career,STL_BLK_career,G_career,PER_career,best_season,PTS/G_best,STL_BLK_best,PER_best
Tess Heal,5,Slashing wing,Australia,U18,2022,2025-05-27 11:30:45.489651,7.8,7.0,0.897,2.4,2.0,52.0%,1.2,33.3%,56.0%,4.4,2.2,63.6%,1.2,1.20,15.3,0.9,96.0,13.8,2023-24,19.5,1.2,17.2
Hillary Fuller,4,,Australia,U18,2024,2025-05-27 11:30:41.922760,,,,,,,,,,,,,,,2.9,0.4,66.0,4.1,2016-17,5.3,0.6,8.9
Isla Juffermans,5,Rim-finishing big,Australia,U18,2022,2025-05-27 11:30:45.410340,15.2,16.6,1.092,0.8,2.2,64.4%,0.0,-,64.4%,10.8,3.0,46.7%,1.4,0.36,2.3,0.4,24.0,2.4,2024-25,2.3,0.4,2.4
Isla Juffermans,5,Rim-finishing big,Australia,U18,2022,2025-05-27 11:30:45.410340,15.2,16.6,1.092,0.8,2.2,64.4%,0.0,-,64.4%,10.8,3.0,46.7%,1.4,0.36,2.3,0.4,24.0,2.4,2024-25,2.3,0.4,2.4
Sophie Burrows,5,Spot-up shooting wing,Australia,U18,2022,2025-05-27 11:30:45.474254,7.0,9.2,1.314,0.6,0.0,51.5%,4.8,41.7%,66.7%,4.2,0.8,50.0%,1.8,-,8.4,1.5,60.0,9.0,2024-25,12.2,1.8,12.9
Rose Nelson,4,,Australia,U18,2022,2025-05-27 11:30:45.583119,,,,,,,,,,,,,,,2.3,1.4,73.0,3.8,2023-24,3.7,2.0,5.8
Miela Goodchild,6,Spot-up shooting wing,Australia,U18,2018,2025-05-27 11:30:48.989977,20.5,17.7,0.862,1.8,2.3,39.2%,6.2,24.3%,43.6%,5.3,3.2,89.5%,1.8,0.79,8.7,1.0,93.0,7.3,2020-21,15.3,0.5,11.5
Miela Goodchild,6,Spot-up shooting wing,Australia,U18,2018,2025-05-27 11:30:48.989977,20.5,17.7,0.862,1.8,2.3,39.2%,6.2,24.3%,43.6%,5.3,3.2,89.5%,1.8,0.79,8.7,1.0,93.0,7.3,2020-21,15.3,0.5,11.5
Emma Clarke,5,Stretch big,Australia,U18,2018,2025-05-27 11:30:49.081734,9.2,6.6,0.717,0.8,2.0,40.6%,1.4,28.6%,43.8%,1.4,1.6,62.5%,1.2,0.40,7.2,1.3,60.0,6.7,2019-20,9.7,1.8,8.2
Emma Clarke,5,Stretch big,Australia,U18,2018,2025-05-27 11:30:49.081734,9.2,6.6,0.717,0.8,2.0,40.6%,1.4,28.6%,43.8%,1.4,1.6,62.5%,1.2,0.40,7.2,1.3,60.0,6.7,2019-20,9.7,1.8,8.2
Miela Goodchild,6,Spot-up shooting wing,Australia,U16,2023,2025-05-27 11:41:42.049655,20.5,17.7,0.862,1.8,2.3,39.2%,6.2,24.3%,43.6%,5.3,3.2,89.5%,1.8,0.79,8.7,1.0,93.0,7.3,2020-21,15.3,0.5,11.5
Miela Goodchild,6,Spot-up shooting wing,Australia,U16,2023,2025-05-27 11:41:42.049655,20.5,17.7,0.862,1.8,2.3,39.2%,6.2,24.3%,43.6%,5.3,3.2,89.5%,1.8,0.79,8.7,1.0,93.0,7.3,2020-21,15.3,0.5,11.5
Emma Clarke,5,Stretch big,Australia,U16,2023,2025-05-27 11:41:42.154491,9.2,6.6,0.717,0.8,2.0,40.6%,1.4,28.6%,43.8%,1.4,1.6,62.5%,1.2,0.40,7.2,1.3,60.0,6.7,2019-20,9.7,1.8,8.2
Emma Clarke,5,Stretch big,Australia,U16,2023,2025-05-27 11:41:42.154491,9.2,6.6,0.717,0.8,2.0,40.6%,1.4,28.6%,43.8%,1.4,1.6,62.5%,1.2,0.40,7.2,1.3,60.0,6.7,2019-20,9.7,1.8,8.2
Isla Juffermans,6,Post-up big,Australia,U16,2022,2025-05-27 11:41:45.567977,17.5,19.3,1.105,2.3,2.5,61.8%,0.0,-,61.8%,11.5,4.8,75.9%,2.2,0.93,2.3,0.4,24.0,2.4,2024-25,2.3,0.4,2.4
Isla Juffermans,6,Post-up big,Australia,U16,2022,2025-05-27 11:41:45.567977,17.5,19.3,1.105,2.3,2.5,61.8%,0.0,-,61.8%,11.5,4.8,75.9%,2.2,0.93,2.3,0.4,24.0,2.4,2024-25,2.3,0.4,2.4
Jayda Clark,6,Secondary ball handler,Australia,U16,2022,2025-05-27 11:41:45.583558,12.3,11.0,0.892,4.3,3.2,52.8%,2.3,42.9%,58.5%,4.5,1.2,57.1%,1.2,1.37,1.7,0.2,84.0,1.4,2021-22,3.0,0.5,1.4
